Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Philadelphia 76ers* (1),56,26,.683,—,94.7,90.4,3.64
Miami Heat* (3),50,32,.610,6.0,88.9,86.6,1.73
New York Knicks* (4),48,34,.585,8.0,88.7,86.1,1.98
Orlando Magic* (7),43,39,.524,13.0,97.5,96.5,0.39
Boston Celtics (9),36,46,.439,20.0,94.6,96.8,-2.40
New Jersey Nets (12),26,56,.317,30.0,92.1,97.1,-5.30
Washington Wizards (14),19,63,.232,37.0,93.2,99.9,-6.75
Central Division
Milwaukee Bucks* (2),52,30,.634,—,100.7,96.9,3.14
Toronto Raptors* (5),47,35,.573,5.0,97.6,95.4,1.69
Charlotte Hornets* (6),46,36,.561,6.0,91.9,89.8,1.45
Indiana Pacers* (8),41,41,.500,11.0,92.6,92.8,-0.77
Detroit Pistons (10),32,50,.390,20.0,95.6,97.3,-2.08
Cleveland Cavaliers (11),30,52,.366,22.0,92.2,96.5,-4.48
Atlanta Hawks (13),25,57,.305,27.0,91.0,96.2,-5.55
Chicago Bulls (15),15,67,.183,37.0,87.6,96.7,-9.09
