Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
Utah Jazz* (2),51,31,.622,—,104.7,99.7,4.01
Houston Rockets* (5),45,37,.549,6.0,108.5,107.5,0.22
Denver Nuggets* (6),44,38,.537,7.0,118.0,116.3,0.91
Dallas Mavericks (9),38,44,.463,13.0,103.5,104.7,-1.79
San Antonio Spurs (12),21,61,.256,30.0,105.5,112.8,-7.45
Miami Heat (13),15,67,.183,36.0,97.8,109.0,-11.13
Pacific Division
Los Angeles Lakers* (1),57,25,.695,—,114.7,107.5,6.38
Phoenix Suns* (3),55,27,.671,2.0,118.6,110.9,6.84
Seattle SuperSonics* (4),47,35,.573,10.0,112.1,109.2,2.44
Golden State Warriors* (7),43,39,.524,14.0,116.6,116.9,-0.59
Portland Trail Blazers* (8),39,43,.476,18.0,114.6,113.1,0.92
Sacramento Kings (10),27,55,.329,30.0,105.5,111.0,-5.35
Los Angeles Clippers (11),21,61,.256,36.0,106.2,116.2,-9.50
