Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Miami Heat* (2),55,27,.671,—,95.0,90.0,5.09
New York Knicks* (7),43,39,.524,12.0,91.6,89.1,2.74
New Jersey Nets* (8),43,39,.524,12.0,99.6,98.1,1.88
Washington Wizards (9),42,40,.512,13.0,97.2,96.6,1.11
Orlando Magic (10),41,41,.500,14.0,90.1,91.2,-0.53
Boston Celtics (12),36,46,.439,19.0,95.9,98.5,-1.96
Philadelphia 76ers (14),31,51,.378,24.0,93.3,95.7,-1.89
Central Division
Chicago Bulls* (1),62,20,.756,—,96.7,89.6,7.24
Indiana Pacers* (3),58,24,.707,4.0,96.0,89.9,6.25
Charlotte Hornets* (4),51,31,.622,11.0,96.6,94.6,2.45
Atlanta Hawks* (5),50,32,.610,12.0,95.9,92.3,3.85
Cleveland Cavaliers* (6),47,35,.573,15.0,92.5,89.8,3.06
Detroit Pistons (11),37,45,.451,25.0,94.2,92.6,1.95
Milwaukee Bucks (13),36,46,.439,26.0,94.5,96.4,-1.33
Toronto Raptors (15),16,66,.195,46.0,94.9,104.2,-8.33
