Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
Denver Nuggets* (2),54,28,.659,—,116.7,112.7,3.32
Dallas Mavericks* (3),53,29,.646,1.0,109.3,104.9,3.59
Utah Jazz* (5),47,35,.573,7.0,108.5,104.8,2.96
Houston Rockets* (6),46,36,.561,8.0,109.0,107.6,0.82
San Antonio Spurs* (8),31,51,.378,23.0,113.6,118.5,-5.02
Sacramento Kings (10),24,58,.293,30.0,108.0,113.7,-5.84
Pacific Division
Los Angeles Lakers* (1),62,20,.756,—,112.8,107.0,4.81
Portland Trail Blazers* (4),53,29,.646,9.0,116.1,111.5,3.59
Seattle SuperSonics* (7),44,38,.537,18.0,111.4,109.3,1.29
Phoenix Suns (9),28,54,.341,34.0,108.5,113.0,-4.80
Golden State Warriors (11),20,62,.244,42.0,107.0,115.3,-8.38
Los Angeles Clippers (12),17,65,.207,45.0,98.8,109.1,-10.24
