Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
San Antonio Spurs* (2),58,24,.707,—,96.7,90.5,6.28
Dallas Mavericks* (4),57,25,.695,1.0,105.2,101.0,4.41
Minnesota Timberwolves* (5),50,32,.610,8.0,99.3,96.0,3.58
Utah Jazz* (8),44,38,.537,14.0,96.0,95.1,1.21
Houston Rockets (11),28,54,.341,30.0,92.3,97.2,-4.31
Denver Nuggets (12),27,55,.329,31.0,92.2,98.0,-5.19
Memphis Grizzlies (13),23,59,.280,35.0,89.9,97.3,-6.74
Pacific Division
Sacramento Kings* (1),61,21,.744,—,104.6,97.0,7.61
Los Angeles Lakers* (3),58,24,.707,3.0,101.3,94.1,7.15
Portland Trail Blazers* (6),49,33,.598,12.0,96.6,93.7,3.21
Seattle SuperSonics* (7),45,37,.549,16.0,97.7,94.7,3.24
Los Angeles Clippers (9),39,43,.476,22.0,95.7,96.1,-0.09
Phoenix Suns (10),36,46,.439,25.0,95.1,95.8,-0.30
Golden State Warriors (14),21,61,.256,40.0,97.7,103.1,-4.80
