Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Boston Celtics* (1),57,25,.695,—,113.6,107.7,6.15
Washington Bullets* (7),38,44,.463,19.0,105.5,106.3,-0.16
New York Knicks* (8),38,44,.463,19.0,105.5,106.0,0.14
Philadelphia 76ers (10),36,46,.439,21.0,105.7,107.1,-0.79
New Jersey Nets (11),19,63,.232,38.0,100.4,108.5,-6.98
Central Division
Detroit Pistons* (2),54,28,.659,—,109.2,104.1,5.46
Chicago Bulls* (3),50,32,.610,4.0,105.0,101.6,3.76
Atlanta Hawks* (4),50,32,.610,4.0,107.9,104.3,4.02
Milwaukee Bucks* (5),42,40,.512,12.0,106.1,105.5,1.21
Cleveland Cavaliers* (6),42,40,.512,12.0,104.5,103.7,1.28
Indiana Pacers (9),38,44,.463,16.0,104.6,105.4,-0.18
