Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Toronto Raptors* (4),49,33,.598,—,104.0,100.9,2.45
Boston Celtics* (7),40,42,.488,9.0,101.4,101.2,-0.40
Brooklyn Nets* (8),38,44,.463,11.0,98.0,100.9,-3.13
Philadelphia 76ers (14),18,64,.220,31.0,92.0,101.0,-9.04
New York Knicks (15),17,65,.207,32.0,91.9,101.2,-9.50
Central Division
Cleveland Cavaliers* (2),53,29,.646,—,103.1,98.7,4.08
Chicago Bulls* (3),50,32,.610,3.0,100.8,97.8,2.54
Milwaukee Bucks* (6),41,41,.500,12.0,97.8,97.4,-0.09
Indiana Pacers (9),38,44,.463,15.0,97.3,97.0,-0.23
Detroit Pistons (12),32,50,.390,21.0,98.5,99.5,-1.39
Southeast Division
Atlanta Hawks* (1),60,22,.732,—,102.5,97.1,4.75
Washington Wizards* (5),46,36,.561,14.0,98.5,97.8,0.17
Miami Heat (10),37,45,.451,23.0,94.7,97.3,-2.92
Charlotte Hornets (11),33,49,.402,27.0,94.2,97.3,-3.44
Orlando Magic (13),25,57,.305,35.0,95.7,101.4,-5.87
