Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Denver Nuggets (2),43,22,.662,—,112.0,107.3,4.70
Oklahoma City Thunder (4),41,26,.612,3.0,115.2,111.1,3.78
Portland Trail Blazers (5),40,26,.606,3.5,113.9,110.6,3.71
Utah Jazz (8),37,29,.561,6.5,109.9,106.8,4.01
Minnesota Timberwolves (10),32,35,.478,12.0,113.0,113.1,-0.09
Pacific Division
Golden State Warriors (1),45,21,.682,—,118.2,112.3,5.83
Los Angeles Clippers (6),39,29,.574,7.0,114.6,113.4,1.56
Sacramento Kings (9),33,33,.500,12.0,113.7,114.8,-0.69
Los Angeles Lakers (11),30,36,.455,15.0,112.0,114.0,-1.72
Phoenix Suns (15),16,52,.235,30.0,107.0,115.9,-8.01
Southwest Division
Houston Rockets (3),42,25,.627,—,113.0,110.2,3.25
San Antonio Spurs (7),38,29,.567,4.0,112.0,111.0,1.51
New Orleans Pelicans (12),30,39,.435,13.0,115.6,115.4,0.59
Memphis Grizzlies (13),28,40,.412,14.5,101.6,103.7,-1.55
Dallas Mavericks (14),27,39,.409,14.5,107.9,109.6,-1.19
