Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Toronto Raptors* (2),56,26,.683,—,102.7,98.2,4.08
Boston Celtics* (5),48,34,.585,8.0,105.7,102.5,2.84
New York Knicks (13),32,50,.390,24.0,98.4,101.1,-2.74
Brooklyn Nets (14),21,61,.256,35.0,98.6,106.0,-7.12
Philadelphia 76ers (15),10,72,.122,46.0,97.4,107.6,-9.92
Central Division
Cleveland Cavaliers* (1),57,25,.695,—,104.3,98.3,5.45
Indiana Pacers* (7),45,37,.549,12.0,102.2,100.5,1.62
Detroit Pistons* (8),44,38,.537,13.0,102.0,101.4,0.43
Chicago Bulls (9),42,40,.512,15.0,101.6,103.1,-1.46
Milwaukee Bucks (12),33,49,.402,24.0,99.0,103.2,-3.98
Southeast Division
Miami Heat* (3),48,34,.585,—,100.0,98.4,1.50
Atlanta Hawks* (4),48,34,.585,—,102.8,99.2,3.49
Charlotte Hornets* (6),48,34,.585,—,103.4,100.7,2.36
Washington Wizards (10),41,41,.500,7.0,104.1,104.6,-0.50
Orlando Magic (11),35,47,.427,13.0,102.1,103.7,-1.68
