Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
Utah Jazz* (2),55,27,.671,—,96.5,92.0,4.52
San Antonio Spurs* (4),53,29,.646,2.0,96.2,90.2,5.92
Minnesota Timberwolves* (6),50,32,.610,5.0,98.5,96.0,2.67
Dallas Mavericks (9),40,42,.488,15.0,101.4,102.0,-0.29
Denver Nuggets (10),35,47,.427,20.0,99.0,101.1,-1.76
Houston Rockets (11),34,48,.415,21.0,99.5,100.3,-0.57
Vancouver Grizzlies (12),22,60,.268,33.0,93.9,99.5,-5.10
Pacific Division
Los Angeles Lakers* (1),67,15,.817,—,100.8,92.3,8.41
Portland Trail Blazers* (3),59,23,.720,8.0,97.5,91.0,6.36
Phoenix Suns* (5),53,29,.646,14.0,98.9,93.7,5.24
Seattle SuperSonics* (7),45,37,.549,22.0,99.1,98.1,1.17
Sacramento Kings* (8),44,38,.537,23.0,105.0,102.0,3.04
Golden State Warriors (13),19,63,.232,48.0,95.5,103.8,-7.63
Los Angeles Clippers (14),15,67,.183,52.0,92.0,103.5,-10.73
