Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
Utah Jazz* (1),62,20,.756,—,101.0,94.4,5.73
San Antonio Spurs* (5),56,26,.683,6.0,92.5,88.5,3.30
Minnesota Timberwolves* (7),45,37,.549,17.0,101.1,100.4,0.17
Houston Rockets* (8),41,41,.500,21.0,98.8,99.5,-1.23
Dallas Mavericks (10),20,62,.244,42.0,91.4,97.5,-6.33
Vancouver Grizzlies (11),19,63,.232,43.0,96.6,103.9,-7.47
Denver Nuggets (14),11,71,.134,51.0,89.0,100.8,-11.74
Pacific Division
Seattle SuperSonics* (2),61,21,.744,—,100.6,93.4,6.33
Los Angeles Lakers* (3),61,21,.744,—,105.5,97.8,6.88
Phoenix Suns* (4),56,26,.683,5.0,99.6,94.4,4.44
Portland Trail Blazers* (6),46,36,.561,15.0,94.3,92.9,0.83
Sacramento Kings (9),27,55,.329,34.0,93.1,98.7,-5.83
Golden State Warriors (12),19,63,.232,42.0,88.3,97.4,-9.20
Los Angeles Clippers (13),17,65,.207,44.0,95.9,103.3,-7.53
