Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Oklahoma City Thunder* (4),55,27,.671,—,104.8,101.0,3.81
Denver Nuggets* (5),50,32,.610,5.0,107.5,102.7,4.81
Portland Trail Blazers* (6),48,34,.585,7.0,96.3,94.8,1.85
Utah Jazz (11),39,43,.476,16.0,99.4,101.3,-1.44
Minnesota Timberwolves (15),17,65,.207,38.0,101.1,107.7,-5.97
Pacific Division
Los Angeles Lakers* (2),57,25,.695,—,101.5,95.4,6.01
Phoenix Suns (10),40,42,.488,17.0,105.0,105.9,-0.46
Golden State Warriors (12),36,46,.439,21.0,103.4,105.7,-2.00
Los Angeles Clippers (13),32,50,.390,25.0,98.6,101.8,-2.71
Sacramento Kings (14),24,58,.293,33.0,99.4,104.7,-4.80
Southwest Division
San Antonio Spurs* (1),61,21,.744,—,103.7,98.0,5.86
Dallas Mavericks* (3),57,25,.695,4.0,100.2,96.0,4.41
New Orleans Hornets* (7),46,36,.561,15.0,94.9,94.0,1.28
Memphis Grizzlies* (8),46,36,.561,15.0,99.9,97.6,2.55
Houston Rockets (9),43,39,.524,18.0,105.9,103.7,2.37
