Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Toronto Raptors* (3),47,35,.573,—,99.5,98.5,0.61
New Jersey Nets* (6),41,41,.500,6.0,97.6,98.3,-1.00
Philadelphia 76ers (10),35,47,.427,12.0,94.9,98.0,-3.26
New York Knicks (12),33,49,.402,14.0,97.5,100.3,-3.06
Boston Celtics (15),24,58,.293,23.0,95.8,99.2,-3.70
Central Division
Detroit Pistons* (1),53,29,.646,—,96.0,91.8,3.69
Cleveland Cavaliers* (2),50,32,.610,3.0,96.8,92.9,3.33
Chicago Bulls* (5),49,33,.598,4.0,98.8,93.8,4.52
Indiana Pacers (9),35,47,.427,18.0,95.6,98.0,-2.62
Milwaukee Bucks (14),28,54,.341,25.0,99.7,104.0,-4.43
Southeast Division
Miami Heat* (4),44,38,.537,—,94.6,95.5,-1.21
Washington Wizards* (7),41,41,.500,3.0,104.3,104.9,-0.80
Orlando Magic* (8),40,42,.488,4.0,94.8,94.0,0.35
Charlotte Bobcats (11),33,49,.402,11.0,96.9,100.6,-3.97
Atlanta Hawks (13),30,52,.366,14.0,93.7,98.4,-4.86
