Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
San Antonio Spurs* (1),37,13,.740,—,92.8,84.7,7.12
Utah Jazz* (2),37,13,.740,—,93.3,86.8,5.54
Houston Rockets* (5),31,19,.620,6.0,94.2,91.9,1.39
Minnesota Timberwolves* (8),25,25,.500,12.0,92.9,92.6,-0.17
Dallas Mavericks (11),19,31,.380,18.0,91.6,94.0,-2.50
Denver Nuggets (12),14,36,.280,23.0,93.5,100.1,-6.67
Vancouver Grizzlies (14),8,42,.160,29.0,88.9,97.5,-8.94
Pacific Division
Portland Trail Blazers* (3),35,15,.700,—,94.8,88.5,5.67
Los Angeles Lakers* (4),31,19,.620,4.0,99.0,96.0,2.68
Phoenix Suns* (6),27,23,.540,8.0,95.6,93.3,2.15
Sacramento Kings* (7),27,23,.540,8.0,100.2,100.6,-0.89
Seattle SuperSonics (9),25,25,.500,10.0,94.9,95.9,-1.43
Golden State Warriors (10),21,29,.420,14.0,88.3,90.8,-2.63
Los Angeles Clippers (13),9,41,.180,26.0,90.4,99.2,-8.94
