Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Orlando Magic* (1),57,25,.695,—,110.9,103.8,6.44
New York Knicks* (3),55,27,.671,2.0,98.2,95.1,2.78
Boston Celtics* (8),35,47,.427,22.0,102.8,104.7,-1.92
Miami Heat (10),32,50,.390,25.0,101.1,102.8,-1.85
New Jersey Nets (11),30,52,.366,27.0,98.1,101.2,-3.28
Philadelphia 76ers (13),24,58,.293,33.0,95.4,100.4,-5.06
Washington Bullets (14),21,61,.256,36.0,100.5,106.1,-5.56
Central Division
Indiana Pacers* (2),52,30,.634,—,99.2,95.5,3.35
Charlotte Hornets* (4),50,32,.610,2.0,100.6,97.3,2.87
Chicago Bulls* (5),47,35,.573,5.0,101.5,96.7,4.32
Cleveland Cavaliers* (6),43,39,.524,9.0,90.5,89.8,0.55
Atlanta Hawks* (7),42,40,.512,10.0,96.6,95.3,1.06
Milwaukee Bucks (9),34,48,.415,18.0,99.3,103.7,-4.30
Detroit Pistons (12),28,54,.341,24.0,98.2,105.5,-7.08
