Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Miami Heat* (1),33,17,.660,—,89.0,84.0,5.11
Orlando Magic* (3),33,17,.660,—,89.5,86.9,3.11
Philadelphia 76ers* (6),28,22,.560,5.0,89.7,87.6,2.56
New York Knicks* (8),27,23,.540,6.0,86.4,85.4,1.45
Boston Celtics (12),19,31,.380,14.0,93.0,94.9,-1.75
Washington Wizards (13),18,32,.360,15.0,91.2,93.4,-1.75
New Jersey Nets (14),16,34,.320,17.0,91.4,95.2,-3.20
Central Division
Indiana Pacers* (2),33,17,.660,—,94.7,90.9,3.86
Atlanta Hawks* (4),31,19,.620,2.0,86.3,83.4,2.82
Detroit Pistons* (5),29,21,.580,4.0,90.4,86.9,3.97
Milwaukee Bucks* (7),28,22,.560,5.0,91.7,90.0,1.66
Charlotte Hornets (9),26,24,.520,7.0,92.9,93.0,0.63
Toronto Raptors (10),23,27,.460,10.0,91.1,92.8,-1.32
Cleveland Cavaliers (11),22,28,.440,11.0,86.4,88.2,-0.94
Chicago Bulls (15),13,37,.260,20.0,81.9,91.4,-8.58
