Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Boston Celtics* (4),39,27,.591,—,91.8,89.3,2.26
New York Knicks* (7),36,30,.545,3.0,97.8,94.7,2.39
Philadelphia 76ers* (8),35,31,.530,4.0,93.6,89.4,3.59
Toronto Raptors (11),23,43,.348,16.0,90.7,94.0,-3.67
New Jersey Nets (12),22,44,.333,17.0,93.1,99.1,-6.37
Central Division
Chicago Bulls* (1),50,16,.758,—,96.3,88.2,7.43
Indiana Pacers* (3),42,24,.636,8.0,97.7,94.4,2.60
Milwaukee Bucks (9),31,35,.470,19.0,99.0,98.7,-0.23
Detroit Pistons (10),25,41,.379,25.0,90.9,95.7,-5.19
Cleveland Cavaliers (13),21,45,.318,29.0,93.0,100.2,-7.34
Southeast Division
Miami Heat* (2),46,20,.697,—,98.5,92.5,5.72
Atlanta Hawks* (5),40,26,.606,6.0,96.6,93.2,2.67
Orlando Magic* (6),37,29,.561,9.0,94.2,93.4,0.46
Washington Wizards (14),20,46,.303,26.0,93.6,98.4,-5.14
Charlotte Bobcats (15),7,59,.106,39.0,87.0,100.9,-13.96
