Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
New York Knicks* (2),52,30,.634,—,116.7,112.9,3.62
Philadelphia 76ers* (7),46,36,.561,6.0,111.9,110.4,1.68
Boston Celtics* (8),42,40,.512,10.0,109.2,108.1,1.26
Washington Bullets (9),40,42,.488,12.0,108.3,110.4,-1.77
New Jersey Nets (11),26,56,.317,26.0,103.7,110.1,-5.69
Charlotte Hornets (12),20,62,.244,32.0,104.5,113.0,-7.74
Central Division
Detroit Pistons* (1),63,19,.768,—,106.6,100.8,6.24
Cleveland Cavaliers* (3),57,25,.695,6.0,108.8,101.2,7.95
Atlanta Hawks* (4),52,30,.634,11.0,111.0,106.1,5.26
Milwaukee Bucks* (5),49,33,.598,14.0,108.9,105.3,4.11
Chicago Bulls* (6),47,35,.573,16.0,106.4,105.0,2.13
Indiana Pacers (10),28,54,.341,35.0,106.9,111.1,-3.00
