Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Utah Jazz* (4),51,31,.622,—,101.5,98.6,3.06
Denver Nuggets* (6),45,37,.549,6.0,105.4,103.7,1.69
Portland Trail Blazers (12),32,50,.390,19.0,94.1,98.4,-3.78
Minnesota Timberwolves (13),32,50,.390,19.0,96.1,99.7,-3.16
Seattle SuperSonics (14),31,51,.378,20.0,99.1,102.0,-2.45
Pacific Division
Phoenix Suns* (2),61,21,.744,—,110.2,102.9,7.28
Los Angeles Lakers* (7),42,40,.512,19.0,103.3,103.4,0.24
Golden State Warriors* (8),42,40,.512,19.0,106.5,106.9,0.00
Los Angeles Clippers (9),40,42,.488,21.0,95.6,96.1,-0.07
Sacramento Kings (11),33,49,.402,28.0,101.3,103.1,-1.35
Southwest Division
Dallas Mavericks* (1),67,15,.817,—,100.0,92.8,7.28
San Antonio Spurs* (3),58,24,.707,9.0,98.5,90.1,8.35
Houston Rockets* (5),52,30,.634,15.0,97.0,92.1,5.04
New Orleans/Oklahoma City Hornets (10),39,43,.476,28.0,95.5,97.1,-1.19
Memphis Grizzlies (15),22,60,.268,45.0,101.6,106.7,-4.44
