Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Portland Trail Blazers* (3),49,33,.598,—,105.6,103.0,2.60
Oklahoma City Thunder* (4),48,34,.585,1.0,107.9,104.4,3.42
Utah Jazz* (5),48,34,.585,1.0,104.1,99.8,4.47
Minnesota Timberwolves* (8),47,35,.573,2.0,109.5,107.3,2.35
Denver Nuggets (9),46,36,.561,3.0,110.0,108.5,1.57
Pacific Division
Golden State Warriors* (2),58,24,.707,—,113.5,107.5,5.79
Los Angeles Clippers (10),42,40,.512,16.0,109.0,109.0,0.15
Los Angeles Lakers (11),35,47,.427,23.0,108.1,109.6,-1.44
Sacramento Kings (12),27,55,.329,31.0,98.8,105.8,-6.60
Phoenix Suns (15),21,61,.256,37.0,103.9,113.3,-8.80
Southwest Division
Houston Rockets* (1),65,17,.793,—,112.4,103.9,8.21
New Orleans Pelicans* (6),48,34,.585,17.0,111.7,110.4,1.48
San Antonio Spurs* (7),47,35,.573,18.0,102.7,99.8,2.89
Dallas Mavericks (13),24,58,.293,41.0,102.3,105.4,-2.70
Memphis Grizzlies (14),22,60,.268,43.0,99.3,105.5,-5.81
