Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
San Antonio Spurs* (1),58,24,.707,—,96.2,88.4,7.92
Utah Jazz* (4),53,29,.646,5.0,97.1,92.4,5.00
Dallas Mavericks* (5),53,29,.646,5.0,100.5,96.2,4.61
Minnesota Timberwolves* (8),47,35,.573,11.0,97.3,96.0,1.81
Houston Rockets (9),45,37,.549,13.0,97.2,94.9,2.71
Denver Nuggets (11),40,42,.488,18.0,96.6,99.0,-1.83
Vancouver Grizzlies (13),23,59,.280,35.0,91.7,97.5,-4.94
Pacific Division
Los Angeles Lakers* (2),56,26,.683,—,100.6,97.2,3.74
Sacramento Kings* (3),55,27,.671,1.0,101.7,95.9,6.07
Phoenix Suns* (6),51,31,.622,5.0,94.0,91.8,2.63
Portland Trail Blazers* (7),50,32,.610,6.0,95.4,91.2,4.52
Seattle SuperSonics (10),44,38,.537,12.0,97.3,97.3,0.55
Los Angeles Clippers (12),31,51,.378,25.0,92.5,95.3,-2.23
Golden State Warriors (14),17,65,.207,39.0,92.5,101.5,-8.11
