Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Milwaukee Bucks* (1),50,17,.746,—,117.4,108.4,8.43
Toronto Raptors* (2),48,20,.706,2.5,114.0,108.9,4.93
Indiana Pacers (3),42,25,.627,8.0,108.2,104.0,3.33
Philadelphia 76ers (3),42,25,.627,8.0,114.9,111.7,3.01
Boston Celtics (5),41,27,.603,9.5,112.3,107.1,4.71
Brooklyn Nets (6),36,33,.522,15.0,111.8,111.8,-0.84
Detroit Pistons (7),34,32,.515,15.5,107.7,107.8,-0.44
Miami Heat (8),31,35,.470,18.5,106.0,106.5,-1.10
Orlando Magic (9),31,37,.456,19.5,105.8,106.8,-1.06
Charlotte Hornets (10),30,37,.448,20.0,110.8,111.8,-1.45
Washington Wizards (11),28,39,.418,22.0,114.6,117.2,-2.84
Atlanta Hawks (12),23,45,.338,27.5,112.4,118.7,-6.90
Chicago Bulls (13),19,49,.279,31.5,105.0,112.7,-7.51
Cleveland Cavaliers (14),17,50,.254,33.0,104.1,113.3,-9.26
New York Knicks (15),13,54,.194,37.0,105.4,113.9,-8.15
