Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Oklahoma City Thunder* (3),55,27,.671,—,110.2,102.9,7.09
Portland Trail Blazers* (5),44,38,.537,11.0,105.1,104.3,0.98
Utah Jazz (9),40,42,.488,15.0,97.7,95.9,1.84
Denver Nuggets (10),33,49,.402,22.0,101.9,105.0,-2.81
Minnesota Timberwolves (13),29,53,.354,26.0,102.4,106.0,-3.38
Pacific Division
Golden State Warriors* (1),73,9,.890,—,114.9,104.1,10.38
Los Angeles Clippers* (4),53,29,.646,20.0,104.5,100.2,4.13
Sacramento Kings (10),33,49,.402,40.0,106.6,109.1,-2.32
Phoenix Suns (14),23,59,.280,50.0,100.9,107.5,-6.32
Los Angeles Lakers (15),17,65,.207,56.0,97.3,106.9,-8.92
Southwest Division
San Antonio Spurs* (2),67,15,.817,—,103.5,92.9,10.28
Dallas Mavericks* (6),42,40,.512,25.0,102.3,102.6,-0.02
Memphis Grizzlies* (7),42,40,.512,25.0,99.1,101.3,-2.14
Houston Rockets* (8),41,41,.500,26.0,106.5,106.4,0.34
New Orleans Pelicans (12),30,52,.366,37.0,102.7,106.5,-3.56
