Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Boston Celtics* (1),53,29,.646,—,108.0,105.4,2.25
Toronto Raptors* (3),51,31,.622,2.0,106.9,102.6,3.65
New York Knicks (12),31,51,.378,22.0,104.3,108.0,-3.87
Philadelphia 76ers (14),28,54,.341,25.0,102.4,108.1,-5.83
Brooklyn Nets (15),20,62,.244,33.0,105.8,112.5,-6.74
Central Division
Cleveland Cavaliers* (2),51,31,.622,—,110.3,107.2,2.87
Milwaukee Bucks* (6),42,40,.512,9.0,103.6,103.8,-0.45
Indiana Pacers* (7),42,40,.512,9.0,105.1,105.3,-0.64
Chicago Bulls* (8),41,41,.500,10.0,102.9,102.4,0.03
Detroit Pistons (10),37,45,.451,14.0,101.3,102.5,-1.29
Southeast Division
Washington Wizards* (4),49,33,.598,—,109.2,107.4,1.36
Atlanta Hawks* (5),43,39,.524,6.0,103.2,104.0,-1.23
Miami Heat (9),41,41,.500,8.0,103.2,102.1,0.77
Charlotte Hornets (11),36,46,.439,13.0,104.9,104.7,-0.07
Orlando Magic (13),29,53,.354,20.0,101.1,107.6,-6.61
