Rank,POS,PLAYER,AllStar,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,_PPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile
264,SF,Kyle Singler,0,11,Spot-Up Wings,No,Oklahoma City Thunder,2.6,0.961,0.793,-0.168,-0.4,2.5,2.1,306,36,-0.1,1.8,1.9,208,57,0.7,0.2,-0.4,-4.2,45
219,C,Guillermo Hernangomez,0,26,Post-Up Bigs,No,Charlotte Hornets,4.4,1.019,0.948,-0.072,-0.3,4.5,4.2,269,44,-0.2,4.2,4.2,179,63,0.3,0,-0.2,-4.3,54.4
252,SF,Ivan Rabb,0,16,Post-Up Bigs,Yes,Memphis Grizzlies,4.6,0.999,1.11,0.11,0.5,4.6,5.1,96,80,0.8,4.8,5.6,420,13,-0.2,-0.6,-0.3,-4.6,47.5
284,C,Jeff Withey,0,10,Parasitic Bigs,No,Dallas Mavericks,1.9,1.014,0.789,-0.224,-0.4,1.9,1.5,299,38,0,1.5,1.5,251,48,0.4,0,-0.5,-4.7,40.8
248,SF,DeAndre Liggins,0,40,Stretch Bigs,No,New Orleans Pelicans,2.5,0.981,0.83,-0.151,-0.4,2.5,2.1,285,41,-0.1,1.5,1.3,188,61,0.9,0.8,-0.3,-10.6,48.3
207,SG,David Nwaba,0,45,Reluctant Shooters,No,Chicago Bulls,6.9,1.029,0.997,-0.032,-0.2,7.1,6.8,245,49,-0.1,7.5,7.5,189,61,-0.4,-0.7,-0.1,-4.9,56.9
218,SG,Sterling Brown,0,30,Spot-Up Wings,Yes,Milwaukee Bucks,4.6,1.013,0.906,-0.107,-0.5,4.7,4.2,318,34,-0.3,4.9,4.9,133,72,-0.2,-0.7,-0.2,-5,54.6
366,PG,Milton Doyle,0,6,Distributors,No,Brooklyn Nets,4.8,0.918,0.621,-0.297,-1.4,4.4,3,457,5,-0.6,2.1,1.2,90,81,2.3,1.8,-0.9,-5.1,23.8
214,SG,Tyler Dorsey,0,33,Glue Guys,Yes,Atlanta Hawks,5.1,0.968,0.935,-0.033,-0.2,5,4.8,233,51,0,3.6,3.2,222,54,1.4,1.6,-0.2,-5.3,55.4
433,SF,Troy Williams,0,4,Creators,No,,2.8,0.959,0.455,-0.504,-1.4,2.6,1.3,455,5,0,2.5,2.5,228,53,0.1,-1.3,-1.4,-5.5,9.8
238,C,Andrew Bogut,0,24,Unskilled Bigs,No,Los Angeles Lakers,1.9,0.906,0.8,-0.106,-0.2,1.7,1.5,239,50,0,5,4.8,246,49,-3.3,-3.3,-0.2,-5.6,50.4
243,PG,Isaiah Canaan,0,19,Distributors,No,Phoenix Suns,10,0.907,0.905,-0.002,0,9.1,9.1,196,59,0.2,7.3,7.6,295,39,1.8,1.5,-0.3,-5,49.4
279,PF,JaKarr Sampson,0,13,Bigs-with-Touch,No,Sacramento Kings,3.5,1.053,1.217,0.164,0.6,3.7,4.3,89,81,1,5.1,6.8,449,6,-1.4,-2.5,-0.5,-6,41.9
233,C,Al Jefferson,0,29,Post-Up Bigs,No,Indiana Pacers,6.3,1.001,1.065,0.064,0.4,6.4,6.8,108,78,0.6,6.8,7.3,392,18,-0.4,-0.5,-0.2,-6.2,51.5
