,,Data last updated:,,,2/15/2018 5:21 PM EDT,,,,Offensive Possessions Per Game,Expected Points Per Possession,Actual Points Per Possession,Change in Points Per Possession,Created Points Over Expectation,Expected Points per Game,Actual Points per Game,CPOE Rank,CPOE %ile,Total Defensive Points Over Expectation,Expected Points Against per Game,Actual Points Against per Game,DPOE Rank,tDPOE %ile,Expected Plus Minus per Game,Actual Plus Minus per Game,Points Over Expectation,Season POE,POE Percentile,
Rank,POS,PLAYER,,,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,ΔPPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile,
274,PF,Vince Carter,"Vince Carter,Sacramento Kings",",",38,Spot-Up Wings,No,Sacramento Kings,5.6,0.971,0.900,-0.071,-0.4,5.4,5.0,293,39%,0.0,4.9,5.2,248,48%,0.5,-0.2,-0.4,-16.3,42.9%,PF
394,PG,Derrick Rose,"Derrick Rose,",",",16,Distributors,No,,11.3,0.964,0.872,-0.092,-1.0,10.8,9.8,427,11%,0.0,6.2,6.2,227,53%,4.7,3.6,-1.0,-16.5,17.9%,PG
362,PG,Bobby Brown,"Bobby Brown,Houston Rockets",",",20,Distributors,No,Houston Rockets,3.5,0.887,0.725,-0.162,-0.6,3.1,2.5,336,30%,0.3,1.3,1.5,307,36%,1.8,1.0,-0.8,-16.7,24.6%,PG
321,PG,Aaron Brooks,"Aaron Brooks,Minnesota Timberwolves",",",27,Rock Pounders,No,Minnesota Timberwolves,2.3,0.883,0.873,-0.010,0.0,2.1,2.0,199,59%,0.6,2.1,2.8,388,19%,-0.1,-0.7,-0.6,-16.9,33.1%,PG
281,PG,John Wall,"John Wall,Washington Wizards",",",37,Creators,No,Washington Wizards,22.5,0.918,0.860,-0.059,-1.3,20.7,19.4,451,6%,-0.9,11.5,9.8,58,88%,9.2,9.6,-0.5,-17.1,41.5%,PG
326,SF,Jake Layman,"Jake Layman,Portland Trail Blazers",",",26,Off-Ball Workers,No,Portland Trail Blazers,1.8,1.002,0.638,-0.364,-0.7,1.8,1.2,359,25%,0.0,1.3,1.2,236,51%,0.6,0.0,-0.7,-17.2,32.1%,SF
346,SF,Quincy Pondexter,"Quincy Pondexter,Chicago Bulls",",",23,Spot-Up Wings,No,Chicago Bulls,2.9,0.988,0.672,-0.316,-0.9,2.9,2.0,410,15%,-0.1,2.6,2.6,180,63%,0.3,-0.6,-0.8,-17.8,27.9%,SF
258,PG,Shaun Livingston,"Shaun Livingston,Golden State Warriors",",",51,Point Forwards,No,Golden State Warriors,5.7,1.007,0.907,-0.100,-0.6,5.7,5.1,340,29%,-0.2,5.1,5.1,160,67%,0.6,0.1,-0.4,-17.9,46.3%,PG
480,SF,Markelle Fultz,"Markelle Fultz,Philadelphia 76ers",",",4,Reluctant Shooters,Yes,Philadelphia 76ers,9.8,1.035,0.615,-0.420,-4.1,10.1,6.0,480,0%,0.4,7.8,8.5,347,28%,2.3,-2.5,-4.5,-18.1,0.0%,SF
300,PF,Marcus Morris,"Marcus Morris,Boston Celtics",",",35,Glue Guys,No,Boston Celtics,12.6,0.963,0.959,-0.003,0.0,12.2,12.1,202,58%,0.5,7.3,7.5,362,25%,4.9,4.6,-0.5,-18.3,37.5%,PF
257,C,Kosta Koufos,"Kosta Koufos,Sacramento Kings",",",54,Roll-and-Cut Bigs,No,Sacramento Kings,6.2,1.056,0.985,-0.071,-0.4,6.5,6.1,305,36%,-0.1,7.3,7.4,196,59%,-0.8,-1.3,-0.4,-18.9,46.5%,C
419,PF,Jonathan Isaac,"Jonathan Isaac,Orlando Magic",",",15,Reluctant Shooters,Yes,Orlando Magic,6.5,1.018,0.814,-0.204,-1.3,6.6,5.3,450,6%,-0.1,7.1,7.3,209,56%,-0.5,-2.1,-1.3,-18.9,12.7%,PF
255,SG,Pat Connaughton,"Pat Connaughton,Portland Trail Blazers",",",58,Spot-Up Wings,No,Portland Trail Blazers,6.1,0.994,1.031,0.038,0.2,6.1,6.3,137,71%,0.6,6.2,6.4,374,22%,-0.2,-0.1,-0.3,-19.0,46.9%,SG
303,PF,Johnny O'Bryant III,"Johnny O'Bryant III,New York Knicks",",",36,Versatile Bigs,No,New York Knicks,5.4,1.002,0.877,-0.125,-0.7,5.4,4.8,362,25%,-0.1,3.8,3.8,181,62%,1.6,0.9,-0.5,-19.2,36.9%,PF
411,C,Georgios Papagiannis,"Georgios Papagiannis,Sacramento Kings",",",16,Post-Up Bigs,No,Sacramento Kings,3.2,0.968,0.725,-0.243,-0.8,3.1,2.3,389,19%,0.4,3.1,3.5,351,27%,0.0,-1.2,-1.2,-19.3,14.4%,C
266,PF,Sam Dekker,"Sam Dekker,Los Angeles Clippers",",",51,Reluctant Shooters,No,Los Angeles Clippers,4.8,1.033,0.911,-0.123,-0.6,5.0,4.4,346,28%,-0.2,4.3,4.2,163,66%,0.7,0.2,-0.4,-19.8,44.6%,PF
373,C,Henry Ellenson,"Henry Ellenson,Detroit Pistons",",",22,Pick and Pop Bigs,No,Detroit Pistons,3.5,1.001,0.711,-0.290,-1.0,3.5,2.5,422,12%,-0.1,2.6,2.6,190,60%,0.9,-0.1,-0.9,-19.8,22.3%,C
262,SF,Dante Cunningham,"Dante Cunningham,Brooklyn Nets",",",54,Stretch Bigs,No,Brooklyn Nets,5.1,1.066,0.957,-0.109,-0.6,5.5,4.9,338,30%,-0.2,2.2,2.1,165,66%,3.3,2.8,-0.4,-19.8,45.4%,SF
269,PG,Andrew Harrison,"Andrew Harrison,Memphis Grizzlies",",",48,Distributors,No,Memphis Grizzlies,9.5,0.905,0.912,0.008,0.1,8.6,8.7,167,65%,0.5,8.2,8.2,365,24%,0.4,0.5,-0.4,-19.9,44.0%,PG
376,SF,Tony Allen,"Tony Allen,Chicago Bulls",",",22,Reluctant Shooters,No,Chicago Bulls,5.5,1.038,0.858,-0.180,-1.0,5.7,4.7,420,13%,-0.1,3.5,3.5,203,58%,2.2,1.2,-0.9,-19.9,21.7%,SF
286,PF,T.J. Leaf,"T.J. Leaf,Indiana Pacers",",",42,Pick and Pop Bigs,No,Indiana Pacers,3.0,1.054,1.023,-0.030,-0.1,3.2,3.1,218,55%,0.4,3.4,3.5,341,29%,-0.1,-0.4,-0.5,-20.1,40.4%,PF
308,SG,Austin Rivers,"Austin Rivers,Los Angeles Clippers",",",36,Creators,No,Los Angeles Clippers,16.4,0.914,0.944,0.030,0.5,15.0,15.5,98,80%,1.1,9.4,9.4,450,6%,5.7,6.1,-0.6,-20.2,35.8%,SG
260,SG,Bryn Forbes,"Bryn Forbes,San Antonio Spurs",",",58,Spot-Up Wings,No,San Antonio Spurs,8.0,0.972,0.966,-0.007,-0.1,7.8,7.7,207,57%,0.3,6.0,5.7,317,34%,1.8,2.0,-0.4,-20.6,45.8%,SG
276,SG,Tyler Johnson,"Tyler Johnson,Miami Heat",",",50,Secondary Creators,No,Miami Heat,11.8,0.954,0.956,0.002,0.0,11.3,11.3,175,64%,0.5,9.4,9.3,358,25%,1.9,2.0,-0.4,-21.6,42.5%,SG
311,C,Miles Plumlee,"Miles Plumlee,Atlanta Hawks",",",38,Roll-and-Cut Bigs,No,Atlanta Hawks,4.8,1.043,0.907,-0.136,-0.7,5.0,4.4,358,25%,-0.1,7.5,7.1,198,59%,-2.5,-2.7,-0.6,-21.7,35.2%,C
430,SG,Derrick Jones Jr.,"Derrick Jones Jr.,Miami Heat",",",16,Reluctant Shooters,No,Miami Heat,3.7,1.026,0.831,-0.195,-0.7,3.8,3.1,372,23%,0.6,2.3,3.1,396,18%,1.5,0.0,-1.4,-21.8,10.4%,SG
430,SG,Derrick Jones Jr.,"Derrick Jones Jr.,Miami Heat",",",16,Reluctant Shooters,No,Miami Heat,3.7,1.026,0.831,-0.195,-0.7,3.8,3.1,372,23%,0.6,2.3,3.1,396,18%,1.5,0.0,-1.4,-21.8,10.4%,SG
265,C,Robin Lopez,"Robin Lopez,Chicago Bulls",",",57,Parasitic Bigs,No,Chicago Bulls,12.9,1.022,0.957,-0.066,-0.8,13.2,12.4,400,17%,-0.5,12.6,12.5,110,77%,0.6,-0.1,-0.4,-21.9,44.8%,C
280,SF,Trevor Booker,"Trevor Booker,Brooklyn Nets",",",48,Bigs-with-Touch,No,Brooklyn Nets,7.0,1.020,0.964,-0.056,-0.4,7.2,6.8,290,40%,0.1,3.5,3.9,260,46%,3.6,2.9,-0.5,-22.0,41.7%,SF
288,SG,Malcolm Brogdon,"Malcolm Brogdon,Milwaukee Bucks",",",46,Secondary Creators,No,Milwaukee Bucks,12.8,0.980,1.027,0.047,0.6,12.5,13.1,86,82%,1.1,9.7,10.0,455,5%,2.9,3.1,-0.5,-22.1,40.0%,SG
460,PG,Kobi Simmons,"Kobi Simmons,Memphis Grizzlies",",",12,Glue Guys,No,Memphis Grizzlies,4.7,0.933,0.821,-0.111,-0.5,4.4,3.8,327,32%,1.4,5.2,6.9,467,3%,-0.9,-3.1,-1.9,-22.7,4.2%,PG
289,PF,Bobby Portis,"Bobby Portis,Chicago Bulls",",",48,Bigs-with-Touch,No,Chicago Bulls,12.5,1.010,0.993,-0.017,-0.2,12.7,12.5,240,50%,0.3,6.2,6.1,305,36%,6.5,6.4,-0.5,-23.2,39.8%,PF
270,PF,Pascal Siakam,"Pascal Siakam,Toronto Raptors",",",56,Pick and Pop Bigs,No,Toronto Raptors,7.1,1.034,0.939,-0.095,-0.7,7.3,6.6,361,25%,-0.3,6.6,6.7,149,69%,0.7,-0.1,-0.4,-23.3,43.8%,PF
275,SF,Bogdan Bogdanovic,"Bogdan Bogdanovic,Sacramento Kings",",",54,Secondary Creators,Yes,Sacramento Kings,11.6,0.930,0.976,0.046,0.5,10.7,11.3,92,81%,1.0,7.0,7.4,441,8%,3.8,3.9,-0.4,-23.3,42.7%,SF
310,PF,Skal Labissière,"Skal Labissière,Sacramento Kings",",",42,Post-Up Bigs,No,Sacramento Kings,8.5,0.996,0.919,-0.077,-0.7,8.5,7.9,357,26%,-0.1,6.3,6.3,197,59%,2.2,1.6,-0.6,-23.9,35.4%,PF
272,PG,Ish Smith,"Ish Smith,Detroit Pistons",",",57,Distributors,No,Detroit Pistons,11.9,0.935,0.902,-0.033,-0.4,11.1,10.7,288,40%,0.0,8.3,8.2,245,49%,2.8,2.5,-0.4,-23.9,43.3%,PG
305,PG,Shelvin Mack,"Shelvin Mack,Orlando Magic",",",44,Distributors,No,Orlando Magic,6.3,0.930,0.871,-0.060,-0.4,5.9,5.5,284,41%,0.2,6.6,6.8,279,42%,-0.7,-1.3,-0.5,-23.9,36.5%,PG
436,PF,Caleb Swanigan,"Caleb Swanigan,Portland Trail Blazers",",",17,Roll-and-Cut Bigs,Yes,Portland Trail Blazers,3.6,1.043,0.672,-0.370,-1.3,3.7,2.4,452,6%,0.1,3.0,3.3,264,45%,0.8,-0.9,-1.4,-23.9,9.2%,PF
453,PG,Kay Felder,"Kay Felder,Chicago Bulls",",",14,Rock Pounders,No,Chicago Bulls,6.4,0.899,0.611,-0.287,-1.8,5.8,3.9,470,2%,-0.1,2.5,1.9,184,62%,3.3,2.1,-1.7,-24.0,5.6%,PG
271,SG,Kent Bazemore,"Kent Bazemore,Atlanta Hawks",",",58,Secondary Creators,No,Atlanta Hawks,14.3,0.933,0.908,-0.024,-0.3,13.3,12.9,280,42%,0.1,8.8,9.8,259,46%,4.5,3.1,-0.4,-24.2,43.5%,SG
344,PF,Jared Dudley,"Jared Dudley,Phoenix Suns",",",32,Stretch Bigs,No,Phoenix Suns,3.3,0.975,0.846,-0.129,-0.4,3.2,2.8,296,38%,0.3,3.9,4.1,329,31%,-0.7,-1.3,-0.8,-24.5,28.3%,PF
341,PG,Reggie Jackson,"Reggie Jackson,Detroit Pistons",",",33,Rock Pounders,No,Detroit Pistons,15.9,0.897,0.911,0.014,0.2,14.3,14.5,139,71%,1.0,8.6,9.3,442,8%,5.7,5.2,-0.8,-24.8,29.0%,PG
282,PF,Harrison Barnes,"Harrison Barnes,Dallas Mavericks",",",56,Ball Stoppers,No,Dallas Mavericks,18.3,0.956,0.982,0.026,0.5,17.5,18.0,100,79%,0.9,8.5,8.7,437,9%,9.0,9.3,-0.5,-26.3,41.3%,PF
277,SG,Troy Daniels,"Troy Daniels,Phoenix Suns",",",59,Off-Ball Workers,No,Phoenix Suns,7.8,0.964,1.072,0.108,0.8,7.5,8.3,62,87%,1.3,6.1,6.2,462,4%,1.4,2.1,-0.4,-26.3,42.3%,SG
