,,Data last updated:,,,2/15/2018 5:21 PM EDT,,,,Offensive Possessions Per Game,Expected Points Per Possession,Actual Points Per Possession,Change in Points Per Possession,Created Points Over Expectation,Expected Points per Game,Actual Points per Game,CPOE Rank,CPOE %ile,Total Defensive Points Over Expectation,Expected Points Against per Game,Actual Points Against per Game,DPOE Rank,tDPOE %ile,Expected Plus Minus per Game,Actual Plus Minus per Game,Points Over Expectation,Season POE,POE Percentile,
Rank,POS,PLAYER,,,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,ΔPPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile,
323,SG,Josh Hart,"Josh Hart,Los Angeles Lakers",",",51,Stretch Bigs,Yes,Los Angeles Lakers,5.9,1.006,1.063,0.057,0.3,5.9,6.3,115,76%,1.0,7.7,8.6,443,8%,-1.7,-2.3,-0.7,-33.7,32.7%,SG
414,SF,Abdel Nader,"Abdel Nader,Boston Celtics",",",28,Spot-Up Wings,Yes,Boston Celtics,3.6,0.990,0.730,-0.260,-0.9,3.5,2.6,412,14%,0.3,3.1,3.2,313,35%,0.5,-0.6,-1.2,-34.2,13.8%,SF
390,PG,Tyler Ennis,"Tyler Ennis,Los Angeles Lakers",",",34,Distributors,No,Los Angeles Lakers,4.2,0.936,0.746,-0.189,-0.8,3.9,3.1,392,18%,0.2,4.0,4.4,290,40%,-0.1,-1.3,-1.0,-34.4,18.8%,PG
400,PG,Mike James,"Mike James,Phoenix Suns",",",32,Rock Pounders,Yes,Phoenix Suns,12.8,0.892,0.822,-0.071,-0.9,11.4,10.5,407,15%,0.2,7.3,7.2,280,42%,4.1,3.3,-1.1,-34.4,16.7%,PG
358,SF,Justin Jackson,"Justin Jackson,Sacramento Kings",",",43,Spot-Up Wings,Yes,Sacramento Kings,6.5,1.010,0.932,-0.078,-0.5,6.6,6.1,324,33%,0.3,5.3,5.4,319,34%,1.3,0.7,-0.8,-34.8,25.4%,SF
391,SG,Sean Kilpatrick,"Sean Kilpatrick,Milwaukee Bucks",",",35,Glue Guys,No,Milwaukee Bucks,5.5,0.967,0.833,-0.134,-0.7,5.3,4.6,377,21%,0.3,1.2,1.2,311,35%,4.1,3.4,-1.0,-35.6,18.5%,SG
448,C,Jahlil Okafor,"Jahlil Okafor,Brooklyn Nets",",",22,Versatile Bigs,No,Brooklyn Nets,6.1,1.018,1.015,-0.004,0.0,6.2,6.2,198,59%,1.6,8.3,9.0,471,2%,-2.1,-2.8,-1.6,-35.6,6.7%,C
324,SF,Evan Turner,"Evan Turner,Portland Trail Blazers",",",55,Secondary Creators,No,Portland Trail Blazers,9.4,0.928,0.874,-0.054,-0.5,8.7,8.2,326,32%,0.2,8.9,9.0,276,43%,-0.2,-0.8,-0.7,-36.3,32.5%,SF
319,PG,Patty Mills,"Patty Mills,San Antonio Spurs",",",59,Secondary Creators,No,San Antonio Spurs,9.6,0.918,0.981,0.062,0.6,8.8,9.4,87,82%,1.2,4.7,5.3,459,4%,4.1,4.1,-0.6,-36.5,33.5%,PG
387,PG,Matthew Dellavedova,"Matthew Dellavedova,Milwaukee Bucks",",",37,Distributors,No,Milwaukee Bucks,5.5,0.896,0.765,-0.132,-0.7,4.9,4.2,374,22%,0.3,6.0,5.7,302,37%,-1.1,-1.5,-1.0,-36.6,19.4%,PG
368,SG,Terrance Ferguson,"Terrance Ferguson,Oklahoma City Thunder",",",43,Stretch Bigs,Yes,Oklahoma City Thunder,3.1,1.007,0.918,-0.089,-0.3,3.1,2.9,262,45%,0.6,4.4,4.7,384,20%,-1.2,-1.9,-0.9,-37.2,23.3%,SG
328,SG,Will Barton,"Will Barton,Denver Nuggets",",",56,Distributors,No,Denver Nuggets,15.2,0.951,0.959,0.008,0.1,14.5,14.6,159,67%,0.8,8.4,8.5,418,13%,6.0,6.1,-0.7,-37.5,31.7%,SG
423,PG,Frank Mason,"Frank Mason,Sacramento Kings",",",29,Distributors,Yes,Sacramento Kings,9.1,0.927,0.829,-0.098,-0.9,8.4,7.5,405,16%,0.4,5.1,5.0,342,29%,3.3,2.5,-1.3,-37.5,11.9%,PG
336,SF,Brandon Ingram,"Brandon Ingram,Los Angeles Lakers",",",52,Creators,No,Los Angeles Lakers,17.8,0.945,0.905,-0.040,-0.7,16.8,16.1,371,23%,0.0,6.7,6.1,239,50%,10.1,10.0,-0.7,-37.7,30.0%,SF
334,PF,Dario Saric,"Dario Saric,Philadelphia 76ers",",",54,Pick and Pop Bigs,No,Philadelphia 76ers,14.6,1.012,0.997,-0.015,-0.2,14.8,14.6,242,50%,0.5,9.8,9.9,363,24%,5.0,4.6,-0.7,-37.8,30.4%,PF
338,PF,Maxi Kleber,"Maxi Kleber,Dallas Mavericks",",",52,Pick and Pop Bigs,Yes,Dallas Mavericks,5.2,1.061,1.030,-0.031,-0.2,5.5,5.3,232,52%,0.6,8.0,8.4,377,21%,-2.4,-3.0,-0.7,-38.1,29.6%,PF
329,SF,Kelly Oubre Jr.,"Kelly Oubre Jr.,Washington Wizards",",",57,Spot-Up Wings,No,Washington Wizards,11.6,0.986,1.005,0.018,0.2,11.5,11.7,144,70%,0.9,8.4,8.8,429,11%,3.0,2.9,-0.7,-38.3,31.5%,SF
327,SF,Doug McDermott,"Doug McDermott,Dallas Mavericks",",",58,Reluctant Shooters,No,Dallas Mavericks,7.0,1.031,1.027,-0.004,0.0,7.2,7.2,201,58%,0.6,2.2,2.1,395,18%,5.1,5.1,-0.7,-38.5,31.9%,SF
375,SG,Arron Afflalo,"Arron Afflalo,Orlando Magic",",",43,Spot-Up Wings,No,Orlando Magic,3.7,0.976,0.861,-0.115,-0.4,3.6,3.2,297,38%,0.5,2.8,3.3,364,24%,0.7,-0.1,-0.9,-38.9,21.9%,SG
356,PG,Dwyane Wade,"Dwyane Wade,Miami Heat",",",49,Point Forwards,No,Miami Heat,12.8,0.938,0.850,-0.088,-1.1,12.0,10.9,435,9%,-0.3,1.3,1.2,132,73%,10.7,9.7,-0.8,-39.2,25.8%,PG
363,PG,Elfrid Payton,"Elfrid Payton,Phoenix Suns",",",47,Distributors,No,Phoenix Suns,14.5,0.944,0.931,-0.013,-0.2,13.7,13.5,236,51%,0.7,1.9,1.8,400,17%,11.8,11.7,-0.8,-39.4,24.4%,PG
353,C,Mason Plumlee,"Mason Plumlee,Denver Nuggets",",",50,Roll-and-Cut Bigs,No,Denver Nuggets,8.1,1.020,0.909,-0.111,-0.9,8.3,7.4,406,15%,-0.1,9.3,9.3,189,61%,-1.0,-1.9,-0.8,-39.5,26.5%,C
355,C,Jarrett Allen,"Jarrett Allen,Brooklyn Nets",",",50,Unskilled Bigs,Yes,Brooklyn Nets,7.0,1.073,1.080,0.006,0.0,7.6,7.6,172,64%,0.8,10.2,10.5,425,11%,-2.7,-2.9,-0.8,-39.7,26.0%,C
364,SG,Kentavious Caldwell-Pope,"Kentavious Caldwell-Pope,Los Angeles Lakers",",",48,Off-Ball Workers,No,Los Angeles Lakers,13.1,0.993,0.968,-0.025,-0.3,13.0,12.7,274,43%,0.5,10.6,11.0,372,23%,2.4,1.6,-0.8,-40.3,24.2%,SG
354,SF,Wilson Chandler,"Wilson Chandler,Denver Nuggets",",",51,Reluctant Shooters,No,Denver Nuggets,10.1,0.985,0.913,-0.072,-0.7,10.0,9.3,376,22%,0.1,7.9,7.9,256,47%,2.1,1.4,-0.8,-40.4,26.3%,SF
382,PF,Justise Winslow,"Justise Winslow,Miami Heat",",",44,Reluctant Shooters,No,Miami Heat,7.8,0.974,0.788,-0.185,-1.5,7.6,6.2,459,4%,-0.5,8.1,8.0,105,78%,-0.5,-1.8,-1.0,-42.0,20.4%,PF
429,PF,Kenneth Faried,"Kenneth Faried,Denver Nuggets",",",32,Unskilled Bigs,No,Denver Nuggets,6.1,1.038,0.949,-0.089,-0.5,6.4,5.8,329,31%,0.8,5.9,6.5,422,12%,0.5,-0.7,-1.4,-43.4,10.6%,PF
352,SF,Dillon Brooks,"Dillon Brooks,Memphis Grizzlies",",",56,Glue Guys,Yes,Memphis Grizzlies,9.6,0.960,0.937,-0.023,-0.2,9.3,9.0,243,49%,0.6,9.6,10.2,375,22%,-0.3,-1.2,-0.8,-43.9,26.7%,SF
374,SG,Norman Powell,"Norman Powell,Toronto Raptors",",",49,Glue Guys,No,Toronto Raptors,7.1,0.969,0.842,-0.127,-0.9,6.9,6.0,408,15%,0.0,5.1,4.8,226,53%,1.8,1.2,-0.9,-44.3,22.1%,SG
351,SF,Wesley Matthews,"Wesley Matthews,Dallas Mavericks",",",57,Glue Guys,No,Dallas Mavericks,13.2,0.958,0.980,0.022,0.3,12.6,12.9,125,74%,1.1,9.6,9.9,453,6%,3.0,3.1,-0.8,-44.6,26.9%,SF
426,SG,Ben McLemore,"Ben McLemore,Memphis Grizzlies",",",34,Spot-Up Wings,No,Memphis Grizzlies,7.1,0.991,0.867,-0.123,-0.9,7.0,6.1,403,16%,0.5,5.6,6.2,356,26%,1.4,-0.1,-1.3,-45.3,11.3%,SG
367,SG,Marco Belinelli,"Marco Belinelli,Atlanta Hawks",",",53,Off-Ball Workers,No,Atlanta Hawks,11.2,0.962,1.007,0.045,0.5,10.8,11.3,97,80%,1.4,3.5,3.9,466,3%,7.3,7.3,-0.9,-45.5,23.5%,SG
377,PG,Mario Chalmers,"Mario Chalmers,Memphis Grizzlies",",",50,Distributors,No,Memphis Grizzlies,9.6,0.916,0.795,-0.120,-1.2,8.8,7.6,439,9%,-0.2,6.5,6.3,152,68%,2.3,1.3,-0.9,-45.4,21.5%,PG
360,SG,E'Twaun Moore,"E'Twaun Moore,New Orleans Pelicans",",",57,Spot-Up Wings,No,New Orleans Pelicans,11.7,1.005,1.069,0.064,0.7,11.8,12.5,70,85%,1.6,8.4,8.9,470,2%,3.4,3.6,-0.8,-46.6,25.0%,SG
380,PF,Semi Ojeleye,"Semi Ojeleye,Boston Celtics",",",51,Stretch Bigs,Yes,Boston Celtics,3.0,1.021,0.806,-0.215,-0.7,3.1,2.5,355,26%,0.3,4.5,4.7,310,35%,-1.4,-2.3,-0.9,-47.6,20.8%,PF
381,SF,Corey Brewer,"Corey Brewer,Los Angeles Lakers",",",52,Spot-Up Wings,No,Los Angeles Lakers,4.4,1.016,0.825,-0.191,-0.8,4.5,3.6,398,17%,0.1,4.4,4.3,270,44%,0.0,-0.7,-0.9,-49.2,20.6%,SF
370,C,Gorgui Dieng,"Gorgui Dieng,Minnesota Timberwolves",",",57,Pick and Pop Bigs,No,Minnesota Timberwolves,6.7,1.018,0.961,-0.057,-0.4,6.8,6.4,287,40%,0.5,7.1,7.3,369,23%,-0.3,-0.9,-0.9,-50.2,22.9%,C
379,C,Jusuf Nurkic,"Jusuf Nurkic,Portland Trail Blazers",",",55,Post-Up Bigs,No,Portland Trail Blazers,16.0,1.005,0.873,-0.132,-2.1,16.1,14.0,476,1%,-1.2,13.7,13.3,33,93%,2.4,0.7,-0.9,-50.5,21.0%,C
435,PG,Lonzo Ball,"Lonzo Ball,Los Angeles Lakers",",",36,Distributors,Yes,Los Angeles Lakers,14.4,0.938,0.704,-0.234,-3.4,13.5,10.1,479,0%,-1.9,11.7,10.6,8,98%,1.8,-0.5,-1.4,-50.6,9.4%,PG
383,PG,J.J. Barea,"J.J. Barea,Dallas Mavericks",",",53,Distributors,No,Dallas Mavericks,12.5,0.902,0.898,-0.004,-0.1,11.3,11.2,208,57%,0.9,6.9,7.4,433,10%,4.4,3.8,-1.0,-51.3,20.2%,PG
467,PG,DAngelo Russell,"DAngelo Russell,Brooklyn Nets",",",25,Rock Pounders,No,Brooklyn Nets,18.8,0.905,0.830,-0.075,-1.4,17.0,15.6,456,5%,0.7,7.6,7.0,402,16%,9.4,8.6,-2.1,-51.8,2.7%,PG
378,PG,Russell Westbrook,"Russell Westbrook,Oklahoma City Thunder",",",57,Creators,No,Oklahoma City Thunder,28.8,0.926,0.876,-0.051,-1.5,26.7,25.2,460,4%,-0.5,9.0,8.4,96,80%,17.7,16.8,-0.9,-52.0,21.3%,PG
475,SF,DeAndre Bembry,"DeAndre Bembry,Atlanta Hawks",",",20,Glue Guys,No,Atlanta Hawks,7.1,0.947,0.674,-0.274,-1.9,6.7,4.8,471,2%,0.7,5.4,6.1,406,15%,1.3,-1.4,-2.6,-52.0,1.0%,SF
401,PG,Jeff Teague,"Jeff Teague,Minnesota Timberwolves",",",49,Distributors,No,Minnesota Timberwolves,14.7,0.886,0.876,-0.010,-0.1,13.0,12.9,227,53%,0.9,10.7,11.1,436,9%,2.3,1.7,-1.1,-53.0,16.5%,PG
415,PG,Tim Frazier,"Tim Frazier,Washington Wizards",",",43,Distributors,No,Washington Wizards,4.5,0.906,0.723,-0.182,-0.8,4.1,3.3,396,18%,0.4,5.3,5.7,346,28%,-1.1,-2.4,-1.3,-54.0,13.5%,PG
442,SG,Malik Monk,"Malik Monk,Charlotte Hornets",",",36,Secondary Creators,Yes,Charlotte Hornets,6.8,0.929,0.820,-0.110,-0.7,6.3,5.6,379,21%,0.8,3.7,4.1,415,14%,2.6,1.5,-1.5,-53.8,7.9%,SG
410,SG,Marcus Smart,"Marcus Smart,Boston Celtics",",",46,Secondary Creators,No,Boston Celtics,13.3,0.914,0.755,-0.159,-2.1,12.1,10.0,475,1%,-0.9,9.6,8.9,45,91%,2.5,1.1,-1.2,-54.2,14.6%,SG
412,SF,Timothé Luwawu-Cabarrot,"Timothé Luwawu-Cabarrot,Philadelphia 76ers",",",46,Spot-Up Wings,No,Philadelphia 76ers,7.1,0.991,0.881,-0.110,-0.8,7.0,6.3,390,19%,0.4,5.2,5.4,349,27%,1.9,0.8,-1.2,-55.7,14.2%,SF
409,PG,Patrick McCaw,"Patrick McCaw,Golden State Warriors",",",50,Glue Guys,No,Golden State Warriors,4.3,1.004,0.874,-0.129,-0.6,4.3,3.8,333,31%,0.6,4.7,4.7,383,20%,-0.4,-1.0,-1.1,-57.1,14.8%,PG
395,SF,Jae Crowder,"Jae Crowder,Utah Jazz",",",56,Stretch Bigs,No,Utah Jazz,9.0,1.026,0.986,-0.040,-0.4,9.2,8.9,282,41%,0.7,6.2,6.2,408,15%,3.0,2.6,-1.0,-58.0,17.7%,SF
427,SG,Devin Booker,"Devin Booker,Phoenix Suns",",",44,Secondary Creators,No,Phoenix Suns,24.7,0.932,0.957,0.025,0.6,23.0,23.7,85,82%,1.9,10.0,10.7,476,1%,13.0,13.0,-1.3,-58.8,11.0%,SG
408,SG,Alec Burks,"Alec Burks,Utah Jazz",",",52,Secondary Creators,No,Utah Jazz,9.1,0.955,0.941,-0.014,-0.1,8.7,8.6,224,53%,1.0,3.7,4.5,447,7%,5.0,4.0,-1.1,-59.2,15.0%,SG
403,SG,Buddy Hield,"Buddy Hield,Sacramento Kings",",",55,Secondary Creators,No,Sacramento Kings,12.6,0.967,0.967,0.000,0.0,12.2,12.2,191,60%,1.1,7.4,8.3,456,5%,4.8,3.9,-1.1,-59.9,16.0%,SG
424,SF,Stanley Johnson,"Stanley Johnson,Detroit Pistons",",",46,Spot-Up Wings,No,Detroit Pistons,10.0,0.974,0.867,-0.107,-1.1,9.7,8.7,433,10%,0.2,8.4,9.0,292,39%,1.3,-0.3,-1.3,-59.9,11.7%,SF
465,SG,Dion Waiters,"Dion Waiters,Miami Heat",",",30,Secondary Creators,No,Miami Heat,17.1,0.927,0.836,-0.091,-1.6,15.9,14.3,462,4%,0.4,8.7,9.0,354,26%,7.1,5.3,-2.0,-60.0,3.1%,SG
406,PF,Jarell Martin,"Jarell Martin,Memphis Grizzlies",",",53,Reluctant Shooters,No,Memphis Grizzlies,7.3,1.029,0.888,-0.140,-1.0,7.5,6.5,425,11%,0.1,7.1,7.4,271,44%,0.4,-0.9,-1.1,-60.1,15.4%,PF
396,PG,Cory Joseph,"Cory Joseph,Indiana Pacers",",",58,Distributors,No,Indiana Pacers,8.6,0.923,0.895,-0.028,-0.2,7.9,7.7,251,48%,0.8,9.5,9.9,421,12%,-1.7,-2.3,-1.0,-60.8,17.5%,PG
407,PG,Ricky Rubio,"Ricky Rubio,Utah Jazz",",",54,Distributors,No,Utah Jazz,14.4,0.920,0.827,-0.093,-1.3,13.3,11.9,453,6%,-0.2,9.7,9.9,164,66%,3.6,2.0,-1.1,-61.4,15.2%,PG
402,PG,Dejounte Murray,"Dejounte Murray,San Antonio Spurs",",",58,Distributors,No,San Antonio Spurs,9.1,0.959,0.779,-0.180,-1.6,8.7,7.1,463,4%,-0.6,7.1,7.4,93,81%,1.7,-0.3,-1.1,-63.0,16.3%,PG
405,C,Thon Maker,"Thon Maker,Milwaukee Bucks",",",56,Pick and Pop Bigs,No,Milwaukee Bucks,5.6,1.030,0.895,-0.135,-0.8,5.8,5.0,385,20%,0.4,3.9,3.9,336,30%,1.8,1.1,-1.1,-63.1,15.6%,C
416,SG,Malcom Delaney,"Malcom Delaney,Atlanta Hawks",",",51,Distributors,No,Atlanta Hawks,7.4,0.924,0.837,-0.087,-0.6,6.8,6.2,351,27%,0.6,5.9,6.1,390,19%,0.9,0.0,-1.3,-64.1,13.3%,SG
444,C,Zach Collins,"Zach Collins,Portland Trail Blazers",",",42,Bigs-with-Touch,Yes,Portland Trail Blazers,5.2,0.982,0.761,-0.220,-1.1,5.1,4.0,437,9%,0.4,6.0,6.2,340,29%,-0.9,-2.3,-1.5,-64.1,7.5%,C
418,PF,Marquese Chriss,"Marquese Chriss,Phoenix Suns",",",51,Pick and Pop Bigs,No,Phoenix Suns,8.4,0.987,0.816,-0.171,-1.4,8.3,6.9,458,5%,-0.2,7.6,7.7,171,64%,0.7,-0.9,-1.3,-64.3,12.9%,PF
417,PF,Quincy Acy,"Quincy Acy,Brooklyn Nets",",",52,Pick and Pop Bigs,No,Brooklyn Nets,6.9,1.004,0.857,-0.147,-1.0,6.9,5.9,423,12%,0.2,7.6,8.2,297,38%,-0.7,-2.3,-1.3,-65.3,13.1%,PF
445,PG,Rajon Rondo,"Rajon Rondo,New Orleans Pelicans",",",43,Distributors,No,New Orleans Pelicans,9.2,0.921,0.808,-0.113,-1.0,8.5,7.4,428,11%,0.5,7.1,7.1,367,24%,1.3,0.3,-1.5,-66.0,7.3%,PG
441,PG,Michael Carter-Williams,"Michael Carter-Williams,Charlotte Hornets",",",45,Secondary Creators,No,Charlotte Hornets,5.8,0.926,0.721,-0.205,-1.2,5.4,4.2,441,8%,0.3,5.9,6.2,316,34%,-0.5,-2.0,-1.5,-67.1,8.1%,PG
438,PG,Jameer Nelson,"Jameer Nelson,Detroit Pistons",",",46,Distributors,No,Detroit Pistons,6.5,0.911,0.805,-0.107,-0.7,5.9,5.2,364,24%,0.8,4.1,4.2,416,13%,1.7,1.0,-1.5,-67.3,8.8%,PG
428,SG,Ian Clark,"Ian Clark,New Orleans Pelicans",",",51,Spot-Up Wings,No,New Orleans Pelicans,6.4,0.992,0.875,-0.117,-0.7,6.4,5.6,383,20%,0.6,4.8,4.7,385,20%,1.6,1.0,-1.3,-68.4,10.8%,SG
421,PF,Kyle Kuzma,"Kyle Kuzma,Los Angeles Lakers",",",55,Pick and Pop Bigs,Yes,Los Angeles Lakers,16.1,1.014,0.971,-0.044,-0.7,16.3,15.6,370,23%,0.6,8.4,8.5,378,21%,8.0,7.1,-1.3,-70.0,12.3%,PF
420,PG,Jamal Murray,"Jamal Murray,Denver Nuggets",",",56,Secondary Creators,No,Denver Nuggets,16.0,0.940,1.004,0.065,1.0,15.1,16.1,48,90%,2.3,6.9,8.6,480,0%,8.2,7.5,-1.3,-71.2,12.5%,PG
459,PG,Jawun Evans,"Jawun Evans,Los Angeles Clippers",",",38,Glue Guys,No,Los Angeles Clippers,8.0,0.941,0.713,-0.228,-1.8,7.5,5.7,469,2%,0.1,6.5,6.6,257,46%,1.0,-0.9,-1.9,-71.4,4.4%,PG
457,SG,Jerryd Bayless,"Jerryd Bayless,Philadelphia 76ers",",",40,Spot-Up Wings,No,Philadelphia 76ers,8.2,0.998,0.936,-0.062,-0.5,8.2,7.7,325,32%,1.3,7.8,8.6,464,3%,0.4,-0.9,-1.8,-71.9,4.8%,SG
449,SG,Nicolas Batum,"Nicolas Batum,Charlotte Hornets",",",43,Secondary Creators,No,Charlotte Hornets,13.5,0.930,0.861,-0.069,-0.9,12.6,11.7,416,13%,0.7,7.6,8.2,411,14%,5.0,3.5,-1.7,-71.9,6.5%,SG
422,C,Bismack Biyombo,"Bismack Biyombo,Orlando Magic",",",57,Unskilled Bigs,No,Orlando Magic,6.2,1.053,0.944,-0.109,-0.7,6.6,5.9,363,24%,0.6,8.8,8.9,389,19%,-2.2,-3.0,-1.3,-73.3,12.1%,C
432,SG,Jonathon Simmons,"Jonathon Simmons,Orlando Magic",",",56,Distributors,No,Orlando Magic,14.6,0.941,0.941,0.000,0.0,13.7,13.7,193,60%,1.4,8.4,8.7,468,3%,5.3,5.0,-1.4,-77.1,10.0%,SG
443,SG,Garrett Temple,"Garrett Temple,Sacramento Kings",",",53,Glue Guys,No,Sacramento Kings,9.3,0.967,0.897,-0.070,-0.7,9.0,8.4,356,26%,0.9,8.1,8.8,426,11%,0.9,-0.4,-1.5,-79.7,7.7%,SG
439,SG,JR Smith,"JR Smith,Cleveland Cavaliers",",",55,Glue Guys,No,Cleveland Cavaliers,8.7,0.967,0.962,-0.005,0.0,8.4,8.3,203,58%,1.4,9.0,9.9,469,2%,-0.6,-1.5,-1.5,-80.4,8.5%,SG
440,PG,Frank Ntilikina,"Frank Ntilikina,New York Knicks",",",56,Distributors,Yes,New York Knicks,7.9,0.884,0.662,-0.221,-1.7,7.0,5.2,465,3%,-0.3,6.3,5.8,143,70%,0.6,-0.5,-1.5,-82.2,8.3%,PG
437,SG,Jamal Crawford,"Jamal Crawford,Minnesota Timberwolves",",",58,Creators,No,Minnesota Timberwolves,10.4,0.926,0.957,0.031,0.3,9.6,9.9,119,75%,1.8,3.8,4.3,475,1%,5.8,5.7,-1.4,-82.9,9.0%,SG
471,PF,JaMychal Green,"JaMychal Green,Memphis Grizzlies",",",36,Reluctant Shooters,No,Memphis Grizzlies,10.6,1.035,0.935,-0.101,-1.1,11.0,9.9,432,10%,1.3,8.7,9.1,463,4%,2.3,0.8,-2.4,-84.7,1.9%,PF
456,SF,Paul Zipser,"Paul Zipser,Chicago Bulls",",",48,Spot-Up Wings,No,Chicago Bulls,5.2,0.966,0.755,-0.211,-1.1,5.0,3.9,434,10%,0.7,5.5,6.0,409,15%,-0.5,-2.1,-1.8,-85.1,5.0%,SF
469,PG,Kris Dunn,"Kris Dunn,Chicago Bulls",",",41,Rock Pounders,No,Chicago Bulls,16.9,0.904,0.797,-0.107,-1.8,15.3,13.5,468,3%,0.3,10.2,10.6,312,35%,5.1,2.9,-2.1,-86.0,2.3%,PG
450,C,Willie Cauley-Stein,"Willie Cauley-Stein,Sacramento Kings",",",52,Versatile Bigs,No,Sacramento Kings,13.3,1.001,0.930,-0.070,-0.9,13.3,12.3,414,14%,0.7,11.3,11.8,412,14%,2.0,0.5,-1.7,-87.1,6.3%,C
458,PF,Zach Randolph,"Zach Randolph,Sacramento Kings",",",49,Versatile Bigs,No,Sacramento Kings,15.6,0.952,0.941,-0.011,-0.2,14.8,14.6,234,51%,1.6,10.9,11.4,473,1%,3.9,3.2,-1.8,-88.5,4.6%,PF
451,PF,Frank Kaminsky,"Frank Kaminsky,Charlotte Hornets",",",54,Pick and Pop Bigs,No,Charlotte Hornets,11.0,0.990,0.951,-0.039,-0.4,10.9,10.4,302,37%,1.3,8.1,9.1,460,4%,2.8,1.4,-1.7,-90.8,6.0%,PF
468,PG,Emmanuel Mudiay,"Emmanuel Mudiay,New York Knicks",",",45,Distributors,No,New York Knicks,10.4,0.940,0.831,-0.109,-1.1,9.8,8.6,436,9%,1.0,0.9,0.8,438,9%,8.9,7.9,-2.1,-93.7,2.5%,PG
466,SG,Avery Bradley,"Avery Bradley,Los Angeles Clippers",",",46,Off-Ball Workers,No,Los Angeles Clippers,16.5,0.967,0.863,-0.104,-1.7,16.0,14.2,464,3%,0.3,4.5,4.4,328,32%,11.5,9.8,-2.1,-94.9,2.9%,SG
447,SF,Andrew Wiggins,"Andrew Wiggins,Minnesota Timberwolves",",",60,Secondary Creators,No,Minnesota Timberwolves,19.3,0.954,0.914,-0.040,-0.8,18.4,17.6,387,19%,0.8,11.3,11.4,424,12%,7.1,6.2,-1.6,-96.0,6.9%,SF
455,PG,Dennis Schroder,"Dennis Schroder,Atlanta Hawks",",",55,Rock Pounders,No,Atlanta Hawks,21.4,0.889,0.899,0.010,0.2,19.0,19.3,145,70%,2.0,9.9,10.4,477,1%,9.2,8.8,-1.8,-96.9,5.2%,PG
452,PF,Dragan Bender,"Dragan Bender,Phoenix Suns",",",59,Stretch Bigs,No,Phoenix Suns,7.0,0.994,0.880,-0.115,-0.8,7.0,6.2,394,18%,0.9,9.0,9.1,431,10%,-2.0,-2.9,-1.7,-101.0,5.8%,PF
454,SF,Lance Stephenson,"Lance Stephenson,Indiana Pacers",",",58,Distributors,No,Indiana Pacers,10.8,0.930,0.861,-0.069,-0.7,10.0,9.3,381,21%,1.0,3.6,3.8,445,7%,6.4,5.5,-1.7,-101.4,5.4%,SF
470,PG,Jarrett Jack,"Jarrett Jack,New York Knicks",",",57,Rock Pounders,No,New York Knicks,9.8,0.886,0.777,-0.109,-1.1,8.6,7.6,430,10%,1.0,8.6,9.7,448,7%,0.0,-2.1,-2.1,-119.7,2.1%,PG
476,SF,Caris LeVert,"Caris LeVert,Brooklyn Nets",",",50,Distributors,No,Brooklyn Nets,13.5,0.936,0.861,-0.075,-1.0,12.6,11.6,424,12%,1.6,10.1,11.5,472,2%,2.6,0.2,-2.6,-131.2,0.8%,SF
474,PG,Tyler Ulis,"Tyler Ulis,Phoenix Suns",",",56,Rock Pounders,No,Phoenix Suns,9.1,0.899,0.739,-0.160,-1.5,8.2,6.7,461,4%,1.0,7.2,8.0,446,7%,1.0,-1.3,-2.5,-137.8,1.3%,PG
473,SF,Taurean Prince,"Taurean Prince,Atlanta Hawks",",",59,Glue Guys,No,Atlanta Hawks,13.5,0.976,0.897,-0.079,-1.1,13.2,12.1,431,10%,1.3,8.6,9.5,465,3%,4.6,2.7,-2.4,-140.4,1.5%,SF
478,PG,De Aaron Fox,"De Aaron Fox,Sacramento Kings",",",50,Distributors,No,Sacramento Kings,14.2,0.931,0.791,-0.140,-2.0,13.2,11.2,473,1%,1.7,9.3,10.2,474,1%,3.9,1.0,-3.7,-185.9,0.4%,PG
477,SF,Josh Jackson,"Josh Jackson,Phoenix Suns",",",57,Glue Guys,Yes,Phoenix Suns,13.6,0.983,0.818,-0.165,-2.2,13.4,11.1,477,1%,1.3,7.9,8.5,461,4%,5.5,2.6,-3.5,-200.7,0.6%,
479,PG,Dennis Smith Jr.,"Dennis Smith Jr.,Dallas Mavericks",",",50,Creators,Yes,Dallas Mavericks,18.4,0.920,0.806,-0.114,-2.1,16.9,14.8,474,1%,2.0,9.8,11.0,478,0%,7.2,3.8,-4.1,-207.1,0.2%,PG
