Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total,pra,total_pra,total_prank,pra_rank
Stephen Curry,27,GSW,34.2,5.4,6.7,2.1,0.2,30.1,20.2,0.5,11.2,0.5,0.6,0.9,3.3,2.0,31.5,0.7,32.6,9.8,17.9,8.6,33.7,3.0,0.4,12.9,0.3,12.5,2016,14.4,0.9,1,1,1.0,1.0,1,1,1.0,49.0,9.0,30.0,6.0,0.0,3.0,55.0,33.0,9.0,88.0,121.0,208.0,20.0
LeBron James,28,MIA,37.9,8.0,7.3,1.7,0.9,26.8,17.8,0.6,3.3,0.4,0.6,0.8,3.0,1.4,31.6,0.6,30.2,9.8,19.3,13.1,36.4,2.4,1.9,12.4,0.3,11.6,2013,17.9,0.8,1,1,1.0,1.0,1,1,0.9,41.0,35.0,44.0,12.0,9.0,11.0,53.0,55.0,44.0,120.0,163.0,50.0,3.0
Shaquille O'Neal,27,LAL,40.0,13.6,3.8,0.5,3.0,29.7,21.1,0.6,0.0,0.0,0.6,0.5,2.8,3.2,30.6,0.6,31.2,9.3,18.6,18.3,19.3,0.6,5.3,9.9,0.3,9.7,2000,20.9,0.8,1,1,1.0,1.0,1,1,1.0,50.0,60.0,19.0,9.0,10.0,3.0,59.0,22.0,70.0,129.0,103.0,326.0,1.0
Kevin Garnett,27,MIN,39.4,13.9,5.0,1.5,2.2,24.2,19.6,0.5,0.5,0.3,0.5,0.8,2.6,2.5,29.4,0.5,29.6,9.8,18.3,20.1,24.4,2.0,4.0,10.5,0.3,9.9,2004,22.6,0.7,1,1,1.0,1.0,1,1,1.0,33.0,53.0,16.0,17.0,21.0,10.0,50.0,26.0,74.0,102.0,102.0,334.5,11.5
Kevin Durant,25,OKC,38.5,7.4,5.5,1.3,0.7,32.0,20.8,0.5,6.1,0.4,0.6,0.9,3.5,2.1,29.8,0.6,33.0,8.5,19.2,10.8,26.7,1.7,1.5,12.2,0.3,8.8,2014,14.9,0.7,1,2,1.0,1.0,1,1,1.0,50.0,16.0,24.0,19.0,6.0,10.0,69.0,34.0,22.0,90.0,137.0,119.0,16.5
LeBron James,25,CLE,39.0,7.3,8.6,1.6,1.0,29.7,20.1,0.5,5.1,0.3,0.5,0.8,3.4,1.6,31.1,0.6,33.5,10.9,18.5,11.1,41.8,2.2,2.0,12.3,0.3,12.5,2010,18.5,0.7,1,1,1.0,1.0,1,1,0.9,52.0,17.0,50.0,16.0,6.0,14.0,68.0,64.0,23.0,119.0,196.0,7.0,4.0
Derrick Rose,22,CHI,37.4,4.1,7.7,1.0,0.6,25.0,19.7,0.4,4.8,0.3,0.5,0.9,3.4,1.7,23.5,0.6,32.2,6.0,13.1,6.4,38.7,1.5,1.3,13.1,0.2,5.9,2011,13.4,0.8,1,1,1.0,1.0,1,1,1.0,42.0,2.0,51.0,12.0,0.0,16.0,54.0,67.0,2.0,95.0,188.0,14.5,14.5
LeBron James,24,CLE,37.7,7.6,7.2,1.7,1.1,28.4,19.9,0.5,4.7,0.3,0.5,0.8,3.0,1.7,31.7,0.6,33.8,11.6,20.3,11.9,38.0,2.4,2.4,11.0,0.3,13.0,2009,17.6,0.8,1,1,1.0,1.0,1,1,1.0,52.0,21.0,48.0,11.0,5.0,11.0,63.0,59.0,26.0,121.0,181.0,22.0,2.0
James Harden,28,HOU,35.4,5.4,8.8,1.8,0.7,30.4,20.1,0.4,10.0,0.4,0.5,0.9,4.4,2.3,29.8,0.6,36.1,8.3,15.4,8.6,45.1,2.4,1.7,15.1,0.3,10.9,2018,16.7,0.8,1,1,1.0,1.0,1,1,0.9,44.0,7.0,39.0,10.0,0.0,12.0,54.0,51.0,7.0,90.0,156.0,66.5,16.5
Stephen Curry,26,GSW,32.7,4.3,7.7,2.0,0.2,23.8,16.8,0.5,8.1,0.4,0.6,0.9,3.1,2.0,28.0,0.6,28.9,7.9,15.7,7.0,38.6,3.0,0.5,14.3,0.3,9.9,2015,14.2,0.8,1,1,0.9,1.0,1,1,1.0,36.0,1.0,52.0,6.0,0.0,12.0,42.0,64.0,1.0,89.0,170.0,39.0,18.5
Allen Iverson,25,PHI,42.0,3.8,4.6,2.5,0.3,31.1,25.5,0.4,4.3,0.3,0.4,0.8,3.3,2.1,24.0,0.5,35.9,5.1,11.8,5.2,23.0,3.2,0.5,10.0,0.2,4.8,2001,11.2,0.7,1,1,0.9,1.0,1,1,0.9,46.0,2.0,13.0,18.0,1.0,3.0,64.0,16.0,3.0,61.0,96.0,377.0,126.5
Giannis Antetokounmpo,24,MIL,33.0,12.6,6.0,1.3,1.4,27.0,17.1,0.6,2.5,0.2,0.6,0.7,3.8,3.3,30.2,0.6,31.8,7.7,14.6,19.6,30.2,1.9,3.6,15.3,0.3,10.4,2019,21.3,0.7,1,1,0.9,1.0,1,1,0.9,35.0,39.0,28.0,13.0,15.0,7.0,48.0,35.0,54.0,102.0,118.0,225.5,11.5
LeBron James,27,MIA,37.5,7.9,6.2,1.9,0.8,27.1,18.9,0.5,2.4,0.4,0.6,0.8,3.4,1.5,30.7,0.6,32.0,7.6,14.5,12.6,33.6,2.6,1.7,13.3,0.3,11.0,2012,16.8,0.7,1,2,0.9,1.0,1,1,0.9,22.0,13.0,23.0,8.0,7.0,10.0,30.0,33.0,20.0,58.0,96.0,377.0,153.5
Dirk Nowitzki,28,DAL,36.2,8.9,3.4,0.7,0.8,24.6,17.2,0.5,2.2,0.4,0.5,0.9,2.1,2.2,27.6,0.6,28.9,6.2,16.3,14.8,17.8,1.0,1.7,9.5,0.3,6.7,2007,13.8,0.8,1,1,0.9,1.0,1,1,1.0,37.0,31.0,11.0,10.0,9.0,3.0,47.0,14.0,40.0,79.0,75.0,549.5,35.5
Russell Westbrook,28,OKC,34.6,10.7,10.4,1.6,0.4,31.6,24.0,0.4,7.2,0.3,0.5,0.8,5.4,2.3,30.6,0.6,41.7,12.4,13.1,17.1,57.3,2.3,0.9,15.9,0.2,15.6,2017,23.1,0.6,1,6,0.9,1.0,1,1,1.0,39.0,33.0,46.0,30.0,19.0,33.0,69.0,79.0,52.0,118.0,227.0,1.0,5.0
Kobe Bryant,29,LAL,38.9,6.3,5.4,1.8,0.5,28.3,20.6,0.5,5.1,0.4,0.5,0.8,3.1,2.8,24.2,0.6,31.4,6.0,13.8,9.0,23.9,2.4,0.9,11.3,0.2,5.4,2008,14.0,0.7,1,1,0.9,1.0,1,1,1.0,42.0,4.0,29.0,24.0,5.0,13.0,66.0,42.0,9.0,75.0,150.0,83.5,51.5
Steve Nash,30,PHO,34.3,3.3,11.5,1.0,0.1,15.5,11.4,0.5,2.9,0.4,0.6,0.9,3.3,1.8,22.0,0.6,20.5,2.4,10.9,5.2,49.2,1.4,0.2,20.3,0.2,1.7,2005,15.9,0.8,1,1,0.8,1.0,1,1,0.9,4.0,1.0,58.0,1.0,0.0,14.0,5.0,72.0,1.0,63.0,149.0,87.5,107.0
Shaquille O'Neal,32,MIA,34.1,10.4,2.7,0.5,2.3,22.9,15.0,0.6,0.0,,0.6,0.5,2.8,3.6,27.0,0.6,30.5,4.7,11.0,17.8,15.7,0.8,5.0,12.4,0.2,5.6,2005,15.9,0.7,1,1,0.8,2.0,1,0,0.9,19.0,29.0,4.0,11.0,14.0,2.0,30.0,6.0,43.0,52.0,42.0,1088.5,219.0
Tim Duncan,26,SAS,39.3,12.9,3.9,0.7,2.9,23.3,17.2,0.5,0.3,0.3,0.5,0.7,3.1,2.9,26.9,0.6,28.0,7.6,16.5,19.0,19.5,0.9,5.2,12.9,0.2,7.4,2003,20.4,0.7,1,1,0.8,1.0,1,1,1.0,36.0,49.0,18.0,17.0,14.0,6.0,53.0,24.0,63.0,103.0,101.0,343.5,9.5
Steve Nash,32,PHO,35.3,3.5,11.6,0.8,0.1,18.6,12.8,0.5,4.5,0.5,0.6,0.9,3.8,1.5,23.8,0.7,22.9,3.9,12.6,5.8,50.1,1.1,0.2,21.0,0.2,3.8,2007,16.0,0.7,1,2,0.8,2.0,1,0,0.9,12.0,0.0,52.0,4.0,0.0,17.0,16.0,69.0,0.0,64.0,154.0,71.5,101.5
Tim Duncan,25,SAS,40.6,12.7,3.7,0.7,2.5,25.5,18.3,0.5,0.1,0.1,0.5,0.8,3.2,2.6,27.0,0.6,29.0,8.1,17.8,18.0,18.3,1.0,4.3,12.7,0.3,7.6,2002,19.6,0.7,1,2,0.8,1.0,1,1,1.0,50.0,47.0,15.0,22.0,21.0,8.0,72.0,23.0,68.0,112.0,118.0,225.5,7.0
James Harden,27,HOU,36.4,8.1,11.2,1.5,0.5,29.1,18.9,0.4,9.3,0.3,0.5,0.8,5.7,2.7,27.4,0.6,34.2,9.0,15.0,12.2,50.7,2.0,1.0,19.5,0.2,10.1,2017,21.3,0.7,1,3,0.7,2.0,1,0,1.0,41.0,20.0,53.0,20.0,10.0,25.0,61.0,78.0,30.0,114.0,217.0,2.0,6.0
Steve Nash,31,PHO,35.4,4.2,10.5,0.8,0.2,18.8,13.4,0.5,4.3,0.4,0.6,0.9,3.5,1.5,23.3,0.6,23.3,4.0,12.4,6.6,44.4,1.1,0.3,19.0,0.2,3.7,2006,15.7,0.7,1,3,0.7,1.0,1,1,1.0,12.0,1.0,45.0,7.0,0.0,19.0,19.0,64.0,1.0,58.0,147.0,96.0,153.5
