Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct
Donatas Motiejunas,24,HOU,28.7,5.9,1.8,0.8,0.5,12.0,9.9,0.5,1.9,0.4,0.5,0.6,1.7,2.9,14.4,0.6,19.1,1.0,4.7,11.4,10.8,1.4,1.3,13.7,0.1,-0.1,2015,9.0,0.7,1,3,0.0,,0,0,0.9
Joakim Noah,29,CHI,30.6,9.6,4.7,0.7,1.1,7.2,6.4,0.4,0.0,0.0,0.4,0.6,1.8,3.0,15.3,0.5,13.7,2.8,5.6,17.1,23.0,1.2,2.6,19.6,0.1,3.4,2015,16.1,0.6,1,3,0.0,,0,0,0.8
Nerlens Noel,20,PHI,30.8,8.1,1.7,1.8,1.9,9.9,8.7,0.5,0.0,,0.5,0.6,1.9,2.8,15.0,0.5,17.0,1.6,4.0,14.3,9.8,2.9,5.0,16.2,0.1,0.8,2015,13.5,0.2,0,14,0.0,,0,0,0.9
Victor Oladipo,22,ORL,35.7,4.2,4.1,1.7,0.3,17.9,15.1,0.4,3.4,0.3,0.5,0.8,2.8,2.6,15.9,0.5,25.2,1.3,3.5,6.6,19.3,2.4,0.6,14.3,0.1,0.0,2015,10.3,0.3,0,13,0.0,,0,0,0.9
Rodney Stuckey,28,IND,26.4,3.5,3.1,0.8,0.1,12.6,10.6,0.4,2.0,0.4,0.5,0.8,1.7,1.8,15.4,0.5,23.4,0.9,4.0,7.3,20.2,1.5,0.4,12.2,0.1,-0.1,2015,7.5,0.5,0,9,0.0,,0,0,0.9
Jabari Parker,19,MIL,29.5,5.5,1.7,1.2,0.2,12.3,10.5,0.5,0.6,0.2,0.5,0.7,1.9,1.7,14.5,0.5,20.7,0.1,1.3,10.7,9.5,2.1,0.6,13.9,0.1,-1.2,2015,8.6,0.5,1,6,0.0,,0,0,0.3
Tony Parker,32,SAS,28.7,1.9,4.9,0.6,0.0,14.4,12.2,0.5,1.3,0.4,0.5,0.8,2.1,1.6,15.9,0.5,24.5,0.0,4.1,3.7,28.7,1.2,0.1,13.9,0.1,-2.0,2015,7.4,0.7,1,4,0.0,,0,0,0.8
Chandler Parsons,26,DAL,33.1,4.9,2.4,1.0,0.3,15.7,12.6,0.5,5.3,0.4,0.5,0.7,1.5,2.1,16.3,0.6,20.6,2.5,5.5,8.1,11.4,1.6,0.7,9.5,0.1,2.5,2015,8.6,0.6,1,7,0.0,,0,0,0.8
Patrick Patterson,25,TOR,26.6,5.3,1.9,0.7,0.5,8.0,6.6,0.4,3.5,0.4,0.5,0.8,0.7,1.8,14.6,0.6,13.1,2.8,6.1,11.6,10.7,1.4,1.6,8.7,0.1,3.2,2015,8.4,0.6,1,4,0.0,,0,0,1.0
Elfrid Payton,20,ORL,30.4,4.3,6.5,1.7,0.2,8.9,8.6,0.4,0.5,0.3,0.4,0.6,2.5,2.4,13.8,0.5,18.3,0.8,2.3,7.9,32.6,2.9,0.7,20.2,0.0,-0.7,2015,12.7,0.3,0,13,0.0,,0,0,1.0
Nikola Pekovic,29,MIN,26.3,7.5,0.9,0.6,0.4,12.5,10.6,0.4,0.0,,0.4,0.8,1.4,1.9,16.6,0.5,23.1,-0.5,1.2,16.4,5.7,1.2,1.2,9.8,0.1,-4.5,2015,9.4,0.2,0,15,0.0,,0,0,0.4
