Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct
Stephen Curry,27,GSW,34.2,5.4,6.7,2.1,0.2,30.1,20.2,0.5,11.2,0.5,0.6,0.9,3.3,2.0,31.5,0.7,32.6,9.8,17.9,8.6,33.7,3.0,0.4,12.9,0.3,12.5,2016,14.4,0.9,1,1,1.0,1.0,1,1,1.0
LeBron James,28,MIA,37.9,8.0,7.3,1.7,0.9,26.8,17.8,0.6,3.3,0.4,0.6,0.8,3.0,1.4,31.6,0.6,30.2,9.8,19.3,13.1,36.4,2.4,1.9,12.4,0.3,11.6,2013,17.9,0.8,1,1,1.0,1.0,1,1,0.9
Shaquille O'Neal,27,LAL,40.0,13.6,3.8,0.5,3.0,29.7,21.1,0.6,0.0,0.0,0.6,0.5,2.8,3.2,30.6,0.6,31.2,9.3,18.6,18.3,19.3,0.6,5.3,9.9,0.3,9.7,2000,20.9,0.8,1,1,1.0,1.0,1,1,1.0
Kevin Garnett,27,MIN,39.4,13.9,5.0,1.5,2.2,24.2,19.6,0.5,0.5,0.3,0.5,0.8,2.6,2.5,29.4,0.5,29.6,9.8,18.3,20.1,24.4,2.0,4.0,10.5,0.3,9.9,2004,22.6,0.7,1,1,1.0,1.0,1,1,1.0
Michael Jordan,32,CHI,37.7,6.6,4.3,2.2,0.5,30.4,22.6,0.5,3.2,0.4,0.5,0.8,2.4,2.4,29.4,0.6,33.3,8.3,20.4,10.2,21.2,3.1,1.0,8.4,0.3,8.6,1996,13.6,0.9,1,1,1.0,1.0,1,1,1.0
Kevin Durant,25,OKC,38.5,7.4,5.5,1.3,0.7,32.0,20.8,0.5,6.1,0.4,0.6,0.9,3.5,2.1,29.8,0.6,33.0,8.5,19.2,10.8,26.7,1.7,1.5,12.2,0.3,8.8,2014,14.9,0.7,1,2,1.0,1.0,1,1,1.0
LeBron James,25,CLE,39.0,7.3,8.6,1.6,1.0,29.7,20.1,0.5,5.1,0.3,0.5,0.8,3.4,1.6,31.1,0.6,33.5,10.9,18.5,11.1,41.8,2.2,2.0,12.3,0.3,12.5,2010,18.5,0.7,1,1,1.0,1.0,1,1,0.9
Derrick Rose,22,CHI,37.4,4.1,7.7,1.0,0.6,25.0,19.7,0.4,4.8,0.3,0.5,0.9,3.4,1.7,23.5,0.6,32.2,6.0,13.1,6.4,38.7,1.5,1.3,13.1,0.2,5.9,2011,13.4,0.8,1,1,1.0,1.0,1,1,1.0
LeBron James,24,CLE,37.7,7.6,7.2,1.7,1.1,28.4,19.9,0.5,4.7,0.3,0.5,0.8,3.0,1.7,31.7,0.6,33.8,11.6,20.3,11.9,38.0,2.4,2.4,11.0,0.3,13.0,2009,17.6,0.8,1,1,1.0,1.0,1,1,1.0
James Harden,28,HOU,35.4,5.4,8.8,1.8,0.7,30.4,20.1,0.4,10.0,0.4,0.5,0.9,4.4,2.3,29.8,0.6,36.1,8.3,15.4,8.6,45.1,2.4,1.7,15.1,0.3,10.9,2018,16.7,0.8,1,1,1.0,1.0,1,1,0.9
Michael Jordan,28,CHI,38.8,6.4,6.1,2.3,0.9,30.1,22.7,0.5,1.3,0.3,0.5,0.8,2.5,2.5,27.7,0.6,31.7,8.3,17.7,9.5,25.7,3.0,1.5,8.8,0.3,8.6,1992,15.7,0.8,1,1,0.9,1.0,1,1,1.0
Michael Jordan,34,CHI,38.8,5.8,3.5,1.7,0.5,28.7,23.1,0.5,1.5,0.2,0.5,0.8,2.3,1.8,25.2,0.5,33.7,5.3,15.8,8.5,18.0,2.4,1.0,7.7,0.2,4.6,1998,11.5,0.8,1,1,0.9,1.0,1,1,1.0
Michael Jordan,27,CHI,37.0,6.0,5.5,2.7,1.0,31.5,22.4,0.5,1.1,0.3,0.5,0.9,2.5,2.8,31.6,0.6,32.9,9.8,20.3,9.5,25.2,3.7,1.7,8.7,0.3,10.8,1991,15.2,0.7,1,1,0.9,1.0,1,1,1.0
Stephen Curry,26,GSW,32.7,4.3,7.7,2.0,0.2,23.8,16.8,0.5,8.1,0.4,0.6,0.9,3.1,2.0,28.0,0.6,28.9,7.9,15.7,7.0,38.6,3.0,0.5,14.3,0.3,9.9,2015,14.2,0.8,1,1,0.9,1.0,1,1,1.0
Allen Iverson,25,PHI,42.0,3.8,4.6,2.5,0.3,31.1,25.5,0.4,4.3,0.3,0.4,0.8,3.3,2.1,24.0,0.5,35.9,5.1,11.8,5.2,23.0,3.2,0.5,10.0,0.2,4.8,2001,11.2,0.7,1,1,0.9,1.0,1,1,0.9
Giannis Antetokounmpo,24,MIL,33.0,12.6,6.0,1.3,1.4,27.0,17.1,0.6,2.5,0.2,0.6,0.7,3.8,3.3,30.2,0.6,31.8,7.7,14.6,19.6,30.2,1.9,3.6,15.3,0.3,10.4,2019,21.3,0.7,1,1,0.9,1.0,1,1,0.9
LeBron James,27,MIA,37.5,7.9,6.2,1.9,0.8,27.1,18.9,0.5,2.4,0.4,0.6,0.8,3.4,1.5,30.7,0.6,32.0,7.6,14.5,12.6,33.6,2.6,1.7,13.3,0.3,11.0,2012,16.8,0.7,1,2,0.9,1.0,1,1,0.9
Dirk Nowitzki,28,DAL,36.2,8.9,3.4,0.7,0.8,24.6,17.2,0.5,2.2,0.4,0.5,0.9,2.1,2.2,27.6,0.6,28.9,6.2,16.3,14.8,17.8,1.0,1.7,9.5,0.3,6.7,2007,13.8,0.8,1,1,0.9,1.0,1,1,1.0
Hakeem Olajuwon,31,HOU,41.0,11.9,3.6,1.6,3.7,27.3,21.2,0.5,0.2,0.4,0.5,0.7,3.4,3.6,25.3,0.6,29.8,7.4,14.3,16.2,16.4,2.0,5.7,12.3,0.2,7.0,1994,20.8,0.7,1,2,0.9,1.0,1,1,1.0
Russell Westbrook,28,OKC,34.6,10.7,10.4,1.6,0.4,31.6,24.0,0.4,7.2,0.3,0.5,0.8,5.4,2.3,30.6,0.6,41.7,12.4,13.1,17.1,57.3,2.3,0.9,15.9,0.2,15.6,2017,23.1,0.6,1,6,0.9,1.0,1,1,1.0
Kobe Bryant,29,LAL,38.9,6.3,5.4,1.8,0.5,28.3,20.6,0.5,5.1,0.4,0.5,0.8,3.1,2.8,24.2,0.6,31.4,6.0,13.8,9.0,23.9,2.4,0.9,11.3,0.2,5.4,2008,14.0,0.7,1,1,0.9,1.0,1,1,1.0
David Robinson,29,SAS,38.0,10.8,2.9,1.7,3.2,27.6,18.4,0.5,0.2,0.3,0.5,0.8,2.9,2.8,29.1,0.6,29.9,8.1,17.5,16.2,13.7,2.2,5.9,11.1,0.3,8.4,1995,18.6,0.8,1,1,0.9,1.0,1,1,1.0
Karl Malone,33,UTA,36.6,9.9,4.5,1.4,0.6,27.4,19.2,0.6,0.2,0.0,0.6,0.8,2.8,2.6,28.9,0.6,32.7,7.9,16.7,16.8,24.5,2.0,1.3,11.1,0.3,8.5,1997,16.4,0.8,1,1,0.9,1.0,1,1,1.0
Charles Barkley,29,PHO,37.6,12.2,5.1,1.6,1.0,25.6,18.1,0.5,2.9,0.3,0.5,0.8,3.1,2.6,25.9,0.6,26.9,7.5,14.4,18.1,21.2,2.0,1.6,12.5,0.2,8.3,1993,19.9,0.8,1,1,0.9,1.0,1,1,0.9
Steve Nash,30,PHO,34.3,3.3,11.5,1.0,0.1,15.5,11.4,0.5,2.9,0.4,0.6,0.9,3.3,1.8,22.0,0.6,20.5,2.4,10.9,5.2,49.2,1.4,0.2,20.3,0.2,1.7,2005,15.9,0.8,1,1,0.8,1.0,1,1,0.9
Michael Jordan,33,CHI,37.9,5.9,4.3,1.7,0.5,29.6,23.1,0.5,3.6,0.4,0.5,0.8,2.0,1.9,27.8,0.6,33.2,6.8,18.3,8.8,21.2,2.4,1.1,7.2,0.3,6.7,1997,12.4,0.8,1,1,0.8,2.0,1,0,1.0
Michael Jordan,24,CHI,40.4,5.5,5.9,3.2,1.6,35.0,24.4,0.5,0.6,0.1,0.5,0.8,3.1,3.3,31.7,0.6,34.1,11.8,21.2,7.8,27.0,3.9,2.4,9.6,0.3,12.2,1988,16.2,0.6,1,3,0.8,1.0,1,1,1.0
Shaquille O'Neal,32,MIA,34.1,10.4,2.7,0.5,2.3,22.9,15.0,0.6,0.0,,0.6,0.5,2.8,3.6,27.0,0.6,30.5,4.7,11.0,17.8,15.7,0.8,5.0,12.4,0.2,5.6,2005,15.9,0.7,1,1,0.8,2.0,1,0,0.9
Tim Duncan,26,SAS,39.3,12.9,3.9,0.7,2.9,23.3,17.2,0.5,0.3,0.3,0.5,0.7,3.1,2.9,26.9,0.6,28.0,7.6,16.5,19.0,19.5,0.9,5.2,12.9,0.2,7.4,2003,20.4,0.7,1,1,0.8,1.0,1,1,1.0
Steve Nash,32,PHO,35.3,3.5,11.6,0.8,0.1,18.6,12.8,0.5,4.5,0.5,0.6,0.9,3.8,1.5,23.8,0.7,22.9,3.9,12.6,5.8,50.1,1.1,0.2,21.0,0.2,3.8,2007,16.0,0.7,1,2,0.8,2.0,1,0,0.9
Magic Johnson,29,LAL,37.5,7.9,12.8,1.8,0.3,22.5,14.8,0.5,2.4,0.3,0.5,0.9,4.1,2.2,26.9,0.6,24.3,8.2,16.1,11.7,48.6,2.3,0.4,18.4,0.3,9.3,1989,22.8,0.7,1,1,0.8,1.0,1,1,0.9
Tim Duncan,25,SAS,40.6,12.7,3.7,0.7,2.5,25.5,18.3,0.5,0.1,0.1,0.5,0.8,3.2,2.6,27.0,0.6,29.0,8.1,17.8,18.0,18.3,1.0,4.3,12.7,0.3,7.6,2002,19.6,0.7,1,2,0.8,1.0,1,1,1.0
James Harden,27,HOU,36.4,8.1,11.2,1.5,0.5,29.1,18.9,0.4,9.3,0.3,0.5,0.8,5.7,2.7,27.4,0.6,34.2,9.0,15.0,12.2,50.7,2.0,1.0,19.5,0.2,10.1,2017,21.3,0.7,1,3,0.7,2.0,1,0,1.0
Steve Nash,31,PHO,35.4,4.2,10.5,0.8,0.2,18.8,13.4,0.5,4.3,0.4,0.6,0.9,3.5,1.5,23.3,0.6,23.3,4.0,12.4,6.6,44.4,1.1,0.3,19.0,0.2,3.7,2006,15.7,0.7,1,3,0.7,1.0,1,1,1.0
Kevin Durant,23,OKC,38.6,8.0,3.5,1.3,1.2,28.0,19.7,0.5,5.2,0.4,0.5,0.9,3.8,2.0,26.2,0.6,31.3,4.6,12.2,11.8,17.5,1.8,2.2,14.0,0.2,5.2,2012,14.0,0.7,1,2,0.7,2.0,1,0,1.0
Kevin Garnett,26,MIN,40.5,13.4,6.0,1.4,1.6,23.0,18.1,0.5,0.9,0.3,0.5,0.8,2.8,2.4,26.4,0.6,26.4,9.0,15.6,18.8,25.8,1.8,2.8,11.9,0.2,8.7,2003,22.4,0.6,1,4,0.7,2.0,1,0,1.0
LeBron James,33,CLE,36.9,8.6,9.1,1.4,0.9,27.5,19.3,0.5,5.0,0.4,0.6,0.7,4.2,1.7,28.6,0.6,31.6,8.9,14.0,13.1,44.4,1.9,2.0,16.1,0.2,9.6,2018,20.0,0.6,1,4,0.7,2.0,1,0,1.0
Karl Malone,34,UTA,37.4,10.3,3.9,1.2,0.9,27.0,18.2,0.5,0.1,0.3,0.5,0.8,3.0,2.9,27.9,0.6,31.8,6.9,16.4,17.1,20.9,1.7,1.7,11.9,0.3,7.0,1998,16.3,0.8,1,1,0.7,2.0,1,0,1.0
David Robinson,28,SAS,40.5,10.7,4.8,1.7,3.3,29.8,20.7,0.5,0.4,0.3,0.5,0.7,3.2,2.9,30.7,0.6,32.0,10.6,20.0,14.8,21.6,2.3,5.4,10.9,0.3,10.9,1994,20.5,0.7,1,4,0.7,2.0,1,0,1.0
James Harden,25,HOU,36.8,5.7,7.0,1.9,0.7,27.4,18.1,0.4,6.9,0.4,0.5,0.9,4.0,2.6,26.7,0.6,31.3,7.8,16.4,8.5,34.6,2.6,1.6,14.9,0.3,8.4,2015,15.3,0.7,1,3,0.7,2.0,1,0,1.0
LeBron James,29,MIA,37.7,6.9,6.3,1.6,0.3,27.1,17.6,0.6,4.0,0.4,0.6,0.8,3.5,1.6,29.3,0.6,31.0,8.0,15.9,11.5,32.0,2.2,0.8,14.4,0.3,8.9,2014,15.1,0.7,1,2,0.7,2.0,1,0,0.9
Jason Kidd,28,NJN,37.3,7.3,9.9,2.1,0.2,14.7,13.9,0.4,4.4,0.3,0.4,0.8,3.5,1.7,19.1,0.5,22.5,5.4,8.9,10.9,42.5,3.0,0.5,18.7,0.1,5.1,2002,19.5,0.6,1,1,0.7,2.0,1,0,1.0
Chris Paul,22,NOH,37.6,4.0,11.6,2.7,0.1,21.1,16.1,0.5,3.1,0.4,0.5,0.9,2.5,2.3,28.3,0.6,25.7,8.5,17.8,6.2,52.2,3.9,0.1,12.1,0.3,9.2,2008,18.4,0.7,1,2,0.7,2.0,1,0,1.0
Michael Jordan,25,CHI,40.2,8.0,8.0,2.9,0.8,32.5,22.2,0.5,1.2,0.3,0.5,0.8,3.6,3.0,31.1,0.6,32.1,12.0,19.8,11.6,34.7,3.6,1.2,11.9,0.3,12.6,1989,19.7,0.6,1,6,0.7,2.0,1,0,1.0
Karl Malone,35,UTA,37.4,9.4,4.1,1.3,0.6,23.8,16.3,0.5,0.0,0.0,0.5,0.8,3.3,2.7,25.6,0.6,30.5,4.1,9.6,15.4,23.0,1.9,1.2,13.8,0.3,6.8,1999,15.4,0.7,1,2,0.7,1.0,1,1,1.0
Magic Johnson,30,LAL,37.2,6.6,11.5,1.7,0.4,22.3,14.4,0.5,3.5,0.4,0.5,0.9,3.7,2.1,26.6,0.6,24.8,8.5,16.5,10.2,45.5,2.2,0.7,16.9,0.3,9.5,1990,20.2,0.8,1,1,0.7,1.0,1,1,1.0
Charles Barkley,26,PHI,39.1,11.5,3.9,1.9,0.6,25.2,14.9,0.6,1.2,0.2,0.6,0.7,3.1,3.2,27.1,0.7,24.0,9.2,17.3,16.7,15.6,2.4,1.0,13.9,0.3,9.8,1990,17.9,0.6,1,3,0.7,2.0,1,0,1.0
Hakeem Olajuwon,30,HOU,39.5,13.0,3.5,1.8,4.2,26.1,19.5,0.5,0.1,0.0,0.5,0.8,3.2,3.7,27.3,0.6,28.8,8.5,15.8,18.7,15.8,2.4,6.5,12.4,0.2,8.4,1993,22.5,0.7,1,2,0.7,2.0,1,0,1.0
Larry Bird,31,BOS,39.0,9.3,6.1,1.6,0.8,29.9,22.0,0.5,3.1,0.4,0.6,0.9,2.8,2.1,27.8,0.6,30.2,8.1,15.0,14.0,25.7,2.1,1.1,10.2,0.2,8.8,1988,17.8,0.7,1,1,0.7,2.0,1,0,0.9
Alonzo Mourning,28,MIA,38.1,11.0,1.6,0.7,3.9,20.1,13.8,0.5,0.0,0.0,0.5,0.7,3.0,3.5,24.6,0.6,27.1,3.0,7.9,17.5,8.7,1.1,7.7,14.5,0.2,4.8,1999,17.2,0.7,1,1,0.7,2.0,1,0,0.9
Magic Johnson,28,LAL,36.6,6.2,11.9,1.6,0.2,19.6,13.8,0.5,0.8,0.2,0.5,0.9,3.7,2.0,23.1,0.6,23.4,4.9,10.9,9.7,45.4,2.1,0.3,18.2,0.2,5.3,1988,19.9,0.8,1,1,0.6,3.0,1,0,0.9
Kevin Durant,24,OKC,38.5,7.9,4.6,1.4,1.3,28.1,17.7,0.5,4.1,0.4,0.6,0.9,3.5,1.8,28.3,0.6,29.8,7.6,18.9,11.8,21.7,1.9,2.6,13.7,0.3,7.7,2013,15.2,0.7,1,1,0.6,2.0,1,0,1.0
Tim Duncan,22,SAS,39.3,11.4,2.4,0.9,2.5,21.7,16.9,0.5,0.1,0.1,0.5,0.7,2.9,2.9,23.2,0.5,27.2,3.4,8.7,16.3,12.1,1.2,4.4,12.7,0.2,4.9,1999,17.2,0.7,1,1,0.6,3.0,1,0,1.0
Michael Jordan,26,CHI,39.0,6.9,6.3,2.8,0.7,33.6,24.0,0.5,3.0,0.4,0.6,0.8,3.0,2.9,31.2,0.6,33.7,10.1,19.0,10.4,28.6,3.5,1.1,9.8,0.3,10.6,1990,16.7,0.7,1,2,0.6,3.0,1,0,1.0
Clyde Drexler,29,POR,36.2,6.6,6.7,1.8,0.9,25.0,19.4,0.5,4.4,0.3,0.5,0.8,3.2,3.0,23.6,0.6,28.7,7.2,12.8,9.9,29.9,2.4,1.6,12.4,0.2,8.4,1992,16.0,0.7,1,1,0.6,2.0,1,0,0.9
Tim Duncan,27,SAS,36.6,12.4,3.1,0.9,2.7,22.3,17.1,0.5,0.2,0.2,0.5,0.6,2.7,2.4,27.1,0.5,29.7,5.9,13.1,19.0,17.4,1.3,5.3,11.3,0.2,7.3,2004,19.1,0.7,1,2,0.6,2.0,1,0,0.8
Kobe Bryant,30,LAL,36.1,5.2,4.9,1.5,0.5,26.8,20.9,0.5,4.1,0.4,0.5,0.9,2.6,2.3,24.4,0.6,32.2,4.9,12.7,8.2,23.8,2.1,1.0,9.7,0.2,4.5,2009,12.1,0.8,1,1,0.6,2.0,1,0,1.0
Michael Jordan,29,CHI,39.3,6.7,5.5,2.8,0.8,32.6,25.7,0.5,2.9,0.4,0.5,0.8,2.7,2.4,29.7,0.6,34.7,8.9,17.2,9.8,25.2,3.7,1.3,8.4,0.3,9.5,1993,15.8,0.7,1,2,0.6,3.0,1,0,1.0
Shaquille O'Neal,22,ORL,37.0,11.4,2.7,0.9,2.4,29.3,20.2,0.6,0.1,0.0,0.6,0.5,2.6,3.3,28.6,0.6,31.9,5.4,14.0,17.6,13.3,1.3,4.5,9.4,0.2,5.4,1995,17.4,0.7,1,1,0.6,2.0,1,0,1.0
Tim Duncan,24,SAS,38.7,12.2,3.0,0.9,2.3,22.2,17.1,0.5,0.3,0.3,0.5,0.6,3.0,3.0,23.8,0.5,28.7,5.9,13.2,17.8,15.3,1.2,4.2,12.5,0.2,5.4,2001,18.4,0.7,1,1,0.6,2.0,1,0,1.0
Dwyane Wade,27,MIA,38.6,5.0,7.5,2.2,1.3,30.2,22.0,0.5,3.5,0.3,0.5,0.8,3.4,2.3,30.4,0.6,36.2,9.7,14.7,7.8,40.3,3.0,2.8,11.6,0.2,10.7,2009,16.0,0.5,1,5,0.6,3.0,1,0,1.0
Shaquille O'Neal,29,LAL,36.1,10.7,3.0,0.6,2.0,27.2,18.3,0.6,0.0,0.0,0.6,0.6,2.6,3.0,29.7,0.6,31.8,5.5,13.2,16.3,16.4,0.9,4.1,10.0,0.3,7.0,2002,16.3,0.7,1,3,0.6,3.0,1,0,0.8
LeBron James,21,CLE,42.5,7.0,6.6,1.6,0.8,31.4,23.1,0.5,4.8,0.3,0.5,0.7,3.3,2.3,28.1,0.6,33.6,9.5,16.3,9.8,32.8,2.0,1.5,10.7,0.2,9.3,2006,16.0,0.6,1,3,0.6,2.0,1,0,1.0
Kevin Garnett,31,BOS,32.8,9.2,3.4,1.4,1.3,18.8,13.9,0.5,0.2,0.0,0.5,0.8,1.9,2.3,25.3,0.6,25.5,5.5,12.9,16.8,19.9,2.3,3.1,10.8,0.3,7.4,2008,15.3,0.8,1,1,0.5,3.0,1,0,0.9
Dwight Howard,25,ORL,37.6,14.1,1.4,1.4,2.4,22.9,13.4,0.6,0.1,0.0,0.6,0.6,3.6,3.3,26.1,0.6,27.2,5.0,14.4,21.8,6.8,1.9,4.9,16.2,0.2,4.8,2011,19.3,0.6,1,4,0.5,2.0,1,0,1.0
Magic Johnson,31,LAL,37.1,7.0,12.5,1.3,0.2,19.4,12.4,0.5,3.2,0.3,0.5,0.9,4.0,1.9,25.1,0.6,22.9,7.6,15.4,10.9,49.3,1.8,0.3,20.4,0.3,8.3,1991,21.0,0.7,1,2,0.5,2.0,1,0,1.0
David Robinson,30,SAS,36.8,12.2,3.0,1.4,3.3,25.0,16.8,0.5,0.1,0.3,0.5,0.8,2.3,3.2,29.4,0.6,28.8,8.5,18.3,18.4,14.6,1.9,6.4,9.8,0.3,9.2,1996,19.9,0.7,1,2,0.5,2.0,1,0,1.0
Karl Malone,31,UTA,38.1,10.6,3.5,1.6,1.0,26.7,18.9,0.5,0.5,0.3,0.5,0.7,2.9,3.3,25.1,0.6,30.3,6.1,13.8,17.4,16.4,2.1,2.2,11.3,0.2,5.8,1995,16.7,0.7,1,2,0.5,3.0,1,0,1.0
David Robinson,25,SAS,37.7,13.0,2.5,1.5,3.9,25.6,16.7,0.6,0.1,0.1,0.6,0.8,3.3,3.2,27.4,0.6,26.6,8.1,17.0,19.0,10.9,2.0,6.2,13.7,0.3,8.4,1991,20.9,0.7,1,3,0.5,3.0,1,0,1.0
Kevin Durant,21,OKC,39.5,7.6,2.8,1.4,1.0,30.1,20.3,0.5,4.3,0.4,0.5,0.9,3.3,2.1,26.2,0.6,32.0,5.8,16.1,11.0,13.5,1.8,1.9,11.7,0.2,5.1,2010,12.8,0.6,1,7,0.5,2.0,1,0,1.0
Kawhi Leonard,25,SAS,33.4,5.8,3.5,1.8,0.7,25.5,17.7,0.5,5.2,0.4,0.5,0.9,2.1,1.6,27.6,0.6,31.1,6.2,13.6,9.8,18.9,2.7,1.8,9.1,0.3,7.9,2017,11.8,0.7,1,2,0.5,3.0,1,0,0.9
Kobe Bryant,31,LAL,38.8,5.4,5.0,1.5,0.3,27.0,21.5,0.5,4.1,0.3,0.5,0.8,3.2,2.6,21.9,0.5,32.3,4.0,9.4,7.7,23.8,2.1,0.5,11.4,0.2,3.6,2010,12.2,0.7,1,1,0.5,3.0,1,0,0.9
Kawhi Leonard,24,SAS,33.1,6.8,2.6,1.8,1.0,21.2,15.1,0.5,4.0,0.4,0.6,0.9,1.5,1.8,26.0,0.6,25.8,6.2,13.7,11.8,13.0,2.8,2.3,7.8,0.3,8.3,2016,12.2,0.8,1,2,0.5,2.0,1,0,0.9
LeBron James,31,CLE,35.6,7.4,6.8,1.4,0.6,25.3,18.6,0.5,3.7,0.3,0.6,0.7,3.3,1.9,27.5,0.6,31.4,7.6,13.6,11.8,36.0,2.0,1.5,13.2,0.2,9.1,2016,16.2,0.7,1,1,0.5,3.0,1,0,0.9
Shaquille O'Neal,28,LAL,39.5,12.7,3.7,0.6,2.8,28.7,19.2,0.6,0.0,0.0,0.6,0.5,2.9,3.5,30.2,0.6,31.6,6.8,14.9,18.1,18.8,0.8,4.9,10.5,0.2,7.3,2001,19.8,0.7,1,2,0.5,3.0,1,0,0.9
Anthony Davis,24,NOP,36.4,11.1,2.3,1.5,2.6,28.1,19.5,0.5,2.2,0.3,0.6,0.8,2.2,2.1,28.9,0.6,30.0,4.9,13.7,16.5,10.8,2.0,5.6,8.6,0.2,5.2,2018,17.5,0.6,1,6,0.4,3.0,1,0,0.9
Dirk Nowitzki,27,DAL,38.1,9.0,2.8,0.7,1.0,26.6,19.3,0.5,3.3,0.4,0.5,0.9,1.9,2.0,28.1,0.6,30.0,6.0,17.7,14.2,14.7,1.0,2.1,7.9,0.3,5.7,2006,13.5,0.7,1,2,0.4,3.0,1,0,1.0
LeBron James,26,MIA,38.8,7.5,7.0,1.6,0.6,26.7,18.8,0.5,3.5,0.3,0.5,0.8,3.6,2.1,27.3,0.6,31.5,8.2,15.6,11.4,34.9,2.1,1.3,13.8,0.2,8.6,2011,16.7,0.7,1,2,0.4,3.0,1,0,1.0
Karl Malone,25,UTA,39.1,10.7,2.7,1.8,0.9,29.1,19.5,0.5,0.2,0.3,0.5,0.8,3.6,3.6,24.4,0.6,30.4,6.5,15.2,15.1,12.8,2.3,1.3,12.7,0.2,6.1,1989,16.1,0.6,1,3,0.4,3.0,1,0,1.0
LeBron James,30,CLE,36.1,6.0,7.4,1.6,0.7,25.3,18.5,0.5,4.9,0.4,0.5,0.7,3.9,2.0,25.9,0.6,32.3,5.9,10.4,9.6,38.6,2.3,1.6,15.3,0.2,7.4,2015,15.7,0.6,1,2,0.4,3.0,1,0,0.8
Jermaine O'Neal,25,IND,35.7,10.0,2.1,0.8,2.6,20.1,17.9,0.4,0.2,0.1,0.4,0.8,2.3,3.2,21.1,0.5,30.2,2.7,9.0,16.5,12.3,1.2,5.5,10.1,0.2,1.8,2004,15.5,0.7,1,1,0.4,3.0,1,0,1.0
Chris Webber,27,SAC,40.5,11.1,4.2,1.3,1.7,27.1,23.4,0.5,0.4,0.1,0.5,0.7,2.8,3.2,24.7,0.5,31.6,4.9,11.0,14.8,20.6,1.7,2.8,9.6,0.2,4.9,2001,18.3,0.7,1,3,0.4,4.0,1,0,0.9
Kobe Bryant,24,LAL,41.5,6.9,5.9,2.2,0.8,30.0,23.5,0.5,4.0,0.4,0.5,0.8,3.5,2.7,26.2,0.6,32.9,7.1,14.9,9.3,27.2,2.8,1.4,11.4,0.2,6.4,2003,15.8,0.6,1,5,0.4,3.0,1,0,1.0
Kobe Bryant,28,LAL,40.8,5.7,5.4,1.4,0.5,31.6,22.8,0.5,5.2,0.3,0.5,0.9,3.3,2.7,26.1,0.6,33.6,5.3,13.0,8.2,25.5,1.8,0.9,10.9,0.2,4.7,2007,13.0,0.5,1,7,0.4,3.0,1,0,0.9
Carmelo Anthony,28,NYK,37.0,6.9,2.6,0.8,0.5,28.7,22.2,0.4,6.2,0.4,0.5,0.8,2.6,3.1,24.8,0.6,35.6,2.8,9.5,10.8,14.1,1.1,1.1,9.3,0.2,2.4,2013,10.8,0.7,1,2,0.4,3.0,1,0,0.8
Dwight Howard,24,ORL,34.7,13.2,1.8,0.9,2.8,18.3,10.2,0.6,0.1,0.0,0.6,0.6,3.3,3.5,24.0,0.6,23.9,5.4,13.2,22.0,8.7,1.4,6.0,18.7,0.2,5.5,2010,18.7,0.7,1,2,0.4,4.0,1,0,1.0
Scottie Pippen,28,CHI,38.3,8.7,5.6,2.9,0.8,22.0,17.8,0.5,2.7,0.3,0.5,0.7,3.2,3.2,23.2,0.5,27.1,7.2,11.2,13.3,24.6,4.0,1.4,13.7,0.2,8.3,1994,18.0,0.7,1,3,0.4,3.0,1,0,0.9
Kobe Bryant,27,LAL,41.0,5.3,4.5,1.8,0.4,35.4,27.2,0.5,6.5,0.3,0.5,0.8,3.1,2.9,28.0,0.6,38.7,6.5,15.3,7.6,24.1,2.4,0.7,9.0,0.2,5.8,2006,12.0,0.5,1,6,0.4,4.0,1,0,1.0
Gary Payton,29,SEA,38.4,4.6,8.3,2.3,0.2,19.2,15.6,0.5,4.8,0.3,0.5,0.7,2.8,2.4,21.6,0.5,24.6,5.6,12.5,7.1,36.7,3.1,0.4,13.7,0.2,5.0,1998,15.4,0.7,1,2,0.4,3.0,1,0,1.0
Russell Westbrook,27,OKC,34.4,7.8,10.4,2.0,0.3,23.5,18.1,0.5,4.3,0.3,0.5,0.8,4.3,2.5,27.6,0.6,31.6,8.3,14.0,12.4,49.6,2.9,0.6,16.8,0.2,10.0,2016,20.5,0.7,1,3,0.4,4.0,1,0,1.0
Patrick Ewing,30,NYK,37.1,12.1,1.9,0.9,2.0,24.2,19.1,0.5,0.1,0.1,0.5,0.7,3.3,3.5,20.8,0.5,29.7,3.2,10.6,18.2,9.2,1.3,3.6,12.9,0.2,2.2,1993,16.9,0.7,1,1,0.4,4.0,1,0,1.0
Tracy McGrady,23,ORL,39.4,6.5,5.5,1.7,0.8,32.1,24.2,0.5,6.0,0.4,0.5,0.8,2.6,2.1,30.3,0.6,35.2,8.7,16.1,9.5,30.0,2.2,1.5,8.4,0.3,9.7,2003,14.5,0.5,1,7,0.4,4.0,1,0,0.9
