player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Dirk Nowitzki,37.0,31.0,11.0,10.0,9.0,3.0,47.0,14.0,40.0
LeBron James,37.0,6.0,27.0,26.0,4.0,22.0,63.0,49.0,10.0
Chris Bosh,33.0,36.0,3.0,17.0,21.0,0.0,50.0,3.0,57.0
Vince Carter,31.0,8.0,4.0,24.0,6.0,6.0,55.0,10.0,14.0
Kobe Bryant,31.0,7.0,19.0,36.0,7.0,23.0,67.0,42.0,14.0
Tracy McGrady,29.0,4.0,35.0,16.0,4.0,15.0,45.0,50.0,8.0
Gilbert Arenas,27.0,3.0,27.0,23.0,1.0,21.0,50.0,48.0,4.0
Carmelo Anthony,26.0,2.0,2.0,19.0,3.0,4.0,45.0,6.0,5.0
Dwyane Wade,24.0,2.0,20.0,19.0,0.0,18.0,43.0,38.0,2.0
Ben Gordon,23.0,0.0,9.0,18.0,1.0,5.0,41.0,14.0,1.0
Carlos Boozer,22.0,34.0,1.0,12.0,19.0,1.0,34.0,2.0,53.0
Amar'e Stoudemire,21.0,28.0,0.0,6.0,11.0,1.0,27.0,1.0,39.0
Tim Duncan,20.0,43.0,8.0,7.0,21.0,8.0,27.0,16.0,64.0
Elton Brand,20.0,20.0,2.0,18.0,24.0,9.0,38.0,11.0,44.0
Tony Parker,20.0,2.0,29.0,7.0,0.0,11.0,27.0,40.0,2.0
Yao Ming,19.0,14.0,0.0,6.0,8.0,1.0,25.0,1.0,22.0
Andre Iguodala,19.0,3.0,13.0,16.0,8.0,16.0,35.0,29.0,11.0
Richard Hamilton,19.0,2.0,7.0,11.0,1.0,4.0,30.0,11.0,3.0
Zach Randolph,18.0,20.0,0.0,31.0,28.0,5.0,49.0,5.0,48.0
Joe Johnson,18.0,2.0,12.0,21.0,2.0,10.0,39.0,22.0,4.0
Kevin Martin,18.0,2.0,1.0,15.0,5.0,5.0,33.0,6.0,7.0
Kevin Garnett,17.0,32.0,9.0,24.0,42.0,10.0,41.0,19.0,74.0
Mehmet Okur,17.0,9.0,0.0,6.0,5.0,1.0,23.0,1.0,14.0
Josh Howard,16.0,11.0,0.0,1.0,2.0,1.0,17.0,1.0,13.0
Baron Davis,16.0,2.0,26.0,6.0,2.0,19.0,22.0,45.0,4.0
Chauncey Billups,15.0,0.0,37.0,8.0,3.0,15.0,23.0,52.0,3.0
Allen Iverson,15.0,0.0,22.0,17.0,0.0,19.0,32.0,41.0,0.0
Michael Redd,15.0,0.0,0.0,20.0,1.0,1.0,35.0,1.0,1.0
Dwight Howard,14.0,35.0,2.0,17.0,35.0,3.0,31.0,5.0,70.0
Luol Deng,14.0,9.0,1.0,5.0,7.0,1.0,19.0,2.0,16.0
Jermaine O'Neal,13.0,18.0,1.0,18.0,18.0,3.0,31.0,4.0,36.0
David West,13.0,5.0,1.0,6.0,7.0,3.0,19.0,4.0,12.0
Ray Allen,13.0,3.0,3.0,26.0,1.0,5.0,39.0,8.0,4.0
Manu Ginobili,13.0,0.0,9.0,7.0,0.0,2.0,20.0,11.0,0.0
Eddy Curry,12.0,7.0,0.0,14.0,7.0,0.0,26.0,0.0,14.0
Paul Pierce,12.0,3.0,6.0,21.0,4.0,5.0,33.0,11.0,7.0
Steve Nash,12.0,0.0,52.0,4.0,0.0,17.0,16.0,69.0,0.0
Chris Paul,12.0,0.0,31.0,16.0,2.0,29.0,28.0,60.0,2.0
Shawn Marion,11.0,26.0,0.0,1.0,7.0,0.0,12.0,0.0,33.0
Gerald Wallace,11.0,12.0,2.0,15.0,11.0,4.0,26.0,6.0,23.0
Ricky Davis,11.0,0.0,13.0,9.0,0.0,14.0,20.0,27.0,0.0
Shaquille O'Neal,10.0,7.0,2.0,5.0,5.0,0.0,15.0,2.0,12.0
Rashard Lewis,10.0,6.0,2.0,15.0,10.0,2.0,25.0,4.0,16.0
Leandro Barbosa,10.0,1.0,3.0,8.0,1.0,2.0,18.0,5.0,2.0
Jason Terry,10.0,0.0,37.0,2.0,0.0,3.0,12.0,40.0,0.0
Corey Maggette,9.0,5.0,5.0,12.0,4.0,4.0,21.0,9.0,9.0
Al Harrington,9.0,5.0,2.0,14.0,8.0,1.0,23.0,3.0,13.0
Tayshaun Prince,9.0,3.0,2.0,3.0,1.0,2.0,12.0,4.0,4.0
Deron Williams,9.0,1.0,44.0,8.0,0.0,22.0,17.0,66.0,1.0
Hedo Turkoglu,9.0,1.0,6.0,6.0,1.0,5.0,15.0,11.0,2.0
Stephon Marbury,9.0,0.0,17.0,10.0,0.0,21.0,19.0,38.0,0.0
Stephen Jackson,9.0,0.0,10.0,2.0,0.0,4.0,11.0,14.0,0.0
Josh Smith,7.0,16.0,3.0,10.0,16.0,8.0,17.0,11.0,32.0
Antawn Jamison,7.0,14.0,2.0,7.0,13.0,0.0,14.0,2.0,27.0
Jason Richardson,7.0,4.0,5.0,3.0,1.0,2.0,10.0,7.0,5.0
Mike Miller,7.0,2.0,3.0,18.0,10.0,11.0,25.0,14.0,12.0
Raja Bell,7.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0
Kirk Hinrich,7.0,0.0,26.0,8.0,1.0,22.0,15.0,48.0,1.0
Jameer Nelson,7.0,0.0,20.0,4.0,0.0,18.0,11.0,38.0,0.0
Grant Hill,7.0,0.0,1.0,9.0,1.0,5.0,16.0,6.0,1.0
Pau Gasol,6.0,10.0,2.0,19.0,29.0,7.0,25.0,9.0,39.0
Metta World Peace,6.0,9.0,5.0,15.0,10.0,8.0,21.0,13.0,19.0
Brandon Roy,6.0,2.0,5.0,8.0,2.0,9.0,14.0,14.0,4.0
Jamal Crawford,6.0,0.0,8.0,12.0,0.0,13.0,18.0,21.0,0.0
Cuttino Mobley,6.0,0.0,5.0,6.0,0.0,1.0,12.0,6.0,0.0
Adam Morrison,6.0,0.0,0.0,6.0,1.0,2.0,12.0,2.0,1.0
Drew Gooden,5.0,17.0,0.0,1.0,14.0,0.0,6.0,0.0,31.0
Al Jefferson,5.0,14.0,0.0,5.0,32.0,1.0,10.0,1.0,46.0
Caron Butler,5.0,8.0,6.0,6.0,15.0,4.0,11.0,10.0,23.0
Anthony Parker,5.0,2.0,1.0,3.0,0.0,1.0,8.0,2.0,2.0
Mo Williams,5.0,1.0,17.0,11.0,3.0,26.0,16.0,43.0,4.0
Raymond Felton,5.0,0.0,18.0,6.0,0.0,25.0,11.0,43.0,0.0
Mike Bibby,5.0,0.0,13.0,13.0,0.0,22.0,18.0,35.0,0.0
Kyle Korver,5.0,0.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0
Desmond Mason,5.0,0.0,0.0,5.0,2.0,0.0,10.0,0.0,2.0
Jason Kidd,4.0,24.0,33.0,3.0,16.0,31.0,7.0,64.0,40.0
Lamar Odom,4.0,16.0,11.0,1.0,14.0,7.0,5.0,18.0,30.0
Chris Webber,4.0,16.0,1.0,2.0,8.0,3.0,6.0,4.0,24.0
Matt Barnes,4.0,4.0,2.0,2.0,3.0,1.0,6.0,3.0,7.0
LaMarcus Aldridge,4.0,1.0,0.0,1.0,5.0,0.0,5.0,0.0,6.0
Larry Hughes,4.0,0.0,8.0,2.0,1.0,2.0,6.0,10.0,1.0
Earl Boykins,4.0,0.0,5.0,10.0,0.0,15.0,14.0,20.0,0.0
Danny Granger,4.0,0.0,1.0,3.0,2.0,0.0,7.0,1.0,2.0
J.R. Smith,4.0,0.0,0.0,4.0,0.0,1.0,8.0,1.0,0.0
Matt Carroll,4.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0
Emeka Okafor,3.0,14.0,0.0,9.0,27.0,0.0,12.0,0.0,41.0
Chris Wilcox,3.0,11.0,0.0,5.0,17.0,1.0,8.0,1.0,28.0
Andres Nocioni,3.0,5.0,0.0,2.0,3.0,0.0,5.0,0.0,8.0
Hakim Warrick,3.0,4.0,0.0,8.0,7.0,2.0,11.0,2.0,11.0
Mike Dunleavy,3.0,2.0,1.0,4.0,8.0,2.0,7.0,3.0,10.0
Mickael Pietrus,3.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,6.0
T.J. Ford,3.0,1.0,29.0,7.0,2.0,23.0,10.0,52.0,3.0
Richard Jefferson,3.0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,1.0
Monta Ellis,3.0,1.0,1.0,14.0,0.0,7.0,17.0,8.0,1.0
Jarrett Jack,3.0,0.0,20.0,5.0,0.0,24.0,8.0,44.0,0.0
Luke Ridnour,3.0,0.0,15.0,2.0,0.0,14.0,5.0,29.0,0.0
Sam Cassell,3.0,0.0,13.0,1.0,0.0,10.0,4.0,23.0,0.0
Chucky Atkins,3.0,0.0,8.0,7.0,0.0,16.0,10.0,24.0,0.0
Brent Barry,3.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0
Morris Peterson,3.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,1.0
Willie Green,3.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0
Udonis Haslem,2.0,18.0,0.0,0.0,13.0,2.0,2.0,2.0,31.0
Rasheed Wallace,2.0,16.0,0.0,3.0,9.0,0.0,5.0,0.0,25.0
Nick Collison,2.0,9.0,0.0,1.0,17.0,0.0,3.0,0.0,26.0
Zaza Pachulia,2.0,7.0,1.0,1.0,10.0,0.0,3.0,1.0,17.0
Quentin Richardson,2.0,5.0,1.0,4.0,7.0,1.0,6.0,2.0,12.0
Troy Murphy,2.0,5.0,0.0,3.0,6.0,0.0,5.0,0.0,11.0
Brad Miller,2.0,4.0,7.0,1.0,11.0,7.0,3.0,14.0,15.0
Antoine Walker,2.0,4.0,0.0,2.0,5.0,1.0,4.0,1.0,9.0
