player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Allen Iverson,41.0,2.0,15.0,27.0,1.0,10.0,68.0,25.0,3.0
Tracy McGrady,37.0,13.0,22.0,32.0,12.0,18.0,69.0,40.0,25.0
Tim Duncan,36.0,49.0,18.0,17.0,14.0,6.0,53.0,24.0,63.0
Kevin Garnett,35.0,44.0,24.0,25.0,25.0,11.0,60.0,35.0,69.0
Dirk Nowitzki,35.0,31.0,4.0,12.0,19.0,5.0,47.0,9.0,50.0
Jamal Mashburn,30.0,6.0,20.0,20.0,3.0,10.0,50.0,30.0,9.0
Karl Malone,29.0,21.0,10.0,20.0,10.0,7.0,49.0,17.0,31.0
Chris Webber,27.0,30.0,21.0,11.0,14.0,8.0,38.0,29.0,44.0
Paul Pierce,27.0,16.0,19.0,27.0,12.0,16.0,54.0,35.0,28.0
Kobe Bryant,27.0,10.0,23.0,20.0,4.0,19.0,47.0,42.0,14.0
Shawn Marion,24.0,21.0,0.0,9.0,22.0,1.0,33.0,1.0,43.0
Richard Hamilton,24.0,0.0,7.0,14.0,0.0,3.0,38.0,10.0,0.0
Allan Houston,24.0,0.0,6.0,21.0,0.0,3.0,45.0,9.0,0.0
Shaquille O'Neal,22.0,31.0,7.0,12.0,16.0,0.0,34.0,7.0,47.0
Jalen Rose,22.0,2.0,9.0,27.0,1.0,17.0,49.0,26.0,3.0
Ray Allen,20.0,5.0,16.0,16.0,3.0,11.0,36.0,27.0,8.0
Steve Francis,20.0,2.0,36.0,22.0,6.0,33.0,42.0,69.0,8.0
Michael Jordan,19.0,8.0,14.0,17.0,7.0,10.0,36.0,24.0,15.0
Sam Cassell,19.0,5.0,15.0,12.0,4.0,15.0,31.0,30.0,9.0
Antawn Jamison,18.0,9.0,1.0,19.0,6.0,1.0,37.0,2.0,15.0
Stephon Marbury,17.0,0.0,39.0,21.0,0.0,30.0,38.0,69.0,0.0
Jason Kidd,16.0,11.0,43.0,17.0,7.0,30.0,33.0,73.0,18.0
Chauncey Billups,16.0,0.0,17.0,9.0,0.0,9.0,25.0,26.0,0.0
Jermaine O'Neal,15.0,25.0,0.0,20.0,16.0,1.0,35.0,1.0,41.0
Pau Gasol,15.0,12.0,0.0,26.0,22.0,2.0,41.0,2.0,34.0
Peja Stojakovic,15.0,4.0,0.0,6.0,2.0,0.0,21.0,0.0,6.0
Gary Payton,15.0,2.0,25.0,22.0,2.0,33.0,37.0,58.0,4.0
Jerry Stackhouse,15.0,2.0,12.0,22.0,1.0,16.0,37.0,28.0,3.0
Rasheed Wallace,14.0,12.0,1.0,14.0,10.0,1.0,28.0,2.0,22.0
Antoine Walker,14.0,11.0,17.0,10.0,9.0,13.0,24.0,30.0,20.0
Richard Jefferson,14.0,9.0,2.0,2.0,3.0,0.0,16.0,2.0,12.0
Matt Harpring,13.0,15.0,0.0,6.0,5.0,0.0,19.0,0.0,20.0
Shareef Abdur-Rahim,13.0,14.0,2.0,13.0,21.0,5.0,26.0,7.0,35.0
Bonzi Wells,13.0,7.0,7.0,8.0,3.0,2.0,21.0,9.0,10.0
Steve Nash,13.0,1.0,45.0,3.0,0.0,17.0,16.0,62.0,1.0
Rashard Lewis,12.0,12.0,1.0,11.0,8.0,1.0,23.0,2.0,20.0
Glenn Robinson,12.0,4.0,0.0,17.0,3.0,4.0,29.0,4.0,7.0
Gilbert Arenas,12.0,1.0,23.0,15.0,1.0,27.0,27.0,50.0,2.0
Eddie Jones,12.0,1.0,4.0,16.0,1.0,12.0,28.0,16.0,2.0
Elton Brand,11.0,12.0,2.0,13.0,30.0,4.0,24.0,6.0,42.0
Ricky Davis,11.0,2.0,11.0,30.0,5.0,30.0,41.0,41.0,7.0
Cuttino Mobley,11.0,1.0,4.0,6.0,1.0,0.0,17.0,4.0,2.0
Tony Parker,11.0,0.0,33.0,1.0,0.0,10.0,12.0,43.0,0.0
Kenyon Martin,10.0,18.0,1.0,10.0,14.0,2.0,20.0,3.0,32.0
Michael Finley,10.0,5.0,3.0,3.0,1.0,0.0,13.0,3.0,6.0
Derek Anderson,10.0,1.0,14.0,3.0,1.0,11.0,13.0,25.0,2.0
Juwan Howard,9.0,8.0,3.0,38.0,20.0,10.0,47.0,13.0,28.0
Metta World Peace,9.0,4.0,4.0,2.0,1.0,2.0,11.0,6.0,5.0
Latrell Sprewell,9.0,3.0,10.0,10.0,1.0,9.0,19.0,19.0,4.0
Baron Davis,9.0,0.0,19.0,7.0,1.0,14.0,16.0,33.0,1.0
Brad Miller,8.0,13.0,2.0,3.0,8.0,3.0,11.0,5.0,21.0
Jason Terry,8.0,1.0,32.0,12.0,0.0,34.0,20.0,66.0,1.0
Caron Butler,8.0,1.0,3.0,20.0,3.0,5.0,28.0,8.0,4.0
Vince Carter,8.0,1.0,3.0,15.0,0.0,2.0,23.0,5.0,1.0
Yao Ming,7.0,19.0,0.0,4.0,17.0,2.0,11.0,2.0,36.0
Wally Szczerbiak,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Scottie Pippen,6.0,2.0,14.0,1.0,1.0,7.0,7.0,21.0,3.0
David Wesley,6.0,0.0,4.0,7.0,0.0,6.0,13.0,10.0,0.0
Reggie Miller,6.0,0.0,0.0,2.0,0.0,2.0,8.0,2.0,0.0
James Posey,5.0,6.0,2.0,7.0,5.0,5.0,12.0,7.0,11.0
Stephen Jackson,5.0,2.0,2.0,1.0,0.0,3.0,6.0,5.0,2.0
Clifford Robinson,5.0,1.0,9.0,3.0,1.0,11.0,8.0,20.0,2.0
Kerry Kittles,5.0,1.0,2.0,0.0,0.0,1.0,5.0,3.0,1.0
Morris Peterson,5.0,1.0,0.0,11.0,5.0,4.0,16.0,4.0,6.0
Troy Hudson,5.0,0.0,18.0,3.0,0.0,13.0,8.0,31.0,0.0
Mike Bibby,5.0,0.0,7.0,3.0,0.0,7.0,8.0,14.0,0.0
Keith Van Horn,4.0,13.0,0.0,3.0,10.0,0.0,7.0,0.0,23.0
Antonio Davis,4.0,5.0,2.0,4.0,13.0,1.0,8.0,3.0,18.0
Tim Thomas,4.0,5.0,1.0,4.0,2.0,1.0,8.0,2.0,7.0
Malik Rose,4.0,4.0,1.0,2.0,4.0,0.0,6.0,1.0,8.0
Al Harrington,4.0,4.0,0.0,4.0,6.0,0.0,8.0,0.0,10.0
Lucious Harris,4.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0
Jason Richardson,4.0,1.0,3.0,7.0,2.0,3.0,11.0,6.0,3.0
Corey Maggette,4.0,1.0,0.0,17.0,3.0,2.0,21.0,2.0,4.0
Voshon Lenard,4.0,0.0,1.0,14.0,1.0,3.0,18.0,4.0,1.0
Troy Murphy,3.0,21.0,0.0,2.0,22.0,0.0,5.0,0.0,43.0
Kurt Thomas,3.0,11.0,1.0,9.0,18.0,2.0,12.0,3.0,29.0
Stromile Swift,3.0,7.0,0.0,2.0,8.0,0.0,5.0,0.0,15.0
Michael Redd,3.0,5.0,0.0,7.0,5.0,0.0,10.0,0.0,10.0
Larry Hughes,3.0,4.0,4.0,4.0,6.0,9.0,7.0,13.0,10.0
Andrei Kirilenko,3.0,4.0,0.0,6.0,4.0,0.0,9.0,0.0,8.0
