player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Allen Iverson,46.0,2.0,13.0,18.0,1.0,3.0,64.0,16.0,3.0
Vince Carter,40.0,2.0,4.0,25.0,0.0,5.0,65.0,9.0,2.0
Karl Malone,39.0,25.0,7.0,13.0,12.0,3.0,52.0,10.0,37.0
Chris Webber,38.0,34.0,14.0,15.0,15.0,6.0,53.0,20.0,49.0
Gary Payton,35.0,0.0,33.0,22.0,2.0,33.0,57.0,66.0,2.0
Tim Duncan,34.0,42.0,9.0,15.0,18.0,4.0,49.0,13.0,60.0
Shaquille O'Neal,30.0,43.0,11.0,17.0,19.0,6.0,47.0,17.0,62.0
Tracy McGrady,30.0,16.0,11.0,27.0,18.0,12.0,57.0,23.0,34.0
Jerry Stackhouse,30.0,0.0,19.0,42.0,0.0,22.0,72.0,41.0,0.0
Kevin Garnett,27.0,36.0,12.0,24.0,27.0,5.0,51.0,17.0,63.0
Kobe Bryant,25.0,6.0,21.0,9.0,2.0,10.0,34.0,31.0,8.0
Dirk Nowitzki,23.0,25.0,0.0,9.0,17.0,0.0,32.0,0.0,42.0
Steve Francis,22.0,12.0,39.0,14.0,8.0,21.0,36.0,60.0,20.0
Jamal Mashburn,21.0,8.0,8.0,16.0,9.0,10.0,37.0,18.0,17.0
Paul Pierce,21.0,8.0,6.0,22.0,10.0,5.0,43.0,11.0,18.0
Shawn Marion,20.0,38.0,1.0,4.0,23.0,0.0,24.0,1.0,61.0
Michael Finley,20.0,2.0,9.0,10.0,2.0,5.0,30.0,14.0,4.0
Rasheed Wallace,18.0,15.0,3.0,14.0,11.0,1.0,32.0,4.0,26.0
Ray Allen,18.0,6.0,11.0,10.0,2.0,5.0,28.0,16.0,8.0
Jalen Rose,18.0,2.0,17.0,17.0,2.0,14.0,35.0,31.0,4.0
Allan Houston,18.0,1.0,5.0,10.0,0.0,1.0,28.0,6.0,1.0
Glenn Robinson,17.0,11.0,4.0,13.0,10.0,2.0,30.0,6.0,21.0
Eddie Jones,17.0,3.0,3.0,9.0,4.0,2.0,26.0,5.0,7.0
Stephon Marbury,16.0,2.0,20.0,27.0,2.0,37.0,43.0,57.0,4.0
Antonio McDyess,15.0,20.0,0.0,19.0,29.0,1.0,34.0,1.0,49.0
Shareef Abdur-Rahim,15.0,11.0,0.0,26.0,33.0,0.0,41.0,0.0,44.0
Lamar Odom,14.0,14.0,14.0,23.0,18.0,19.0,37.0,33.0,32.0
Jason Kidd,14.0,6.0,47.0,6.0,4.0,22.0,20.0,69.0,10.0
Sam Cassell,14.0,1.0,35.0,3.0,2.0,17.0,17.0,52.0,3.0
Nick Van Exel,14.0,1.0,31.0,9.0,0.0,27.0,23.0,58.0,1.0
David Wesley,14.0,0.0,9.0,9.0,1.0,2.0,23.0,11.0,1.0
Reggie Miller,14.0,0.0,3.0,12.0,1.0,5.0,26.0,8.0,1.0
Anthony Mason,13.0,29.0,4.0,12.0,13.0,8.0,25.0,12.0,42.0
Antoine Walker,13.0,21.0,21.0,23.0,19.0,23.0,36.0,44.0,40.0
Juwan Howard,13.0,6.0,1.0,13.0,11.0,5.0,26.0,6.0,17.0
Peja Stojakovic,13.0,4.0,2.0,8.0,2.0,2.0,21.0,4.0,6.0
Cuttino Mobley,13.0,4.0,1.0,10.0,3.0,1.0,23.0,2.0,7.0
Jason Terry,12.0,0.0,14.0,26.0,0.0,21.0,38.0,35.0,0.0
Latrell Sprewell,12.0,0.0,11.0,10.0,2.0,7.0,22.0,18.0,2.0
Antawn Jamison,11.0,5.0,1.0,44.0,22.0,1.0,55.0,2.0,27.0
Clifford Robinson,11.0,0.0,1.0,11.0,0.0,4.0,22.0,5.0,0.0
Brian Grant,10.0,12.0,0.0,6.0,13.0,0.0,16.0,0.0,25.0
Lamond Murray,10.0,2.0,0.0,12.0,2.0,1.0,22.0,1.0,4.0
Terrell Brandon,10.0,1.0,30.0,5.0,0.0,22.0,15.0,52.0,1.0
