player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Kevin Durant,50.0,16.0,24.0,19.0,6.0,10.0,69.0,34.0,22.0
LeBron James,37.0,21.0,31.0,16.0,11.0,13.0,53.0,44.0,32.0
Paul George,31.0,12.0,13.0,15.0,11.0,5.0,46.0,18.0,23.0
LaMarcus Aldridge,29.0,27.0,2.0,9.0,9.0,0.0,38.0,2.0,36.0
James Harden,29.0,0.0,28.0,13.0,0.0,14.0,42.0,42.0,0.0
Kevin Love,27.0,30.0,5.0,24.0,33.0,7.0,51.0,12.0,63.0
Al Jefferson,27.0,29.0,3.0,15.0,28.0,1.0,42.0,4.0,57.0
Carmelo Anthony,27.0,13.0,7.0,37.0,24.0,5.0,64.0,12.0,37.0
Blake Griffin,26.0,13.0,2.0,15.0,5.0,3.0,41.0,5.0,18.0
Dirk Nowitzki,26.0,8.0,2.0,17.0,7.0,2.0,43.0,4.0,15.0
Zach Randolph,22.0,34.0,2.0,10.0,17.0,2.0,32.0,4.0,51.0
Tony Parker,22.0,0.0,31.0,5.0,0.0,7.0,27.0,38.0,0.0
Stephen Curry,21.0,6.0,43.0,21.0,0.0,26.0,42.0,69.0,6.0
DeMar DeRozan,21.0,1.0,6.0,19.0,1.0,6.0,40.0,12.0,2.0
Monta Ellis,18.0,4.0,23.0,12.0,0.0,15.0,30.0,38.0,4.0
John Wall,18.0,0.0,40.0,18.0,0.0,31.0,36.0,71.0,0.0
Goran Dragic,17.0,1.0,29.0,14.0,2.0,19.0,31.0,48.0,3.0
Anthony Davis,14.0,23.0,1.0,14.0,25.0,0.0,28.0,1.0,48.0
Mike Conley,14.0,0.0,27.0,9.0,0.0,19.0,23.0,46.0,0.0
D.J. Augustin,14.0,0.0,14.0,4.0,0.0,9.0,18.0,23.0,0.0
Klay Thompson,14.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0
DeMarcus Cousins,13.0,19.0,2.0,24.0,32.0,5.0,37.0,7.0,51.0
Kyle Lowry,13.0,2.0,34.0,6.0,2.0,24.0,19.0,58.0,4.0
Joe Johnson,13.0,2.0,7.0,7.0,4.0,5.0,20.0,12.0,6.0
Chris Paul,13.0,1.0,44.0,3.0,0.0,16.0,16.0,60.0,1.0
Kyrie Irving,13.0,1.0,18.0,23.0,0.0,23.0,36.0,41.0,1.0
Kemba Walker,12.0,2.0,24.0,11.0,0.0,22.0,23.0,46.0,2.0
Tim Duncan,11.0,34.0,7.0,3.0,12.0,1.0,14.0,8.0,46.0
Dwight Howard,11.0,34.0,1.0,5.0,18.0,2.0,16.0,3.0,52.0
Paul Millsap,11.0,22.0,3.0,17.0,16.0,2.0,28.0,5.0,38.0
Damian Lillard,11.0,1.0,25.0,14.0,0.0,10.0,25.0,35.0,1.0
Arron Afflalo,11.0,1.0,3.0,24.0,1.0,4.0,35.0,7.0,2.0
Gerald Green,11.0,1.0,0.0,5.0,2.0,1.0,16.0,1.0,3.0
Jeff Teague,11.0,0.0,25.0,11.0,1.0,24.0,22.0,49.0,1.0
David Lee,10.0,18.0,0.0,4.0,11.0,0.0,14.0,0.0,29.0
Rudy Gay,10.0,5.0,1.0,12.0,5.0,4.0,22.0,5.0,10.0
Trevor Ariza,10.0,4.0,0.0,5.0,8.0,2.0,15.0,2.0,12.0
Chris Bosh,9.0,14.0,0.0,3.0,9.0,0.0,12.0,0.0,23.0
Gordon Hayward,9.0,5.0,11.0,16.0,4.0,24.0,25.0,35.0,9.0
Bradley Beal,9.0,1.0,2.0,9.0,0.0,1.0,18.0,3.0,1.0
Markieff Morris,8.0,6.0,1.0,4.0,7.0,0.0,12.0,1.0,13.0
Deron Williams,8.0,1.0,26.0,6.0,0.0,17.0,14.0,43.0,1.0
Tyreke Evans,8.0,1.0,15.0,5.0,4.0,13.0,13.0,28.0,5.0
Eric Bledsoe,8.0,1.0,13.0,4.0,1.0,8.0,12.0,21.0,2.0
Jamal Crawford,8.0,0.0,3.0,7.0,0.0,3.0,15.0,6.0,0.0
Joakim Noah,7.0,31.0,20.0,3.0,18.0,12.0,10.0,32.0,49.0
Andre Drummond,7.0,22.0,0.0,4.0,37.0,0.0,11.0,0.0,59.0
Kenneth Faried,7.0,18.0,0.0,3.0,12.0,0.0,10.0,0.0,30.0
David West,7.0,12.0,4.0,2.0,4.0,2.0,9.0,6.0,16.0
Taj Gibson,7.0,8.0,0.0,4.0,3.0,0.0,11.0,0.0,11.0
Chandler Parsons,7.0,4.0,7.0,2.0,1.0,2.0,9.0,9.0,5.0
Evan Turner,7.0,3.0,6.0,9.0,3.0,7.0,16.0,13.0,6.0
Paul Pierce,7.0,3.0,2.0,6.0,4.0,2.0,13.0,4.0,7.0
Luol Deng,7.0,1.0,3.0,13.0,5.0,3.0,20.0,6.0,6.0
Josh Smith,7.0,1.0,3.0,12.0,3.0,2.0,19.0,5.0,4.0
Jeff Green,7.0,1.0,1.0,18.0,3.0,2.0,25.0,3.0,4.0
Ty Lawson,7.0,0.0,24.0,14.0,0.0,28.0,21.0,52.0,0.0
Pau Gasol,6.0,12.0,1.0,14.0,24.0,2.0,20.0,3.0,36.0
Roy Hibbert,6.0,12.0,0.0,3.0,3.0,0.0,9.0,0.0,15.0
Al Horford,6.0,7.0,0.0,2.0,4.0,0.0,8.0,0.0,11.0
Russell Westbrook,6.0,6.0,24.0,3.0,4.0,6.0,9.0,30.0,10.0
Carlos Boozer,6.0,6.0,1.0,7.0,10.0,0.0,13.0,1.0,16.0
Dwyane Wade,6.0,3.0,7.0,6.0,0.0,5.0,12.0,12.0,3.0
Danny Green,6.0,2.0,0.0,1.0,1.0,0.0,7.0,0.0,3.0
Jordan Crawford,6.0,1.0,9.0,4.0,0.0,20.0,10.0,29.0,1.0
Wesley Matthews,6.0,1.0,1.0,2.0,0.0,3.0,8.0,4.0,1.0
