player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Shaquille O'Neal,50.0,60.0,19.0,9.0,10.0,3.0,59.0,22.0,70.0
Karl Malone,47.0,32.0,3.0,19.0,17.0,5.0,66.0,8.0,49.0
Allen Iverson,38.0,1.0,9.0,20.0,0.0,11.0,58.0,20.0,1.0
Vince Carter,36.0,6.0,13.0,28.0,6.0,8.0,64.0,21.0,12.0
Chris Webber,35.0,25.0,10.0,25.0,23.0,7.0,60.0,17.0,48.0
Kevin Garnett,30.0,41.0,4.0,20.0,25.0,5.0,50.0,9.0,66.0
Tim Duncan,30.0,36.0,6.0,16.0,15.0,3.0,46.0,9.0,51.0
Gary Payton,29.0,6.0,42.0,23.0,5.0,29.0,52.0,71.0,11.0
Alonzo Mourning,28.0,29.0,0.0,20.0,18.0,0.0,48.0,0.0,47.0
Grant Hill,25.0,8.0,18.0,19.0,7.0,19.0,44.0,37.0,15.0
Eddie Jones,24.0,0.0,11.0,10.0,0.0,3.0,34.0,14.0,0.0
Reggie Miller,24.0,0.0,1.0,7.0,0.0,0.0,31.0,1.0,0.0
Michael Finley,23.0,10.0,12.0,16.0,11.0,18.0,39.0,30.0,21.0
Allan Houston,22.0,2.0,7.0,14.0,1.0,7.0,36.0,14.0,3.0
Jalen Rose,19.0,4.0,8.0,10.0,2.0,1.0,29.0,9.0,6.0
Clifford Robinson,18.0,4.0,0.0,11.0,2.0,1.0,29.0,1.0,6.0
Latrell Sprewell,18.0,2.0,15.0,8.0,1.0,7.0,26.0,22.0,3.0
Rasheed Wallace,17.0,22.0,0.0,7.0,5.0,0.0,24.0,0.0,27.0
David Robinson,17.0,13.0,1.0,12.0,11.0,0.0,29.0,1.0,24.0
Shawn Kemp,16.0,20.0,0.0,18.0,26.0,1.0,34.0,1.0,46.0
Jerry Stackhouse,16.0,1.0,15.0,16.0,1.0,12.0,32.0,27.0,2.0
Paul Pierce,15.0,4.0,6.0,13.0,3.0,5.0,28.0,11.0,7.0
