player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Kobe Bryant,25.0,1.0,13.0,14.0,1.0,9.0,39.0,22.0,2.0
Kevin Durant,23.0,18.0,11.0,8.0,6.0,2.0,31.0,13.0,24.0
LeBron James,22.0,13.0,23.0,8.0,7.0,10.0,30.0,33.0,20.0
Dirk Nowitzki,18.0,6.0,3.0,15.0,8.0,0.0,33.0,3.0,14.0
Rudy Gay,18.0,4.0,0.0,8.0,4.0,0.0,26.0,0.0,8.0
Derrick Rose,18.0,1.0,23.0,2.0,0.0,5.0,20.0,28.0,1.0
Kevin Love,17.0,20.0,0.0,22.0,26.0,0.0,39.0,0.0,46.0
Danny Granger,17.0,2.0,2.0,6.0,1.0,0.0,23.0,2.0,3.0
Josh Smith,16.0,14.0,4.0,8.0,11.0,6.0,24.0,10.0,25.0
Tony Parker,16.0,0.0,32.0,4.0,0.0,8.0,20.0,40.0,0.0
Dwight Howard,15.0,28.0,1.0,13.0,18.0,2.0,28.0,3.0,46.0
Paul Pierce,15.0,5.0,7.0,6.0,1.0,4.0,21.0,11.0,6.0
Chris Paul,15.0,0.0,25.0,1.0,0.0,18.0,16.0,43.0,0.0
Russell Westbrook,14.0,3.0,21.0,4.0,1.0,7.0,18.0,28.0,4.0
Al Jefferson,13.0,12.0,4.0,13.0,12.0,0.0,26.0,4.0,24.0
Blake Griffin,12.0,22.0,3.0,15.0,13.0,0.0,27.0,3.0,35.0
Carlos Boozer,12.0,13.0,1.0,3.0,5.0,1.0,15.0,2.0,18.0
LaMarcus Aldridge,12.0,9.0,1.0,13.0,10.0,2.0,25.0,3.0,19.0
Joe Johnson,12.0,1.0,5.0,7.0,0.0,6.0,19.0,11.0,1.0
Brandon Jennings,12.0,0.0,13.0,14.0,0.0,11.0,26.0,24.0,0.0
Ryan Anderson,11.0,3.0,0.0,2.0,1.0,0.0,13.0,0.0,4.0
Deron Williams,11.0,0.0,17.0,16.0,1.0,28.0,27.0,45.0,1.0
Monta Ellis,10.0,0.0,11.0,9.0,0.0,13.0,19.0,24.0,0.0
Marcus Thornton,10.0,0.0,2.0,6.0,1.0,3.0,16.0,5.0,1.0
Ty Lawson,9.0,3.0,13.0,3.0,0.0,10.0,12.0,23.0,3.0
Dwyane Wade,9.0,2.0,8.0,6.0,1.0,3.0,15.0,11.0,3.0
Tim Duncan,8.0,21.0,1.0,2.0,6.0,1.0,10.0,2.0,27.0
Paul Millsap,8.0,9.0,0.0,10.0,10.0,0.0,18.0,0.0,19.0
Antawn Jamison,8.0,3.0,0.0,13.0,6.0,1.0,21.0,1.0,9.0
Carmelo Anthony,8.0,2.0,6.0,13.0,3.0,5.0,21.0,11.0,5.0
Danilo Gallinari,8.0,2.0,0.0,3.0,0.0,1.0,11.0,1.0,2.0
Jared Dudley,8.0,1.0,0.0,2.0,1.0,0.0,10.0,0.0,2.0
Rodney Stuckey,8.0,0.0,7.0,6.0,0.0,10.0,14.0,17.0,0.0
Lou Williams,8.0,0.0,6.0,6.0,0.0,4.0,14.0,10.0,0.0
Kevin Martin,8.0,0.0,1.0,8.0,0.0,1.0,16.0,2.0,0.0
Kevin Garnett,7.0,11.0,0.0,4.0,11.0,0.0,11.0,0.0,22.0
Luol Deng,7.0,5.0,2.0,3.0,1.0,1.0,10.0,3.0,6.0
Kyrie Irving,7.0,1.0,9.0,15.0,2.0,20.0,22.0,29.0,3.0
Jeremy Lin,7.0,0.0,13.0,1.0,0.0,7.0,8.0,20.0,0.0
Roy Hibbert,6.0,19.0,1.0,4.0,6.0,3.0,10.0,4.0,25.0
Chris Bosh,6.0,12.0,0.0,0.0,3.0,1.0,6.0,1.0,15.0
Andrea Bargnani,6.0,2.0,0.0,4.0,3.0,0.0,10.0,0.0,5.0
Steve Nash,6.0,1.0,25.0,3.0,0.0,21.0,9.0,46.0,1.0
Tyreke Evans,6.0,1.0,7.0,8.0,2.0,16.0,14.0,23.0,3.0
DeMar DeRozan,6.0,1.0,1.0,13.0,0.0,1.0,19.0,2.0,1.0
Andrew Bynum,5.0,18.0,0.0,4.0,12.0,0.0,9.0,0.0,30.0
Marc Gasol,5.0,14.0,2.0,7.0,14.0,1.0,12.0,3.0,28.0
Marcin Gortat,5.0,13.0,0.0,11.0,21.0,0.0,16.0,0.0,34.0
Luis Scola,5.0,7.0,0.0,6.0,4.0,0.0,11.0,0.0,11.0
