player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
LeBron James,41.0,35.0,44.0,12.0,9.0,11.0,53.0,55.0,44.0
Kevin Durant,39.0,21.0,13.0,17.0,7.0,7.0,56.0,20.0,28.0
Carmelo Anthony,37.0,13.0,2.0,15.0,4.0,3.0,52.0,5.0,17.0
James Harden,34.0,3.0,20.0,24.0,0.0,17.0,58.0,37.0,3.0
Tony Parker,29.0,0.0,40.0,7.0,0.0,14.0,36.0,54.0,0.0
Kobe Bryant,26.0,1.0,24.0,31.0,1.0,12.0,57.0,36.0,2.0
Brook Lopez,20.0,8.0,0.0,10.0,8.0,2.0,30.0,2.0,16.0
Russell Westbrook,20.0,6.0,43.0,2.0,5.0,14.0,22.0,57.0,11.0
Paul George,19.0,12.0,14.0,7.0,9.0,10.0,26.0,24.0,21.0
Al Jefferson,18.0,22.0,1.0,8.0,20.0,0.0,26.0,1.0,42.0
Chris Paul,18.0,0.0,46.0,6.0,0.0,18.0,24.0,64.0,0.0
Stephen Curry,18.0,0.0,26.0,22.0,1.0,21.0,40.0,47.0,1.0
Blake Griffin,17.0,26.0,4.0,10.0,9.0,2.0,27.0,6.0,35.0
Paul Pierce,17.0,10.0,18.0,15.0,7.0,10.0,32.0,28.0,17.0
Brandon Jennings,17.0,0.0,19.0,16.0,0.0,16.0,33.0,35.0,0.0
DeMar DeRozan,16.0,4.0,2.0,12.0,1.0,6.0,28.0,8.0,5.0
Marc Gasol,15.0,13.0,8.0,4.0,5.0,8.0,19.0,16.0,18.0
O.J. Mayo,15.0,3.0,11.0,10.0,1.0,10.0,25.0,21.0,4.0
Rudy Gay,15.0,3.0,2.0,13.0,8.0,3.0,28.0,5.0,11.0
Danilo Gallinari,15.0,2.0,1.0,4.0,3.0,0.0,19.0,1.0,5.0
Mike Conley,15.0,0.0,39.0,5.0,0.0,12.0,20.0,51.0,0.0
Tim Duncan,14.0,28.0,3.0,7.0,14.0,3.0,21.0,6.0,42.0
Josh Smith,14.0,19.0,7.0,15.0,13.0,6.0,29.0,13.0,32.0
Al Horford,14.0,18.0,2.0,6.0,17.0,0.0,20.0,2.0,35.0
Kyrie Irving,14.0,1.0,13.0,23.0,1.0,27.0,37.0,40.0,2.0
Ty Lawson,14.0,0.0,22.0,8.0,0.0,17.0,22.0,39.0,0.0
Dwight Howard,13.0,30.0,0.0,2.0,23.0,2.0,15.0,2.0,53.0
Carlos Boozer,13.0,15.0,1.0,10.0,15.0,4.0,23.0,5.0,30.0
Jrue Holiday,13.0,2.0,26.0,16.0,1.0,35.0,29.0,61.0,3.0
Dwyane Wade,13.0,2.0,14.0,1.0,1.0,1.0,14.0,15.0,3.0
David Lee,12.0,36.0,5.0,4.0,22.0,2.0,16.0,7.0,58.0
David West,12.0,15.0,5.0,10.0,7.0,3.0,22.0,8.0,22.0
Nikola Pekovic,12.0,10.0,0.0,10.0,14.0,0.0,22.0,0.0,24.0
Luol Deng,12.0,5.0,5.0,6.0,2.0,2.0,18.0,7.0,7.0
Kemba Walker,12.0,1.0,16.0,20.0,1.0,40.0,32.0,56.0,2.0
Deron Williams,12.0,0.0,42.0,14.0,0.0,27.0,26.0,69.0,0.0
Monta Ellis,12.0,0.0,15.0,17.0,1.0,21.0,29.0,36.0,1.0
Jamal Crawford,12.0,0.0,2.0,4.0,0.0,3.0,16.0,5.0,0.0
Joe Johnson,12.0,0.0,2.0,5.0,0.0,2.0,17.0,4.0,0.0
Klay Thompson,12.0,0.0,1.0,3.0,2.0,1.0,15.0,2.0,2.0
LaMarcus Aldridge,11.0,10.0,0.0,18.0,20.0,4.0,29.0,4.0,30.0
Zach Randolph,10.0,35.0,1.0,6.0,14.0,0.0,16.0,1.0,49.0
Evan Turner,10.0,8.0,4.0,7.0,6.0,7.0,17.0,11.0,14.0
J.R. Smith,10.0,6.0,4.0,7.0,3.0,4.0,17.0,8.0,9.0
Brandon Knight,10.0,0.0,5.0,12.0,0.0,15.0,22.0,20.0,0.0
Roy Hibbert,8.0,19.0,0.0,3.0,8.0,0.0,11.0,0.0,27.0
DeMarcus Cousins,8.0,17.0,6.0,14.0,29.0,5.0,22.0,11.0,46.0
Shawn Marion,8.0,16.0,1.0,5.0,16.0,2.0,13.0,3.0,32.0
Greg Monroe,8.0,14.0,4.0,17.0,31.0,6.0,25.0,10.0,45.0
Paul Millsap,8.0,11.0,4.0,3.0,7.0,1.0,11.0,5.0,18.0
Ryan Anderson,8.0,8.0,0.0,16.0,8.0,1.0,24.0,1.0,16.0
Greivis Vasquez,8.0,2.0,24.0,5.0,5.0,47.0,13.0,71.0,7.0
John Wall,8.0,1.0,22.0,13.0,1.0,17.0,21.0,39.0,2.0
Nicolas Batum,8.0,1.0,9.0,5.0,3.0,13.0,13.0,22.0,4.0
Damian Lillard,8.0,0.0,22.0,15.0,0.0,26.0,23.0,48.0,0.0
Corey Brewer,8.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0
Kevin Garnett,7.0,14.0,1.0,4.0,12.0,3.0,11.0,4.0,26.0
Gordon Hayward,7.0,1.0,3.0,10.0,1.0,2.0,17.0,5.0,2.0
Isaiah Thomas,7.0,0.0,8.0,10.0,0.0,21.0,17.0,29.0,0.0
Jeff Green,7.0,0.0,1.0,7.0,5.0,1.0,14.0,2.0,5.0
Wilson Chandler,7.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0
Chris Bosh,6.0,14.0,0.0,3.0,5.0,2.0,9.0,2.0,19.0
Andre Iguodala,6.0,7.0,16.0,2.0,0.0,1.0,8.0,17.0,7.0
Luis Scola,6.0,6.0,2.0,11.0,17.0,1.0,17.0,3.0,23.0
Jeff Teague,6.0,0.0,29.0,7.0,0.0,23.0,13.0,52.0,0.0
Goran Dragic,6.0,0.0,20.0,12.0,2.0,36.0,18.0,56.0,2.0
George Hill,6.0,0.0,19.0,7.0,0.0,12.0,13.0,31.0,0.0
J.J. Redick,6.0,0.0,3.0,8.0,0.0,7.0,14.0,10.0,0.0
Bradley Beal,6.0,0.0,0.0,11.0,1.0,0.0,17.0,0.0,1.0
Joakim Noah,5.0,21.0,8.0,1.0,17.0,6.0,6.0,14.0,38.0
Dirk Nowitzki,5.0,5.0,1.0,11.0,7.0,1.0,16.0,2.0,12.0
Vince Carter,5.0,4.0,1.0,3.0,0.0,3.0,8.0,4.0,4.0
Marcus Thornton,5.0,1.0,1.0,5.0,0.0,3.0,10.0,4.0,1.0
Mo Williams,5.0,0.0,14.0,4.0,0.0,15.0,9.0,29.0,0.0
Dion Waiters,5.0,0.0,3.0,12.0,0.0,6.0,17.0,9.0,0.0
Jordan Crawford,5.0,0.0,3.0,13.0,2.0,15.0,18.0,18.0,2.0
Wesley Matthews,5.0,0.0,0.0,4.0,1.0,1.0,9.0,1.0,1.0
Marco Belinelli,5.0,0.0,0.0,4.0,0.0,1.0,9.0,1.0,0.0
Marcin Gortat,4.0,12.0,0.0,6.0,21.0,0.0,10.0,0.0,33.0
Ersan Ilyasova,4.0,9.0,0.0,7.0,8.0,0.0,11.0,0.0,17.0
Jose Calderon,4.0,2.0,16.0,3.0,0.0,25.0,7.0,41.0,2.0
Chandler Parsons,4.0,1.0,4.0,6.0,2.0,2.0,10.0,6.0,3.0
John Salmons,4.0,1.0,3.0,3.0,1.0,4.0,7.0,7.0,2.0
Raymond Felton,4.0,0.0,25.0,1.0,0.0,12.0,5.0,37.0,0.0
Darren Collison,4.0,0.0,20.0,6.0,0.0,16.0,10.0,36.0,0.0
Nate Robinson,4.0,0.0,12.0,11.0,0.0,17.0,15.0,29.0,0.0
Devin Harris,4.0,0.0,2.0,0.0,0.0,3.0,4.0,5.0,0.0
Randy Foye,4.0,0.0,2.0,6.0,0.0,1.0,10.0,3.0,0.0
Dorell Wright,4.0,0.0,1.0,4.0,0.0,4.0,8.0,5.0,0.0
Gerald Henderson,4.0,0.0,1.0,9.0,0.0,4.0,13.0,5.0,0.0
Arron Afflalo,4.0,0.0,0.0,14.0,2.0,4.0,18.0,4.0,2.0
Alan Anderson,4.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0
Larry Sanders,3.0,19.0,0.0,0.0,17.0,0.0,3.0,0.0,36.0
Kosta Koufos,3.0,11.0,0.0,3.0,7.0,0.0,6.0,0.0,18.0
Spencer Hawes,3.0,9.0,1.0,2.0,17.0,1.0,5.0,2.0,26.0
Nene Hilario,3.0,7.0,0.0,3.0,3.0,3.0,6.0,3.0,10.0
Kevin Love,3.0,6.0,0.0,6.0,9.0,0.0,9.0,0.0,15.0
Anthony Davis,3.0,6.0,0.0,8.0,17.0,0.0,11.0,0.0,23.0
Rajon Rondo,3.0,5.0,17.0,5.0,3.0,19.0,8.0,36.0,8.0
Byron Mullens,3.0,5.0,1.0,7.0,10.0,2.0,10.0,3.0,15.0
Glen Davis,3.0,5.0,0.0,6.0,4.0,1.0,9.0,1.0,9.0
Andray Blatche,3.0,3.0,1.0,2.0,2.0,0.0,5.0,1.0,5.0
Matt Barnes,3.0,3.0,0.0,2.0,2.0,0.0,5.0,0.0,5.0
Brandon Bass,3.0,3.0,0.0,2.0,5.0,0.0,5.0,0.0,8.0
Derrick Williams,3.0,3.0,0.0,11.0,9.0,0.0,14.0,0.0,12.0
Danny Green,3.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0
Tayshaun Prince,3.0,2.0,0.0,3.0,2.0,2.0,6.0,2.0,4.0
Tyreke Evans,3.0,1.0,6.0,11.0,3.0,10.0,14.0,16.0,4.0
Jared Dudley,3.0,1.0,2.0,3.0,0.0,6.0,6.0,8.0,1.0
Antawn Jamison,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0
Charlie Villanueva,3.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0
Tobias Harris,3.0,1.0,0.0,6.0,4.0,1.0,9.0,1.0,5.0
Manu Ginobili,3.0,0.0,10.0,1.0,0.0,2.0,4.0,12.0,0.0
J.J. Barea,3.0,0.0,5.0,6.0,0.0,7.0,9.0,12.0,0.0
Gary Neal,3.0,0.0,1.0,3.0,0.0,1.0,6.0,2.0,0.0
