player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Derrick Rose,42.0,2.0,51.0,12.0,0.0,16.0,54.0,67.0,2.0
Kobe Bryant,40.0,1.0,25.0,19.0,0.0,13.0,59.0,38.0,1.0
Kevin Durant,38.0,12.0,1.0,17.0,6.0,0.0,55.0,1.0,18.0
Dwight Howard,35.0,44.0,0.0,19.0,26.0,0.0,54.0,0.0,70.0
Dirk Nowitzki,35.0,16.0,1.0,11.0,4.0,2.0,46.0,3.0,20.0
Carmelo Anthony,28.0,16.0,6.0,20.0,10.0,2.0,48.0,8.0,26.0
Dwyane Wade,28.0,14.0,12.0,8.0,5.0,7.0,36.0,19.0,19.0
Kevin Martin,27.0,0.0,1.0,18.0,1.0,2.0,45.0,3.0,1.0
Monta Ellis,26.0,1.0,18.0,18.0,2.0,15.0,44.0,33.0,3.0
Zach Randolph,25.0,32.0,5.0,11.0,24.0,0.0,36.0,5.0,56.0
LeBron James,25.0,12.0,41.0,13.0,8.0,15.0,38.0,56.0,20.0
LaMarcus Aldridge,24.0,22.0,0.0,13.0,13.0,4.0,37.0,4.0,35.0
Manu Ginobili,24.0,2.0,12.0,5.0,2.0,7.0,29.0,19.0,4.0
Paul Pierce,22.0,9.0,4.0,10.0,4.0,3.0,32.0,7.0,13.0
Tony Parker,21.0,0.0,41.0,6.0,0.0,10.0,27.0,51.0,0.0
Amar'e Stoudemire,19.0,16.0,1.0,23.0,19.0,0.0,42.0,1.0,35.0
Danny Granger,19.0,4.0,3.0,18.0,6.0,3.0,37.0,6.0,10.0
Blake Griffin,17.0,24.0,6.0,19.0,36.0,5.0,36.0,11.0,60.0
Ray Allen,17.0,0.0,2.0,6.0,2.0,0.0,23.0,2.0,2.0
David West,16.0,9.0,0.0,17.0,10.0,0.0,33.0,0.0,19.0
Chris Paul,16.0,3.0,44.0,10.0,1.0,32.0,26.0,76.0,4.0
Deron Williams,16.0,2.0,32.0,13.0,0.0,32.0,29.0,64.0,2.0
Stephen Jackson,15.0,7.0,2.0,15.0,1.0,6.0,30.0,8.0,8.0
Brook Lopez,15.0,1.0,0.0,30.0,5.0,0.0,45.0,0.0,6.0
Andrea Bargnani,14.0,3.0,0.0,22.0,6.0,0.0,36.0,0.0,9.0
Russell Westbrook,12.0,7.0,50.0,7.0,0.0,23.0,19.0,73.0,7.0
Joe Johnson,12.0,1.0,18.0,12.0,2.0,9.0,24.0,27.0,3.0
Al Jefferson,11.0,17.0,1.0,15.0,31.0,2.0,26.0,3.0,48.0
Kevin Love,11.0,16.0,0.0,28.0,52.0,8.0,39.0,8.0,68.0
