player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Tim Duncan,50.0,47.0,15.0,22.0,21.0,8.0,72.0,23.0,68.0
Allen Iverson,34.0,0.0,15.0,19.0,0.0,12.0,53.0,27.0,0.0
Tracy McGrady,31.0,24.0,20.0,24.0,13.0,8.0,55.0,28.0,37.0
Paul Pierce,31.0,8.0,4.0,21.0,9.0,7.0,52.0,11.0,17.0
Shaquille O'Neal,30.0,32.0,9.0,10.0,13.0,1.0,40.0,10.0,45.0
Dirk Nowitzki,29.0,28.0,1.0,11.0,12.0,1.0,40.0,2.0,40.0
Karl Malone,28.0,21.0,10.0,25.0,15.0,3.0,53.0,13.0,36.0
Jerry Stackhouse,27.0,1.0,24.0,20.0,1.0,16.0,47.0,40.0,2.0
Kevin Garnett,26.0,35.0,15.0,16.0,25.0,5.0,42.0,20.0,60.0
Chris Webber,26.0,26.0,14.0,9.0,6.0,2.0,35.0,16.0,32.0
Kobe Bryant,26.0,6.0,30.0,13.0,0.0,14.0,39.0,44.0,6.0
Peja Stojakovic,26.0,3.0,1.0,6.0,0.0,0.0,32.0,1.0,3.0
Gary Payton,25.0,0.0,37.0,18.0,5.0,34.0,43.0,71.0,5.0
Vince Carter,24.0,3.0,8.0,23.0,1.0,4.0,47.0,12.0,4.0
Rasheed Wallace,23.0,14.0,1.0,9.0,14.0,1.0,32.0,2.0,28.0
Eddie Jones,21.0,3.0,2.0,19.0,3.0,5.0,40.0,7.0,6.0
Michael Jordan,17.0,4.0,16.0,17.0,5.0,15.0,34.0,31.0,9.0
Michael Finley,16.0,1.0,5.0,7.0,2.0,1.0,23.0,6.0,3.0
Elton Brand,15.0,28.0,0.0,15.0,30.0,7.0,30.0,7.0,58.0
Antoine Walker,15.0,18.0,23.0,11.0,16.0,6.0,26.0,29.0,34.0
Jalen Rose,15.0,1.0,7.0,25.0,3.0,15.0,40.0,22.0,4.0
Jermaine O'Neal,14.0,25.0,0.0,11.0,18.0,0.0,25.0,0.0,43.0
Shawn Marion,14.0,22.0,0.0,16.0,30.0,2.0,30.0,2.0,52.0
Jason Kidd,14.0,15.0,50.0,8.0,10.0,27.0,22.0,77.0,25.0
Shareef Abdur-Rahim,13.0,15.0,5.0,21.0,25.0,5.0,34.0,10.0,40.0
Steve Francis,13.0,8.0,20.0,14.0,8.0,25.0,27.0,45.0,16.0
Ray Allen,13.0,3.0,5.0,13.0,1.0,7.0,26.0,12.0,4.0
Bonzi Wells,13.0,3.0,4.0,10.0,5.0,3.0,23.0,7.0,8.0
Sam Cassell,13.0,2.0,26.0,13.0,2.0,24.0,26.0,50.0,4.0
Jamal Mashburn,13.0,2.0,2.0,8.0,0.0,2.0,21.0,4.0,2.0
Wally Szczerbiak,13.0,1.0,3.0,9.0,0.0,3.0,22.0,6.0,1.0
Latrell Sprewell,13.0,0.0,3.0,23.0,1.0,5.0,36.0,8.0,1.0
Baron Davis,12.0,1.0,42.0,9.0,0.0,30.0,21.0,72.0,1.0
Antawn Jamison,12.0,1.0,0.0,29.0,11.0,4.0,41.0,4.0,12.0
Jason Terry,12.0,0.0,19.0,18.0,0.0,18.0,30.0,37.0,0.0
Keith Van Horn,11.0,17.0,0.0,5.0,7.0,1.0,16.0,1.0,24.0
Allan Houston,11.0,1.0,0.0,16.0,2.0,1.0,27.0,1.0,3.0
Kerry Kittles,11.0,1.0,0.0,3.0,1.0,1.0,14.0,1.0,2.0
Cuttino Mobley,11.0,0.0,0.0,22.0,1.0,3.0,33.0,3.0,1.0
Pau Gasol,10.0,12.0,1.0,24.0,28.0,2.0,34.0,3.0,40.0
Glenn Robinson,10.0,7.0,0.0,11.0,4.0,1.0,21.0,1.0,11.0
Andre Miller,9.0,2.0,29.0,11.0,3.0,47.0,20.0,76.0,5.0
Richard Hamilton,9.0,1.0,4.0,20.0,0.0,4.0,29.0,8.0,1.0
Clifford Robinson,9.0,1.0,4.0,2.0,0.0,1.0,11.0,5.0,1.0
Stephon Marbury,9.0,0.0,33.0,19.0,0.0,34.0,28.0,67.0,0.0
