player,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total
Isaiah Thomas,45.0,0.0,28.0,24.0,2.0,16.0,69.0,44.0,2.0
Kawhi Leonard,42.0,11.0,17.0,16.0,3.0,7.0,58.0,24.0,14.0
James Harden,41.0,20.0,53.0,20.0,10.0,25.0,61.0,78.0,30.0
Russell Westbrook,39.0,33.0,46.0,30.0,19.0,33.0,69.0,79.0,52.0
DeMar DeRozan,32.0,4.0,11.0,19.0,0.0,4.0,51.0,15.0,4.0
Gordon Hayward,32.0,1.0,15.0,13.0,1.0,7.0,45.0,22.0,2.0
Stephen Curry,29.0,4.0,29.0,5.0,1.0,6.0,34.0,35.0,5.0
Paul George,26.0,10.0,2.0,22.0,11.0,2.0,48.0,4.0,21.0
Giannis Antetokounmpo,25.0,26.0,21.0,22.0,22.0,15.0,47.0,36.0,48.0
LeBron James,25.0,11.0,37.0,15.0,9.0,20.0,40.0,57.0,20.0
Jimmy Butler,25.0,7.0,19.0,24.0,6.0,12.0,49.0,31.0,13.0
Anthony Davis,23.0,23.0,0.0,36.0,25.0,0.0,59.0,0.0,48.0
DeMarcus Cousins,23.0,22.0,10.0,24.0,29.0,16.0,47.0,26.0,51.0
Damian Lillard,23.0,3.0,25.0,22.0,4.0,21.0,45.0,46.0,7.0
Kemba Walker,23.0,0.0,15.0,28.0,3.0,21.0,51.0,36.0,3.0
Blake Griffin,21.0,6.0,10.0,11.0,4.0,5.0,32.0,15.0,10.0
John Wall,20.0,1.0,45.0,17.0,1.0,28.0,37.0,73.0,2.0
Kevin Durant,19.0,24.0,11.0,7.0,4.0,1.0,26.0,12.0,28.0
Bradley Beal,19.0,1.0,1.0,10.0,1.0,1.0,29.0,2.0,2.0
Mike Conley,18.0,3.0,21.0,19.0,1.0,22.0,37.0,43.0,4.0
Klay Thompson,18.0,1.0,0.0,2.0,0.0,0.0,20.0,0.0,1.0
Goran Dragic,17.0,1.0,23.0,12.0,0.0,20.0,29.0,43.0,1.0
Dennis Schroder,17.0,0.0,26.0,15.0,1.0,23.0,32.0,49.0,1.0
Kyrie Irving,17.0,0.0,14.0,10.0,1.0,5.0,27.0,19.0,1.0
Harrison Barnes,14.0,6.0,1.0,22.0,6.0,0.0,36.0,1.0,12.0
Brook Lopez,14.0,3.0,1.0,29.0,7.0,7.0,43.0,8.0,10.0
Carmelo Anthony,14.0,2.0,4.0,24.0,6.0,9.0,38.0,13.0,8.0
Andrew Wiggins,14.0,1.0,0.0,14.0,1.0,0.0,28.0,0.0,2.0
Karl-Anthony Towns,13.0,26.0,2.0,24.0,38.0,3.0,37.0,5.0,64.0
Kyle Lowry,13.0,5.0,30.0,10.0,1.0,20.0,23.0,50.0,6.0
CJ McCollum,13.0,0.0,7.0,16.0,3.0,5.0,29.0,12.0,3.0
Marc Gasol,12.0,7.0,8.0,14.0,4.0,13.0,26.0,21.0,11.0
Hassan Whiteside,11.0,37.0,0.0,12.0,36.0,0.0,23.0,0.0,73.0
Nikola Jokic,11.0,23.0,12.0,11.0,20.0,10.0,22.0,22.0,43.0
Kristaps Porzingis,11.0,10.0,0.0,8.0,9.0,0.0,19.0,0.0,19.0
Joel Embiid,11.0,6.0,1.0,9.0,9.0,0.0,20.0,1.0,15.0
Tobias Harris,11.0,2.0,0.0,12.0,2.0,0.0,23.0,0.0,4.0
Paul Millsap,10.0,11.0,8.0,6.0,3.0,4.0,16.0,12.0,14.0
