,Tm,ages,W/L%,playoffs,seed,games
0,ATL,26.011,0.159,0,15,82.000
1,BOS,27.079,0.549,1,4,82.000
2,CHA,24.864,0.220,0,14,82.000
3,CHI,24.961,0.573,1,3,82.000
4,CLE,26.476,0.512,0,9,82.000
5,DAL,27.652,0.707,1,3,82.000
6,DEN,26.661,0.598,1,7,82.000
7,DET,27.902,0.659,1,2,82.000
8,GSW,26.674,0.415,0,12,82.000
9,HOU,29.719,0.622,1,5,82.000
10,IND,28.292,0.537,1,6,82.000
11,LAC,25.518,0.451,0,10,82.000
12,LAL,26.036,0.415,0,11,82.000
13,MEM,26.316,0.549,1,8,82.000
14,MIA,27.998,0.720,1,1,82.000
15,MIL,26.939,0.366,0,13,82.000
16,MIN,28.965,0.537,0,9,82.000
17,NJN,27.791,0.512,1,8,82.000
18,NOH,27.503,0.220,0,15,82.000
19,NYK,27.262,0.402,0,12,82.000
20,ORL,26.527,0.439,0,10,82.000
21,PHI,26.367,0.524,1,7,82.000
22,PHO,25.173,0.756,1,1,82.000
23,POR,27.013,0.329,0,13,82.000
24,SAC,27.712,0.610,1,6,82.000
25,SAS,28.489,0.720,1,2,82.000
26,SEA,25.994,0.634,1,4,82.000
27,TOR,26.971,0.402,0,11,82.000
28,UTA,25.707,0.317,0,14,82.000
29,WAS,25.271,0.549,1,5,82.000
