,Tm,ages,W/L%,playoffs,seed,games
0,ATL,25.679,0.402,0,12,82.000
1,BOS,26.201,0.598,1,3,82.000
2,CHI,25.538,0.256,0,15,82.000
3,CLE,25.982,0.354,0,14,82.000
4,DAL,27.579,0.695,1,4,82.000
5,DEN,28.173,0.329,0,12,82.000
6,DET,29.517,0.610,1,2,82.000
7,GSW,24.842,0.256,0,14,82.000
8,HOU,25.877,0.341,0,11,82.000
9,IND,26.114,0.512,1,8,82.000
10,LAC,24.400,0.476,0,9,82.000
11,LAL,27.868,0.707,1,3,82.000
12,MEM,25.489,0.280,0,13,82.000
13,MIA,30.092,0.439,0,11,82.000
14,MIL,28.931,0.500,0,9,82.000
15,MIN,26.713,0.610,1,5,82.000
16,NJN,26.137,0.634,1,1,82.000
17,NYK,30.307,0.366,0,13,82.000
18,ORL,27.976,0.537,1,4,82.000
19,PHI,28.956,0.524,1,6,82.000
20,PHO,26.486,0.439,0,10,82.000
21,POR,29.040,0.598,1,6,82.000
22,SAC,26.953,0.744,1,1,82.000
23,SAS,28.541,0.707,1,2,82.000
24,SEA,26.927,0.549,1,7,82.000
25,TOR,29.257,0.512,1,7,82.000
26,UTA,29.901,0.537,1,8,82.000
27,WAS,27.537,0.451,0,10,82.000
