,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.479,0.463,1,8,82.000
1,BOS,25.431,0.305,0,12,82.000
2,BRK,30.026,0.537,1,5,82.000
3,CHA,25.453,0.524,1,7,82.000
4,CHI,28.622,0.585,1,4,82.000
5,CLE,24.860,0.402,0,10,82.000
6,DAL,30.642,0.598,1,8,82.000
7,DEN,26.014,0.439,0,11,82.000
8,DET,24.678,0.354,0,11,82.000
9,GSW,26.274,0.622,1,6,82.000
10,HOU,25.368,0.659,1,5,82.000
11,IND,27.207,0.683,1,1,82.000
12,LAC,28.114,0.695,1,3,82.000
13,LAL,26.753,0.329,0,14,82.000
14,MEM,28.454,0.610,1,7,82.000
15,MIA,30.602,0.659,1,2,82.000
16,MIL,24.664,0.183,0,15,82.000
17,MIN,26.295,0.488,0,10,82.000
18,NOP,24.325,0.415,0,12,82.000
19,NYK,28.295,0.451,0,9,82.000
20,OKC,26.233,0.720,1,2,82.000
21,ORL,24.561,0.280,0,13,82.000
22,PHI,23.425,0.232,0,14,82.000
23,PHO,26.221,0.585,0,9,82.000
24,POR,25.840,0.659,1,4,82.000
25,SAC,24.882,0.341,0,13,82.000
26,SAS,28.907,0.756,1,1,82.000
27,TOR,25.613,0.585,1,3,82.000
28,UTA,24.532,0.305,0,15,82.000
29,WAS,26.252,0.537,1,6,82.000
