,Tm,ages,W/L%,playoffs,seed,games
0,ATL,22.695,0.317,0,14,82.000
1,BOS,25.278,0.402,0,11,82.000
2,CHA,25.194,0.317,0,13,82.000
3,CHI,24.145,0.500,1,7,82.000
4,CLE,27.068,0.610,1,3,82.000
5,DAL,27.459,0.732,1,2,82.000
6,DEN,27.384,0.537,1,7,82.000
7,DET,28.530,0.780,1,1,82.000
8,GSW,25.649,0.415,0,12,82.000
9,HOU,28.829,0.415,0,13,82.000
10,IND,27.305,0.500,1,6,82.000
11,LAC,26.804,0.573,1,5,82.000
12,LAL,25.142,0.549,1,6,82.000
13,MEM,28.096,0.598,1,4,82.000
14,MIA,29.218,0.634,1,2,82.000
15,MIL,25.522,0.488,1,8,82.000
16,MIN,26.699,0.402,0,14,82.000
17,NJN,28.588,0.598,1,4,82.000
18,NOK,26.317,0.463,0,10,82.000
19,NYK,25.593,0.280,0,15,82.000
20,ORL,25.478,0.439,0,10,82.000
21,PHI,26.535,0.463,0,9,82.000
22,PHO,27.521,0.659,1,3,82.000
23,POR,24.561,0.256,0,15,82.000
24,SAC,27.166,0.537,1,8,82.000
25,SAS,29.778,0.768,1,1,82.000
26,SEA,25.609,0.427,0,11,82.000
27,TOR,25.876,0.329,0,12,82.000
28,UTA,25.619,0.500,0,9,82.000
29,WAS,26.524,0.512,1,5,82.000
