,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.148,0.561,1,6,82.000
1,BOS,26.304,0.402,0,11,82.000
2,CHI,29.937,0.878,1,1,82.000
3,CLE,27.517,0.573,1,5,82.000
4,DAL,25.106,0.317,0,13,82.000
5,DEN,26.819,0.427,0,10,82.000
6,DET,26.779,0.561,1,7,82.000
7,GSW,26.956,0.439,0,9,82.000
8,HOU,29.034,0.585,1,5,82.000
9,IND,29.369,0.634,1,3,82.000
10,LAC,25.193,0.354,0,11,82.000
11,LAL,27.110,0.646,1,4,82.000
12,MIA,27.448,0.512,1,8,82.000
13,MIL,27.549,0.305,0,13,82.000
14,MIN,26.403,0.317,0,12,82.000
15,NJN,27.446,0.366,0,12,82.000
16,NYK,30.370,0.573,1,4,82.000
17,ORL,27.673,0.732,1,2,82.000
18,PHI,26.148,0.220,0,15,82.000
19,PHO,27.920,0.500,1,7,82.000
20,POR,28.114,0.537,1,6,82.000
21,SAC,26.572,0.476,1,8,82.000
22,SAS,29.406,0.720,1,2,82.000
23,SEA,29.588,0.780,1,1,82.000
24,TOR,26.140,0.256,0,14,82.000
25,UTA,29.519,0.671,1,3,82.000
26,VAN,27.245,0.183,0,14,82.000
27,WSB,24.837,0.476,0,10,82.000
