,Tm,ages,W/L%,playoffs,seed,games
0,ATL,24.108,0.366,0,13,82.000
1,BOS,23.522,0.293,0,15,82.000
2,CHA,25.487,0.402,0,12,82.000
3,CHI,26.028,0.598,1,3,82.000
4,CLE,26.902,0.610,1,2,82.000
5,DAL,28.076,0.817,1,1,82.000
6,DEN,26.497,0.549,1,6,82.000
7,DET,28.963,0.646,1,1,82.000
8,GSW,24.619,0.512,1,8,82.000
9,HOU,28.202,0.634,1,4,82.000
10,IND,27.214,0.427,0,10,82.000
11,LAC,27.482,0.488,0,9,82.000
12,LAL,25.251,0.512,1,7,82.000
13,MEM,26.212,0.268,0,15,82.000
14,MIA,29.335,0.537,1,5,82.000
15,MIL,26.044,0.341,0,14,82.000
16,MIN,27.712,0.390,0,13,82.000
17,NJN,28.216,0.500,1,6,82.000
18,NOK,26.426,0.476,0,10,82.000
19,NYK,25.393,0.402,0,11,82.000
20,ORL,25.614,0.488,1,8,82.000
21,PHI,26.247,0.427,0,9,82.000
22,PHO,27.601,0.744,1,2,82.000
23,POR,24.394,0.390,0,12,82.000
24,SAC,27.287,0.402,0,11,82.000
25,SAS,30.401,0.707,1,3,82.000
26,SEA,25.950,0.378,0,14,82.000
27,TOR,25.974,0.573,1,4,82.000
28,UTA,25.902,0.622,1,5,82.000
29,WAS,26.789,0.500,1,7,82.000
