,Tm,ages,W/L%,playoffs,seed,games
0,ATL,24.165,0.451,1,8,82.000
1,BOS,27.922,0.805,1,1,82.000
2,CHA,26.326,0.390,0,12,82.000
3,CHI,25.728,0.402,0,11,82.000
4,CLE,27.099,0.549,1,4,82.000
5,DAL,28.896,0.622,1,7,82.000
6,DEN,28.512,0.610,1,8,82.000
7,DET,28.260,0.720,1,2,82.000
8,GSW,25.507,0.585,0,9,82.000
9,HOU,28.251,0.671,1,5,82.000
10,IND,26.661,0.439,0,9,82.000
11,LAC,28.547,0.280,0,12,82.000
12,LAL,26.679,0.695,1,1,82.000
13,MEM,24.452,0.268,0,14,82.000
14,MIA,27.396,0.183,0,15,82.000
15,MIL,25.806,0.317,0,13,82.000
16,MIN,24.642,0.268,0,13,82.000
17,NJN,27.357,0.415,0,10,82.000
18,NOH,27.057,0.683,1,2,82.000
19,NYK,25.687,0.280,0,14,82.000
20,ORL,26.691,0.634,1,3,82.000
21,PHI,25.275,0.488,1,7,82.000
22,PHO,29.260,0.671,1,4,82.000
23,POR,24.075,0.500,0,10,82.000
24,SAC,27.271,0.463,0,11,82.000
25,SAS,31.417,0.683,1,3,82.000
26,SEA,25.378,0.244,0,15,82.000
27,TOR,26.310,0.500,1,6,82.000
28,UTA,25.317,0.659,1,6,82.000
29,WAS,27.227,0.524,1,5,82.000
