,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.938,0.606,1,4,66.000
1,BOS,29.313,0.591,1,5,66.000
2,CHA,24.536,0.106,0,15,66.000
3,CHI,27.092,0.758,1,1,66.000
4,CLE,26.027,0.318,0,13,66.000
5,DAL,31.252,0.545,1,8,66.000
6,DEN,26.641,0.576,1,6,66.000
7,DET,26.348,0.379,0,10,66.000
8,GSW,25.340,0.348,0,13,66.000
9,HOU,26.202,0.515,0,9,66.000
10,IND,26.255,0.636,1,3,66.000
11,LAC,27.269,0.606,1,5,66.000
12,LAL,29.702,0.621,1,3,66.000
13,MEM,25.552,0.621,1,4,66.000
14,MIA,28.271,0.697,1,2,66.000
15,MIL,26.231,0.470,0,9,66.000
16,MIN,24.420,0.394,0,12,66.000
17,NJN,26.127,0.333,0,12,66.000
18,NOH,25.493,0.318,0,15,66.000
19,NYK,26.259,0.545,1,7,66.000
20,OKC,25.100,0.712,1,2,66.000
21,ORL,27.530,0.561,1,6,66.000
22,PHI,24.870,0.530,1,8,66.000
23,PHO,28.872,0.500,0,10,66.000
24,POR,27.455,0.424,0,11,66.000
25,SAC,24.279,0.333,0,14,66.000
26,SAS,27.523,0.758,1,1,66.000
27,TOR,25.748,0.348,0,11,66.000
28,UTA,25.649,0.545,1,7,66.000
29,WAS,24.181,0.303,0,14,66.000
