,Tm,ages,W/L%,playoffs,seed,games
0,ATL,25.136,0.338,0,12,68.000
1,BOS,25.641,0.603,1,5,68.000
2,BRK,25.431,0.522,1,6,69.000
3,CHO,26.933,0.448,0,10,67.000
4,CHI,23.964,0.279,0,13,68.000
5,CLE,25.301,0.254,0,14,67.000
6,DAL,26.835,0.409,0,14,66.000
7,DEN,24.764,0.662,1,2,65.000
8,DET,26.928,0.515,1,7,66.000
9,GSW,28.463,0.682,1,1,66.000
10,HOU,29.305,0.627,1,3,67.000
11,IND,26.984,0.627,1,4,67.000
12,LAC,27.340,0.574,1,6,68.000
13,LAL,26.109,0.455,0,11,66.000
14,MEM,27.990,0.412,0,13,68.000
15,MIA,26.824,0.470,1,8,66.000
16,MIL,26.879,0.746,1,1,67.000
17,MIN,26.532,0.478,0,10,67.000
18,NOP,25.924,0.435,0,12,69.000
19,NYK,23.393,0.194,0,15,67.000
20,OKC,25.664,0.612,1,4,67.000
21,ORL,25.613,0.456,0,9,68.000
22,PHI,26.337,0.627,1,3,67.000
23,PHO,24.151,0.235,0,15,68.000
24,POR,26.215,0.606,1,5,66.000
25,SAC,24.688,0.500,0,9,66.000
26,SAS,28.855,0.567,1,7,67.000
27,TOR,27.243,0.706,1,2,68.000
28,UTA,27.263,0.561,1,8,66.000
29,WAS,26.928,0.418,0,11,67.000
