,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.243,0.512,1,7,82.000
1,BOS,27.219,0.427,1,8,82.000
2,CHI,28.149,0.573,1,5,82.000
3,CLE,28.336,0.524,1,6,82.000
4,DAL,24.284,0.439,0,10,82.000
5,DEN,26.633,0.500,1,8,82.000
6,DET,26.856,0.341,0,12,82.000
7,GSW,26.023,0.317,0,11,82.000
8,HOU,28.520,0.573,1,6,82.000
9,IND,28.741,0.634,1,3,82.000
10,LAC,24.874,0.207,0,13,82.000
11,LAL,25.898,0.585,1,5,82.000
12,MIA,27.092,0.390,0,10,82.000
13,MIL,25.689,0.415,0,9,82.000
14,MIN,25.384,0.256,0,12,82.000
15,NJN,27.480,0.366,0,11,82.000
16,NYK,29.422,0.671,1,2,82.000
17,ORL,26.603,0.695,1,1,82.000
18,PHI,25.070,0.293,0,13,82.000
19,PHO,29.202,0.720,1,3,82.000
20,POR,29.262,0.537,1,7,82.000
21,SAC,26.384,0.476,0,9,82.000
22,SAS,29.031,0.756,1,1,82.000
23,SEA,28.653,0.695,1,4,82.000
24,UTA,29.608,0.732,1,2,82.000
25,WSB,24.475,0.256,0,14,82.000
