,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.181,0.585,1,4,82
1,BOS,25.243,0.585,1,5,82
2,BRK,26.927,0.256,0,14,82
3,CHO,26.020,0.585,1,6,82
4,CHI,27.636,0.512,0,9,82
5,CLE,28.148,0.695,1,1,82
6,DAL,30.332,0.512,1,6,82
7,DEN,24.723,0.402,0,11,82
8,DET,24.983,0.537,1,8,82
9,GSW,27.409,0.890,1,1,82
10,HOU,27.845,0.500,1,8,82
11,IND,26.882,0.549,1,7,82
12,LAC,29.698,0.646,1,4,82
13,LAL,26.509,0.207,0,15,82
14,MEM,30.535,0.512,1,7,82
15,MIA,28.371,0.585,1,3,82
16,MIL,23.541,0.402,0,12,82
17,MIN,24.613,0.354,0,13,82
18,NOP,26.563,0.366,0,12,82
19,NYK,27.198,0.390,0,13,82
20,OKC,25.833,0.671,1,3,82
21,ORL,23.897,0.427,0,11,82
22,PHI,23.347,0.122,0,15,82
23,PHO,26.013,0.280,0,14,82
24,POR,24.347,0.537,1,5,82
25,SAC,26.620,0.402,0,10,82
26,SAS,30.311,0.817,1,2,82
27,TOR,26.295,0.683,1,2,82
28,UTA,24.239,0.488,0,9,82
29,WAS,27.298,0.500,0,10,82
