,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.080,0.537,1,6,82.000
1,BOS,29.150,0.506,1,7,81.000
2,BRK,28.582,0.598,1,4,82.000
3,CHA,24.353,0.256,0,14,82.000
4,CHI,28.047,0.549,1,5,82.000
5,CLE,24.053,0.293,0,13,82.000
6,DAL,29.548,0.500,0,10,82.000
7,DEN,26.133,0.695,1,3,82.000
8,DET,25.321,0.354,0,11,82.000
9,GSW,25.329,0.573,1,6,82.000
10,HOU,24.448,0.549,1,8,82.000
11,IND,25.654,0.605,1,3,81.000
12,LAC,28.755,0.683,1,4,82.000
13,LAL,30.719,0.549,1,7,82.000
14,MEM,26.990,0.683,1,5,82.000
15,MIA,30.253,0.805,1,1,82.000
16,MIL,26.410,0.463,1,8,82.000
17,MIN,26.411,0.378,0,12,82.000
18,NOH,24.019,0.329,0,14,82.000
19,NYK,30.208,0.659,1,2,82.000
20,OKC,26.037,0.732,1,1,82.000
21,ORL,24.615,0.244,0,15,82.000
22,PHI,25.237,0.415,0,9,82.000
23,PHO,26.861,0.305,0,15,82.000
24,POR,24.412,0.402,0,11,82.000
25,SAC,25.630,0.341,0,13,82.000
26,SAS,28.596,0.707,1,2,82.000
27,TOR,25.361,0.415,0,10,82.000
28,UTA,26.281,0.524,0,9,82.000
29,WAS,25.351,0.354,0,12,82.000
