,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.753,0.732,1,1,82.000
1,BOS,24.971,0.488,1,7,82.000
2,BRK,28.582,0.463,1,8,82.000
3,CHO,26.023,0.402,0,11,82.000
4,CHI,28.812,0.610,1,3,82.000
5,CLE,26.942,0.646,1,2,82.000
6,DAL,29.872,0.610,1,7,82.000
7,DEN,26.394,0.366,0,12,82.000
8,DET,25.861,0.390,0,12,82.000
9,GSW,26.633,0.817,1,1,82.000
10,HOU,27.613,0.683,1,3,82.000
11,IND,28.345,0.463,0,9,82.000
12,LAC,28.795,0.683,1,2,82.000
13,LAL,26.983,0.256,0,14,82.000
14,MEM,29.617,0.671,1,5,82.000
15,MIA,28.525,0.451,0,10,82.000
16,MIL,24.645,0.500,1,6,82.000
17,MIN,24.412,0.195,0,15,82.000
18,NOP,25.258,0.549,1,9,82.000
19,NYK,26.941,0.207,0,15,82.000
20,OKC,25.427,0.549,0,8,82.000
21,ORL,24.257,0.305,0,13,82.000
22,PHI,23.193,0.220,0,14,82.000
23,PHO,25.709,0.476,0,10,82.000
24,POR,27.018,0.622,1,6,82.000
25,SAC,26.044,0.354,0,13,82.000
26,SAS,29.761,0.671,1,4,82.000
27,TOR,26.084,0.598,1,4,82.000
28,UTA,23.369,0.463,0,11,82.000
29,WAS,28.556,0.561,1,5,82.000
