,Tm,ages,W/L%,playoffs,seed,games
0,ATL,26.765,0.610,1,4,82.000
1,BOS,29.808,0.695,1,1,82.000
2,CHI,25.487,0.610,1,3,82.000
3,CLE,24.626,0.512,1,6,82.000
4,DAL,26.955,0.646,1,3,82.000
5,DEN,28.723,0.659,1,2,82.000
6,DET,27.381,0.659,1,2,82.000
7,GSW,25.372,0.244,0,11,82.000
8,HOU,27.724,0.561,1,6,82.000
9,IND,25.662,0.463,0,9,82.000
10,LAC,26.188,0.207,0,12,82.000
11,LAL,28.930,0.756,1,1,82.000
12,MIL,28.554,0.512,1,5,82.000
13,NJN,26.689,0.232,0,11,82.000
14,NYK,25.259,0.463,1,8,82.000
15,PHI,27.228,0.439,0,10,82.000
16,PHO,27.507,0.341,0,9,82.000
17,POR,27.138,0.646,1,4,82.000
18,SAC,26.079,0.293,0,10,82.000
19,SAS,26.169,0.378,1,8,82.000
20,SEA,25.577,0.537,1,7,82.000
21,UTA,27.268,0.573,1,5,82.000
22,WSB,26.557,0.463,1,7,82.000
