,Tm,ages,W/L%,playoffs,seed,games
0,ATL,25.436,0.293,0,15,82.000
1,BOS,24.687,0.671,1,2,82.000
2,BRK,25.056,0.341,0,12,82.000
3,CHO,26.581,0.439,0,10,82.000
4,CHI,24.373,0.329,0,13,82.000
5,CLE,30.580,0.610,1,4,82.000
6,DAL,27.656,0.293,0,13,82.000
7,DEN,25.138,0.561,0,9,82.000
8,DET,25.937,0.476,0,9,82.000
9,GSW,28.767,0.707,1,2,82.000
10,HOU,29.758,0.793,1,1,82.000
11,IND,26.189,0.585,1,5,82.000
12,LAC,27.000,0.512,0,10,82.000
13,LAL,23.716,0.427,0,11,82.000
14,MEM,26.002,0.268,0,14,82.000
15,MIA,26.474,0.537,1,7,82.000
16,MIL,25.892,0.537,1,6,82.000
17,MIN,27.134,0.573,1,7,82.000
18,NOP,27.596,0.585,1,6,82.000
19,NYK,26.344,0.354,0,11,82.000
20,OKC,27.337,0.585,1,4,82.000
21,ORL,25.564,0.305,0,14,82.000
22,PHI,25.806,0.634,1,3,82.000
23,PHO,23.659,0.256,0,15,82.000
24,POR,25.648,0.598,1,3,82.000
25,SAC,26.407,0.329,0,12,82.000
26,SAS,29.294,0.573,1,8,82.000
27,TOR,25.848,0.720,1,1,82.000
28,UTA,26.691,0.585,1,5,82.000
29,WAS,26.883,0.524,1,8,82.000
