,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.763,0.683,1,4,82.000
1,BOS,26.065,0.183,0,15,82.000
2,CHI,30.735,0.841,1,1,82.000
3,CLE,26.720,0.512,0,9,82.000
4,DAL,27.126,0.293,0,11,82.000
5,DEN,28.605,0.256,0,12,82.000
6,DET,28.245,0.659,1,5,82.000
7,GSW,26.741,0.366,0,10,82.000
8,HOU,30.839,0.695,1,2,82.000
9,IND,27.907,0.476,0,10,82.000
10,LAC,25.512,0.439,1,8,82.000
11,LAL,26.497,0.683,1,4,82.000
12,MIA,27.244,0.744,1,2,82.000
13,MIL,27.320,0.402,0,11,82.000
14,MIN,26.344,0.488,1,6,82.000
15,NJN,26.805,0.317,0,13,82.000
16,NYK,29.732,0.695,1,3,82.000
17,ORL,29.426,0.549,1,7,82.000
18,PHI,25.455,0.268,0,14,82.000
19,PHO,28.466,0.488,1,7,82.000
20,POR,26.448,0.598,1,5,82.000
21,SAC,27.445,0.415,0,9,82.000
22,SAS,29.914,0.244,0,13,82.000
23,SEA,29.977,0.695,1,3,82.000
24,TOR,25.150,0.366,0,12,82.000
25,UTA,29.575,0.780,1,1,82.000
26,VAN,24.999,0.171,0,14,82.000
27,WSB,25.894,0.537,1,8,82.000
