,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.974,0.524,1,6,82.000
1,BOS,28.226,0.683,1,2,82.000
2,CHI,26.909,0.744,1,1,82.000
3,CLE,26.792,0.402,0,9,82.000
4,DAL,30.550,0.341,0,12,82.000
5,DEN,26.465,0.244,0,14,82.000
6,DET,30.503,0.610,1,3,82.000
7,GSW,26.496,0.537,1,7,82.000
8,HOU,27.338,0.634,1,6,82.000
9,IND,26.441,0.500,1,7,82.000
10,LAC,25.102,0.378,0,10,82.000
11,LAL,28.393,0.707,1,2,82.000
12,MIA,23.967,0.293,0,13,82.000
13,MIL,29.298,0.585,1,4,82.000
14,MIN,26.221,0.354,0,11,82.000
15,NJN,26.160,0.317,0,11,82.000
16,NYK,28.056,0.476,1,8,82.000
17,ORL,26.088,0.378,0,9,82.000
18,PHI,28.424,0.537,1,5,82.000
19,PHO,26.918,0.671,1,4,82.000
20,POR,27.924,0.768,1,1,82.000
21,SAC,25.876,0.305,0,13,82.000
22,SAS,25.953,0.671,1,3,82.000
23,SEA,26.171,0.500,1,8,82.000
24,UTA,28.659,0.659,1,5,82.000
25,WSB,26.514,0.366,0,10,82.000
