,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.630,0.341,0,14,82.000
1,BOS,25.443,0.427,0,10,82.000
2,CHI,26.021,0.207,0,15,82.000
3,CLE,27.168,0.390,0,11,82.000
4,DAL,26.303,0.488,0,9,82.000
5,DEN,25.927,0.427,0,10,82.000
6,DET,28.278,0.512,1,7,82.000
7,GSW,26.876,0.232,0,13,82.000
8,HOU,26.340,0.415,0,11,82.000
9,IND,30.393,0.683,1,1,82.000
10,LAC,24.240,0.183,0,14,82.000
11,LAL,29.176,0.817,1,1,82.000
12,MIA,29.202,0.634,1,2,82.000
13,MIL,28.183,0.512,1,8,82.000
14,MIN,26.577,0.610,1,6,82.000
15,NJN,27.302,0.378,0,12,82.000
16,NYK,29.487,0.610,1,3,82.000
17,ORL,26.309,0.500,0,9,82.000
18,PHI,27.084,0.598,1,4,82.000
19,PHO,28.614,0.646,1,5,82.000
20,POR,29.571,0.720,1,2,82.000
21,SAC,27.519,0.537,1,8,82.000
22,SAS,30.855,0.646,1,4,82.000
23,SEA,28.521,0.549,1,7,82.000
24,TOR,29.283,0.549,1,6,82.000
25,UTA,31.469,0.671,1,3,82.000
26,VAN,25.340,0.268,0,12,82.000
27,WAS,28.037,0.354,0,13,82.000
