,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.670,0.695,1,2,82.000
1,BOS,27.812,0.390,0,10,82.000
2,CHI,27.749,0.671,1,3,82.000
3,CLE,27.939,0.573,1,6,82.000
4,DAL,25.327,0.159,0,13,82.000
5,DEN,24.766,0.512,1,8,82.000
6,DET,27.461,0.244,0,14,82.000
7,GSW,24.990,0.610,1,6,82.000
8,HOU,28.057,0.707,1,2,82.000
9,IND,27.199,0.573,1,5,82.000
10,LAC,26.995,0.329,0,11,82.000
11,LAL,26.460,0.402,0,9,82.000
12,MIA,25.968,0.512,1,8,82.000
13,MIL,26.108,0.244,0,13,82.000
14,MIN,26.153,0.244,0,12,82.000
15,NJN,26.566,0.549,1,7,82.000
16,NYK,28.882,0.695,1,1,82.000
17,ORL,25.794,0.610,1,4,82.000
18,PHI,27.242,0.305,0,11,82.000
19,PHO,28.678,0.683,1,3,82.000
20,POR,28.599,0.573,1,7,82.000
21,SAC,26.677,0.341,0,10,82.000
22,SAS,29.004,0.671,1,4,82.000
23,SEA,28.105,0.768,1,1,82.000
24,UTA,29.438,0.646,1,5,82.000
25,WSB,25.803,0.293,0,12,82.000
