,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.189,0.463,0,9,82.000
1,BOS,29.242,0.622,1,3,82.000
2,CHI,27.633,0.817,1,1,82.000
3,CLE,27.614,0.695,1,2,82.000
4,DAL,28.163,0.268,0,12,82.000
5,DEN,25.679,0.293,0,11,82.000
6,DET,30.074,0.585,1,5,82.000
7,GSW,25.513,0.671,1,3,82.000
8,HOU,27.957,0.512,0,9,82.000
9,IND,26.435,0.488,1,7,82.000
10,LAC,27.319,0.549,1,7,82.000
11,LAL,28.336,0.524,1,8,82.000
12,MIA,24.377,0.463,1,8,82.000
13,MIL,30.174,0.378,0,11,82.000
14,MIN,26.402,0.183,0,13,82.000
15,NJN,25.605,0.488,1,6,82.000
16,NYK,27.290,0.622,1,4,82.000
17,ORL,26.589,0.256,0,14,82.000
18,PHI,27.560,0.427,0,10,82.000
19,PHO,27.014,0.646,1,4,82.000
20,POR,28.084,0.695,1,1,82.000
21,SAC,25.060,0.354,0,10,82.000
22,SAS,27.296,0.573,1,5,82.000
23,SEA,27.279,0.573,1,6,82.000
24,UTA,28.537,0.671,1,2,82.000
25,WSB,26.116,0.305,0,13,82.000
