,Tm,ages,W/L%,playoffs,seed,games
0,ATL,25.794,0.573,1,4,82.000
1,BOS,27.801,0.756,1,2,82.000
2,CHA,25.833,0.427,0,10,82.000
3,CHI,24.943,0.500,1,7,82.000
4,CLE,26.588,0.805,1,1,82.000
5,DAL,29.025,0.610,1,6,82.000
6,DEN,27.661,0.659,1,2,82.000
7,DET,28.182,0.476,1,8,82.000
8,GSW,25.030,0.354,0,10,82.000
9,HOU,27.883,0.646,1,5,82.000
10,IND,26.549,0.439,0,9,82.000
11,LAC,26.560,0.232,0,14,82.000
12,LAL,27.401,0.793,1,1,82.000
13,MEM,23.347,0.293,0,12,82.000
14,MIA,25.576,0.524,1,5,82.000
15,MIL,26.336,0.415,0,12,82.000
16,MIN,25.417,0.293,0,11,82.000
17,NJN,25.699,0.415,0,11,82.000
18,NOH,28.158,0.598,1,7,82.000
19,NYK,25.750,0.390,0,14,82.000
20,OKC,24.516,0.280,0,13,82.000
21,ORL,27.311,0.720,1,3,82.000
22,PHI,26.111,0.500,1,6,82.000
23,PHO,29.529,0.561,0,9,82.000
24,POR,23.991,0.659,1,3,82.000
25,SAC,26.290,0.207,0,15,82.000
26,SAS,30.394,0.659,1,4,82.000
27,TOR,27.036,0.402,0,13,82.000
28,UTA,25.485,0.585,1,8,82.000
29,WAS,26.895,0.232,0,15,82.000
