,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.232,0.427,0,11,82.000
1,BOS,26.947,0.537,1,6,82.000
2,CHI,25.160,0.366,0,12,82.000
3,CLE,23.506,0.207,0,15,82.000
4,DAL,28.066,0.732,1,2,82.000
5,DEN,24.083,0.207,0,14,82.000
6,DET,28.985,0.610,1,1,82.000
7,GSW,24.365,0.463,0,11,82.000
8,HOU,25.944,0.524,0,9,82.000
9,IND,25.885,0.585,1,4,82.000
10,LAC,25.297,0.329,0,13,82.000
11,LAL,28.053,0.610,1,5,82.000
12,MEM,24.925,0.341,0,12,82.000
13,MIA,26.497,0.305,0,13,82.000
14,MIL,29.338,0.512,1,8,82.000
15,MIN,28.237,0.622,1,4,82.000
16,NJN,27.329,0.598,1,2,82.000
17,NOH,29.058,0.573,1,5,82.000
18,NYK,30.166,0.451,0,10,82.000
19,ORL,26.866,0.512,1,7,82.000
20,PHI,28.250,0.585,1,3,82.000
21,PHO,25.212,0.537,1,8,82.000
22,POR,29.174,0.610,1,6,82.000
23,SAC,28.342,0.720,1,3,82.000
24,SAS,28.387,0.732,1,1,82.000
25,SEA,26.901,0.488,0,10,82.000
26,TOR,27.576,0.293,0,14,82.000
27,UTA,30.909,0.573,1,7,82.000
28,WAS,28.400,0.451,0,9,82.000
