,Tm,ages,W/L%,playoffs,seed,games
0,ATL,27.370,0.537,1,5,82.000
1,BOS,29.511,0.683,1,3,82.000
2,CHA,26.904,0.415,0,10,82.000
3,CHI,26.428,0.756,1,1,82.000
4,CLE,26.552,0.232,0,15,82.000
5,DAL,30.940,0.695,1,3,82.000
6,DEN,27.322,0.610,1,5,82.000
7,DET,27.170,0.366,0,11,82.000
8,GSW,25.196,0.439,0,12,82.000
9,HOU,26.509,0.524,0,9,82.000
10,IND,25.865,0.451,1,8,82.000
11,LAC,24.642,0.390,0,13,82.000
12,LAL,30.187,0.695,1,2,82.000
13,MEM,25.170,0.561,1,8,82.000
14,MIA,28.985,0.707,1,2,82.000
15,MIL,26.677,0.427,0,9,82.000
16,MIN,23.846,0.207,0,15,82.000
17,NJN,24.754,0.293,0,12,82.000
18,NOH,26.350,0.561,1,7,82.000
19,NYK,25.295,0.512,1,6,82.000
20,OKC,23.737,0.671,1,4,82.000
21,ORL,27.587,0.634,1,4,82.000
22,PHI,24.659,0.500,1,7,82.000
23,PHO,29.562,0.488,0,10,82.000
24,POR,26.693,0.585,1,6,82.000
25,SAC,24.755,0.293,0,14,82.000
26,SAS,28.804,0.744,1,1,82.000
27,TOR,24.472,0.268,0,14,82.000
28,UTA,26.814,0.476,0,11,82.000
29,WAS,24.891,0.280,0,13,82.000
