,Tm,ages,W/L%,playoffs,seed,games
0,ATL,26.227,0.341,0,12,82.000
1,BOS,26.351,0.439,1,8,82.000
2,CHI,26.837,0.280,0,14,82.000
3,CLE,24.858,0.427,0,9,82.000
4,DAL,27.352,0.634,1,5,82.000
5,DEN,25.552,0.524,1,8,82.000
6,DET,27.372,0.659,1,2,82.000
7,GSW,28.120,0.451,0,11,82.000
8,HOU,28.256,0.549,1,7,82.000
9,IND,27.118,0.744,1,1,82.000
10,LAC,24.292,0.341,0,14,82.000
11,LAL,29.802,0.683,1,3,82.000
12,MEM,25.981,0.610,1,6,82.000
13,MIA,26.352,0.512,1,4,82.000
14,MIL,26.514,0.500,1,6,82.000
15,MIN,29.729,0.707,1,1,82.000
16,NJN,27.652,0.573,1,3,82.000
17,NOH,30.255,0.500,1,5,82.000
18,NYK,29.632,0.476,1,7,82.000
19,ORL,25.805,0.256,0,15,82.000
20,PHI,27.461,0.402,0,10,82.000
21,PHO,24.441,0.354,0,13,82.000
22,POR,27.610,0.500,0,10,82.000
23,SAC,29.255,0.671,1,4,82.000
24,SAS,27.254,0.695,1,2,82.000
25,SEA,25.979,0.451,0,12,82.000
26,TOR,27.597,0.402,0,11,82.000
27,UTA,24.928,0.512,0,9,82.000
28,WAS,24.406,0.305,0,13,82.000
